Country,Rank,total_population_by_country,available_military_manpower,manpower_fit_for_military_service,manpower_reaching_military_age_annually,active_military_manpower,active_reserve_military_manpower,manpower_paramilitary,capital_cities_by_total_population,aircraft_total,aircraft_total_fighters,aircraft_total_attack_types,aircraft_total_transports,aircraft_total_trainers,aircraft_total_special_mission,aircraft_total_tanker_fleet,aircraft_helicopters_total,aircraft_helicopters_attack,armor_tanks_total,armor_apc_total,armor_self_propelled_guns_total,armor_towed_artillery_total,armor_mlrs_total,navy_ships,navy_force_by_tonnage,navy_aircraft_carriers,navy_helo_carriers,navy_submarines,navy_destroyers,navy_frigates,navy_corvettes,navy_patrol_coastal_craft,navy_mine_warfare_craft,defense_spending_budget,external_debt_by_country,purchasing_power_parity,reserves_of_foreign_exchange_and_gold,major_serviceable_airports_by_country,labor_force_by_country,major_ports_and_terminals,railway_coverage,roadway_coverage,oil_production_by_country,oil_consumption_by_country,proven_oil_reserves_by_country,natural_gas_production_by_country,natural_gas_consumption_by_country,proven_natural_gas_reserves_by_country,coal_production_by_country,coal_consumption_by_country,proven_coal_reserves_by_country,square_land_area,coastline_coverage,border_coverage,waterway_coverage
Uruguay,97,3425330,1575652,1322177,54805,24000,0,5000,,43,0,6,6,12,5,2,12,0,62,5968,16,83,4,16,,0,0,0,0,0,0,5,2,1903440000,54450000000,108502000000,17378000000,65,1768000,8,1673,77732,400,50000,0,0,86037000,0,0,8000,0,176215,660,1591,1600
Yemen,98,32140443,12213368,9031464,610668,33350,0,20000,,160,68,0,3,30,0,0,59,14,0,1550,12,60,30,26,,0,0,0,0,0,1,9,0,405187500,6492000000,18719000000,831025575,37,7848000,10,0,71300,15000,58000,3000000000,189432000,189432000,478555000000,0,27000,0,527968,1906,1601,0
Cameroon,99,30966105,10528476,6224187,495458,38000,0,9000,,35,0,0,6,6,2,0,21,0,0,860,18,52,20,19,,0,0,0,0,0,0,19,0,835694942,11112000000,143264000000,4882000000,37,11119000,7,987,77589,64000,41000,200000000,2595000000,877058000,135071000000,0,0,0,475440,400,5018,0
Tajikistan,100,10394063,4781269,3773045,176699,150000,600000,20000,,25,0,0,1,4,0,0,20,6,38,6782,3,13,24,0,,0,0,0,0,0,0,0,0,450460000,3024000000,50370000000,3026450000,19,2780000,0,680,30000,300,31000,12000000,18476000,85567000,5663000000,2394000,2297000,4075000000,144100,0,4130,200
Armenia,101,2976765,1666988,1366335,44651,65000,210000,5000,,69,4,14,3,12,0,0,36,20,109,1412,104,193,100,0,,0,0,0,0,0,0,0,0,1480000000,6002000000,60909000000,3685000000,11,1510000,0,686,7700,0,15000,0,0,2861000000,0,300,19000,317000000,29743,0,1570,0
Latvia,102,1801246,810561,648449,16211,17870,38000,12500,,3,0,0,0,0,0,0,3,0,0,3410,47,0,0,18,,0,0,0,0,0,0,11,6,42000000,48598440000,72516000000,5141000000,55,954900,5,2216,57972,2000,33000,0,0,828214000,0,0,20000,0,64589,498,1370,300
Honduras,103,9529188,4192843,3144632,95292,52225,0,23000,,45,6,7,10,10,1,0,11,0,22,4666,0,48,0,98,,0,0,0,0,0,0,93,0,612300000,7785000000,71297000000,8036000000,129,4296000,8,699,14742,20,71000,0,0,0,0,0,144000,0,112090,832,1575,465
Mali,104,21990607,6817088,4288168,351850,40000,0,4800,,44,9,12,8,4,1,0,10,8,0,3717,0,50,30,0,,0,0,0,0,0,0,0,0,1110000000,4085000000,71253000000,647800000,30,9126000,0,593,139107,0,46000,0,0,0,0,0,0,0,1240192,0,7908,1800
Zimbabwe,105,17150352,6517134,3721626,360157,29000,0,21800,,80,9,9,14,20,0,0,28,6,60,1248,0,0,0,0,,0,0,0,0,0,0,0,0,1976800000,6671000000,57391000000,484973000,144,6386000,0,3427,97267,800,34000,0,0,0,0,7968000,6705000,502000000,390757,0,3229,0
Estonia,106,1193791,584958,456028,13132,7700,230000,10000,,2,0,0,2,0,0,0,0,0,0,2579,48,0,6,8,,0,0,0,0,0,0,4,4,2375000000,29040000000,57001000000,2075000000,34,756200,20,1441,89382,24000,27000,0,0,354912000,0,0,800,0,45228,3794,657,335
Uganda,107,49283041,16756234,9905891,985661,45000,0,10000,,51,6,0,3,12,0,0,30,6,259,9702,6,26,12,0,,0,0,0,0,0,0,0,0,1510000000,10469000000,144137000000,3432750000,39,22829000,0,1244,20544,0,44000,2500000000,0,0,14158000000,19,0,799999000,241038,0,2729,0
Ivory Coast,108,29981758,12292521,7855221,569653,22000,0,5500,,22,0,0,3,2,3,0,14,5,0,1328,0,4,6,8,,0,0,0,0,0,0,7,0,18200000,26576000000,215018000000,7583484000,29,12595000,5,660,81996,29000,87000,100000000,2635000000,2635000000,28317000000,0,0,0,322463,515,3458,980
Kyrgyzstan,109,6172101,3147772,2487357,117270,23000,0,55000,,7,0,0,0,0,0,0,7,2,215,5372,30,174,21,0,,0,0,0,0,0,0,0,0,654000000,3617000000,50907000000,5089000000,28,3197000,0,424,34000,6000,31000,40000000,31026000,438000000,5663000000,3685000,4212000,28499000000,199951,0,4573,576
