country,capital_city,region,continent,alliance,year,power_index_rank,population,total_personnel,manpower-fit-for-military-service,manpower-reaching-military-age-annually,active_personnel,active-reserve-military-manpower,manpower-paramilitary,total_aircraft,aircraft-total-fighters,aircraft-total-attack-types,aircraft-total-transports,aircraft-total-trainers,aircraft-total-special-mission,aircraft-total-tanker-fleet,aircraft-helicopters-total,aircraft-helicopters-attack,tanks,armor-apc-total,armor-self-propelled-guns-total,armor-towed-artillery-total,armor-mlrs-total,naval_assets,navy-force-by-tonnage,navy-aircraft-carriers,navy-helo-carriers,navy-submarines,navy-destroyers,navy-frigates,navy-corvettes,navy-patrol-coastal-craft,navy-mine-warfare-craft,defense_budget_usd,external-debt-by-country,gdp_usd,reserves-of-foreign-exchange-and-gold,major-serviceable-airports-by-country,labor-force-by-country,major-ports-and-terminals,merchant-marine-strength-by-country,railway-coverage,roadway-coverage,oil-production-by-country,oil-consumption-by-country,proven-oil-reserves-by-country,natural-gas-production-by-country,natural-gas-consumption-by-country,proven-natural-gas-reserves-by-country,coal-production-by-country,coal-consumption-by-country,proven-coal-reserves-by-country,land_area_sq_km,coastline_km,border-coverage,waterway-coverage,total_assets,assets_per_capita,budget_to_gdp_ratio,personnel_density,budget_per_soldier,power_index_rank_gap,air_power_ratio,armor_intensity_index,naval_strength_per_coastline,military_burden_index,coalition_strength_index
Nigeria,Unknown,Unknown,Unknown,Non-NATO,2026,31,236747130.0,125475979.0,90437404.0,4261448.0,230000.0,0.0,50000.0,163.0,14.0,24.0,23.0,28.0,11.0,0.0,66.0,15.0,330.0,8962.0,40.0,339.0,37.0,133.0,,0.0,0.0,0.0,0.0,1.0,0.0,109.0,2.0,3160000000.0,32455500000.0,1275000000000.0,41349000000.0,47.0,75721000.0,28.0,928.0,3798.0,195000.0,1541000.0,515000.0,36890000000.0,39951000000.0,20719000000.0,5761000000000.0,3043000.0,3044000.0,2144000000.0,923768.0,853.0,4477.0,8600.0,626.0,2.6441714414869568e-06,0.0024784313725490195,0.5300000004223916,13739.130434782608,30,0.000708695652173913,0.0003572325518961471,0.1559202813599062,13.347574688656204,25562.0
Mexico,Unknown,Unknown,Unknown,Non-NATO,2026,32,130739927.0,61447766.0,49811912.0,2222579.0,412000.0,98655.0,120000.0,433.0,3.0,33.0,41.0,176.0,25.0,0.0,178.0,0.0,0.0,19658.0,20.0,70.0,0.0,167.0,,0.0,0.0,0.0,5.0,1.0,3.0,140.0,0.0,7600000000.0,371359000000.0,2873000000000.0,214317000000.0,1485.0,60042000.0,35.0,674.0,23389.0,704884.0,2101000.0,1737000.0,5786000000.0,31422000000.0,90566000000.0,180322000000.0,7453000.0,18423000.0,1211000000.0,1964375.0,9330.0,4389.0,2900.0,600.0,4.58926369141999e-06,0.002645318482422555,0.47000000237111955,18446.601941747573,31,0.0010509708737864078,0.0,0.017899249732047158,58.1306734246532,25562.0
Argentina,Unknown,Unknown,Unknown,Non-NATO,2026,33,46994384.0,20677529.0,17575900.0,704916.0,108000.0,0.0,20000.0,239.0,23.0,11.0,52.0,71.0,13.0,2.0,94.0,0.0,342.0,21724.0,55.0,172.0,26.0,44.0,122128.0,0.0,0.0,2.0,3.0,0.0,6.0,13.0,0.0,928897000.0,178940000000.0,1235000000000.0,23081000000.0,756.0,21906000.0,37.0,201.0,17866.0,281290.0,807000.0,706000.0,2483000000.0,43280000000.0,46228000000.0,396464000000.0,1318000.0,3391000.0,799999000.0,2780400.0,4989.0,11968.0,11000.0,625.0,1.3299461484589308e-05,0.0007521433198380567,0.44000000085116553,8600.898148148148,32,0.002212962962962963,0.00012300388433318947,0.008819402685909,19.766127799440888,25562.0
North Korea,Unknown,Unknown,Unknown,Non-NATO,2026,34,26298666.0,9467520.0,5312331.0,420779.0,1320000.0,560000.0,100000.0,861.0,368.0,114.0,1.0,173.0,0.0,0.0,205.0,20.0,4344.0,18288.0,1300.0,700.0,1500.0,207.0,143304.0,0.0,0.0,13.0,0.0,2.0,4.0,155.0,1.0,4736000000.0,5500000000.0,72000000000.0,5500000000.0,83.0,15837000.0,10.0,264.0,7435.0,25554.0,0.0,17000.0,0.0,0.0,0.0,0.0,21747000.0,21747000.0,10600000000.0,120538.0,2495.0,1607.0,2250.0,5412.0,0.00020578990584541436,0.06577777777777778,0.36000000912593816,3587.878787878788,33,0.0006522727272727272,0.036038427715741096,0.08296593186372746,180.0851799859354,25562.0
Bangladesh,Unknown,Unknown,Unknown,Non-NATO,2026,35,168697184.0,82661620.0,66129296.0,3205246.0,163000.0,0.0,6800000.0,214.0,42.0,0.0,17.0,86.0,4.0,0.0,65.0,0.0,320.0,11584.0,56.0,546.0,110.0,118.0,75280.0,0.0,0.0,2.0,0.0,7.0,6.0,61.0,5.0,4374000000.0,51965000000.0,1413000000000.0,21860000000.0,17.0,74914000.0,2.0,558.0,2460.0,369105.0,13000.0,160000.0,28000000.0,24620000000.0,30384000000.0,126293000000.0,754000.0,7514000.0,3260000000.0,148460.0,580.0,4413.0,8370.0,652.0,3.864913358601173e-06,0.0030955414012738855,0.489999999051555,26834.355828220858,34,0.0013128834355828221,0.002155462750909336,0.20344827586206896,25.928115077487007,25562.0
Netherlands,Unknown,Unknown,Unknown,Non-NATO,2026,36,17772378.0,7997570.0,6486918.0,195496.0,41380.0,6765.0,5000.0,120.0,32.0,0.0,4.0,21.0,0.0,0.0,63.0,12.0,18.0,2755.0,46.0,0.0,2.0,64.0,124962.0,0.0,0.0,3.0,0.0,6.0,0.0,4.0,4.0,27000000000.0,4779954300000.0,1240000000000.0,69830000000.0,45.0,9999000.0,18.0,1187.0,3055.0,139124.0,70000.0,872000.0,137747000.0,17774000000.0,33243000000.0,132608000000.0,1825000.0,10610000.0,3247000000.0,41543.0,451.0,1053.0,6237.0,202.0,1.1365952265926371e-05,0.021774193548387097,0.44999999437329097,652489.125181247,35,0.0028999516674722086,0.0004332859928267097,0.1419068736141907,1519.211441485208,25562.0
Myanmar,Unknown,Unknown,Unknown,Non-NATO,2026,37,57527139.0,30489384.0,21975367.0,1035489.0,150000.0,20000.0,55000.0,317.0,58.0,26.0,30.0,119.0,5.0,0.0,83.0,9.0,445.0,5980.0,95.0,210.0,180.0,232.0,89240.0,0.0,0.0,3.0,0.0,6.0,3.0,146.0,2.0,2948000000.0,7253400000.0,290507000000.0,8590400000.0,73.0,22884000.0,7.0,101.0,5031.0,157000.0,7000.0,148000.0,139000000.0,16780000000.0,3788000000.0,637129000000.0,1268000.0,1453000.0,252000000.0,676578.0,1930.0,6522.0,12800.0,994.0,1.7278801228060376e-05,0.010147776129318742,0.5300000057364229,19653.333333333332,36,0.0021133333333333334,0.0006577216521967903,0.12020725388601036,51.24537829006236,25562.0
Norway,Unknown,Unknown,Unknown,Non-NATO,2026,38,5509733.0,2203893.0,1807192.0,71627.0,23250.0,0.0,40000.0,97.0,0.0,32.0,4.0,23.0,5.0,0.0,33.0,0.0,44.0,6552.0,42.0,0.0,0.0,43.0,65692.0,0.0,0.0,6.0,0.0,4.0,6.0,18.0,5.0,9710000000.0,716144000000.0,499528000000.0,80459000000.0,145.0,3009000.0,141.0,1720.0,3848.0,94902.0,2020000.0,229000.0,8122200000.0,123727000000.0,4548000000.0,1544455000000.0,117000.0,1201000.0,2000000.0,323802.0,25148.0,2566.0,1577.0,184.0,3.339544765599349e-05,0.01943834980221329,0.39999996370060037,417634.40860215056,37,0.004172043010752688,0.00013588551028097416,0.001709877525051694,1762.3358518461785,25562.0
Portugal,Unknown,Unknown,Unknown,Non-NATO,2026,39,10639726.0,5319863.0,4096295.0,127677.0,24000.0,211700.0,24700.0,115.0,28.0,0.0,19.0,23.0,14.0,3.0,31.0,0.0,34.0,10828.0,24.0,115.0,0.0,194.0,38657.0,0.0,0.0,2.0,0.0,5.0,2.0,20.0,0.0,4627000000.0,399395000000.0,529901000000.0,53710000000.0,136.0,5140900.0,18.0,996.0,3622.0,136635.0,12932.0,191000.0,22440000.0,0.0,4500000000.0,72000000000.0,0.0,0.0,40000000.0,92090.0,1793.0,1224.0,764.0,343.0,3.223767228592165e-05,0.008731819717267943,0.5,192791.66666666666,38,0.004791666666666666,0.0003692040395265501,0.10819854991634133,434.87962002029,25562.0
South Africa,Unknown,Unknown,Unknown,Non-NATO,2026,40,60442647.0,27803618.0,14989776.0,1027525.0,71235.0,29350.0,50000.0,182.0,2.0,0.0,12.0,81.0,0.0,0.0,87.0,10.0,252.0,18692.0,49.0,134.0,101.0,49.0,40186.0,0.0,0.0,3.0,0.0,4.0,0.0,33.0,2.0,2266800000.0,58773000000.0,862981000000.0,62492000000.0,575.0,25158000.0,8.0,110.0,20986.0,750000.0,95000.0,601000.0,15000000.0,59128000.0,4487000000.0,0.0,245467000.0,176148000.0,9893000000.0,1219090.0,2798.0,5244.0,0.0,483.0,7.991046454335464e-06,0.0026267090468967452,0.46000000628695165,31821.436091808802,39,0.0025549238436162,0.0002067115635432987,0.017512508934953538,37.50332112357687,25562.0
Philippines,Unknown,Unknown,Unknown,Non-NATO,2026,41,118277063.0,50859137.0,41751803.0,2128987.0,150000.0,1200000.0,35000.0,202.0,0.0,25.0,26.0,23.0,8.0,0.0,122.0,2.0,10.0,11878.0,12.0,294.0,0.0,113.0,76313.0,0.0,0.0,0.0,0.0,2.0,1.0,58.0,0.0,4380000000.0,90200000000.0,1138000000000.0,103742000000.0,246.0,49477000.0,70.0,2203.0,77.0,216387.0,10000.0,453000.0,138500000.0,2251000000.0,2251000000.0,98543000000.0,14483000.0,37130000.0,361000000.0,300000.0,36289.0,0.0,3219.0,325.0,2.7477855110419847e-06,0.0038488576449912126,0.4299999992390748,29200.0,40,0.0013466666666666666,3.3333333333333335e-05,0.003113891261814875,37.03169396419659,25562.0
Malaysia,Unknown,Unknown,Unknown,Non-NATO,2026,42,34564810.0,16245461.0,13480276.0,553037.0,113000.0,51600.0,100000.0,135.0,26.0,12.0,16.0,31.0,6.0,4.0,45.0,0.0,48.0,13506.0,0.0,196.0,36.0,100.0,67735.0,0.0,0.0,2.0,0.0,2.0,6.0,71.0,4.0,4800000000.0,247500000000.0,1152000000000.0,113438000000.0,102.0,17308000.0,35.0,1750.0,1851.0,144403.0,582000.0,717000.0,3600000000.0,75456000000.0,42499000000.0,1189000000000.0,3731000.0,35050000.0,226000000.0,329847.0,4675.0,2742.0,7200.0,283.0,8.187517883072407e-06,0.004166666666666667,0.4700000086793476,42477.87610619469,41,0.0011946902654867257,0.00014552201475229426,0.0213903743315508,138.8695612676592,25562.0
Iraq,Unknown,Unknown,Unknown,Non-NATO,2026,43,42083436.0,17675043.0,14308368.0,715418.0,193000.0,0.0,100000.0,391.0,26.0,36.0,15.0,139.0,17.0,0.0,197.0,39.0,1025.0,37288.0,434.0,610.0,572.0,68.0,,0.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,7923000000.0,45032500000.0,572939000000.0,112233000000.0,71.0,11812000.0,6.0,74.0,2272.0,59623.0,4437000.0,918000.0,145019000000.0,9860000000.0,19298000000.0,3729000000000.0,0.0,0.0,0.0,438317.0,58.0,3809.0,5279.0,1484.0,3.526328030819537e-05,0.013828697295872685,0.4199999971485218,41051.81347150259,42,0.0020259067357512955,0.002338490179481973,1.1724137931034482,188.2688476292668,25562.0
Switzerland,Unknown,Unknown,Unknown,Non-NATO,2026,44,8860574.0,3898653.0,3163225.0,97466.0,101584.0,49715.0,5000.0,146.0,43.0,0.0,16.0,44.0,3.0,0.0,40.0,0.0,205.0,6996.0,133.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25039000000.0,2200000000000.0,733779000000.0,863892000000.0,62.0,4991000.0,0.0,17.0,5296.0,71557.0,300.0,193000.0,0.0,0.0,3138000000.0,0.0,0.0,161000.0,0.0,41277.0,0.0,1770.0,1292.0,351.0,3.9613686427087e-05,0.03412335321670421,0.4400000496581824,246485.66703417862,43,0.0014372342101118287,0.004966446204908302,,2825.88915797103,25562.0
Denmark,Unknown,Unknown,Unknown,Non-NATO,2026,45,5973136.0,2628180.0,2126436.0,77651.0,20000.0,12000.0,51000.0,117.0,31.0,4.0,4.0,41.0,3.0,0.0,34.0,0.0,44.0,3856.0,19.0,0.0,8.0,50.0,121180.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,6.0,7225466250.0,555500000000.0,428385000000.0,109371000000.0,99.0,3180000.0,69.0,715.0,2682.0,74558.0,63000.0,152000.0,441000000.0,1879000000.0,2208000000.0,29534000000.0,0.0,1788000.0,0.0,43094.0,7314.0,140.0,400.0,211.0,3.532482769520064e-05,0.016866758289856086,0.4400000267865992,361273.3125,44,0.00585,0.0010210238084188054,0.006836204539239814,1209.660427956102,25562.0
Colombia,Unknown,Unknown,Unknown,Non-NATO,2026,46,49588357.0,24298295.0,19190694.0,843002.0,293200.0,35000.0,150000.0,436.0,16.0,24.0,86.0,72.0,23.0,1.0,257.0,0.0,0.0,3460.0,6.0,110.0,0.0,233.0,31090.0,0.0,0.0,4.0,0.0,7.0,2.0,217.0,0.0,10541500000.0,116779500000.0,978024000000.0,59041000000.0,662.0,26003000.0,14.0,153.0,2141.0,205379.0,800000.0,320000.0,2036000000.0,11290000000.0,11451000000.0,87782000000.0,58747000.0,7880000.0,4554000000.0,1138910.0,3208.0,6672.0,24725.0,669.0,1.349107009131196e-05,0.01077836535708735,0.4900000014116217,35953.27421555253,45,0.0014870395634379264,0.0,0.07263092269326683,212.58014255241406,25562.0
Chile,Unknown,Unknown,Unknown,Non-NATO,2026,47,18664652.0,8959033.0,7521855.0,298634.0,80000.0,40000.0,50000.0,277.0,45.0,0.0,32.0,92.0,21.0,5.0,87.0,0.0,386.0,8832.0,48.0,249.0,8.0,130.0,176065.0,0.0,0.0,4.0,0.0,8.0,0.0,40.0,0.0,5032500000.0,214500000000.0,579201000000.0,46377000000.0,374.0,9848000.0,39.0,249.0,7282.0,77801.0,11000.0,405000.0,150000000.0,1200000000.0,6916000000.0,97976000000.0,499000.0,8637000.0,1181000000.0,756102.0,6435.0,7801.0,12290.0,793.0,4.248672838904256e-05,0.008688693562338463,0.48000000214308847,62906.25,46,0.0034625,0.0005105131318261293,0.020202020202020204,269.62731477661623,25562.0
Finland,Unknown,Unknown,Unknown,Non-NATO,2026,48,5626414.0,2306830.0,1912981.0,56264.0,24000.0,870000.0,53800.0,163.0,54.0,0.0,11.0,77.0,1.0,0.0,27.0,0.0,200.0,11704.0,107.0,667.0,76.0,264.0,19434.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,6779661000.0,660000000000.0,321126000000.0,16929000000.0,98.0,2880000.0,37.0,282.0,5918.0,454000.0,8000.0,175000.0,0.0,0.0,1157000000.0,0.0,808000.0,4141000.0,0.0,338145.0,1250.0,2563.0,8000.0,627.0,0.00011143865346559994,0.021112152239307937,0.41000004621060593,282485.875,47,0.006791666666666666,0.0005914622425290926,0.2112,1204.9701639445657,25562.0
Peru,Unknown,Unknown,Unknown,Non-NATO,2026,49,32600249.0,15648120.0,12681497.0,619405.0,120000.0,385000.0,60000.0,256.0,15.0,22.0,38.0,72.0,12.0,0.0,111.0,16.0,240.0,6560.0,12.0,290.0,49.0,71.0,170344.0,0.0,0.0,4.0,0.0,7.0,8.0,13.0,0.0,3420000000.0,59400000000.0,517644000000.0,71394000000.0,166.0,18529000.0,20.0,111.0,1855.0,18699.0,118000.0,210000.0,858890000.0,12270000000.0,7185000000.0,300159000000.0,153000.0,712000.0,1567000000.0,1285216.0,2414.0,7062.0,8808.0,567.0,1.7392505192214944e-05,0.006606857222338132,0.48000001472381393,28500.0,48,0.0021333333333333334,0.00018673903841844483,0.029411764705882353,104.90717417526473,25562.0
Venezuela,Unknown,Unknown,Unknown,Non-NATO,2026,50,31250306.0,15625153.0,12812625.0,625006.0,109000.0,8000.0,220000.0,229.0,30.0,0.0,49.0,75.0,3.0,1.0,88.0,10.0,172.0,8802.0,48.0,100.0,36.0,34.0,,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.0,4093120000.0,110330000000.0,295974800000.0,10095500000.0,502.0,11548000.0,31.0,272.0,447.0,96189.0,761000.0,367000.0,303806000000.0,17696000000.0,17696000000.0,5674000000000.0,197000.0,82000.0,730999000.0,912050.0,2800.0,5267.0,7100.0,435.0,1.3919863696694681e-05,0.013829285466195095,0.5,37551.55963302752,49,0.0021009174311926605,0.00018858615207499588,0.012142857142857143,130.97855745796537,25562.0
Romania,Unknown,Unknown,Unknown,Non-NATO,2026,51,18148155.0,9437041.0,7731114.0,199630.0,81300.0,55000.0,15000.0,140.0,21.0,0.0,14.0,44.0,2.0,0.0,65.0,0.0,328.0,10774.0,0.0,720.0,243.0,20.0,,0.0,0.0,0.0,0.0,3.0,7.0,3.0,5.0,9700000000.0,132000000000.0,772107000000.0,73000000000.0,82.0,8282000.0,11.0,127.0,10628.0,84185.0,67000.0,221000.0,600000000.0,9501000000.0,10055000000.0,105480000000.0,18160000.0,19404000.0,291000000.0,238391.0,225.0,2844.0,1731.0,488.0,2.6889785766101294e-05,0.012563025591012645,0.520000022040808,119311.19311193112,50,0.0017220172201722018,0.001375890868363319,0.08888888888888889,534.4895941212757,25562.0
Ethiopia,Unknown,Unknown,Unknown,Non-NATO,2026,52,118550298.0,56904143.0,35327989.0,2726657.0,162000.0,0.0,0.0,103.0,25.0,0.0,8.0,34.0,0.0,0.0,33.0,7.0,338.0,7256.0,35.0,309.0,40.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2097575000.0,25761000000.0,354604000000.0,3131288000.0,57.0,61664000.0,0.0,12.0,659.0,120171.0,0.0,110000.0,428000.0,0.0,0.0,24919000000.0,8000.0,660000.0,0.0,1104300.0,0.0,5925.0,0.0,441.0,3.7199400376032798e-06,0.005915260403153941,0.4799999996625905,12947.993827160493,51,0.0006358024691358025,0.00030607624739654077,,17.69354472647551,25562.0
Czechia,Unknown,Unknown,Unknown,Non-NATO,2026,53,10837890.0,5093808.0,4129236.0,97541.0,28000.0,4200.0,0.0,99.0,12.0,16.0,10.0,17.0,2.0,0.0,42.0,4.0,43.0,6340.0,50.0,0.0,16.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6750000000.0,211200000000.0,519007000000.0,148379000000.0,243.0,5502000.0,0.0,0.0,9548.0,55744.0,4000.0,211000.0,15000000.0,224725000.0,7602000000.0,3964000000.0,37423000.0,40239000.0,3595000000.0,78867.0,0.0,2046.0,664.0,142.0,1.3102181328653455e-05,0.013005604934037499,0.4699999723193352,241071.42857142858,52,0.0035357142857142857,0.0005452217023596688,,622.8149575240199,25562.0
United Arab Emirates,Unknown,Unknown,Unknown,Non-NATO,2026,54,10032213.0,5818684.0,4945881.0,80258.0,65000.0,130000.0,12000.0,551.0,99.0,16.0,37.0,147.0,27.0,4.0,247.0,30.0,354.0,8707.0,165.0,99.0,49.0,181.0,44188.0,0.0,0.0,0.0,0.0,0.0,11.0,34.0,2.0,2212360382.0,264000000000.0,719733000000.0,189491000000.0,42.0,6668000.0,20.0,655.0,0.0,4080.0,4146000.0,939000.0,97800000000.0,56683000000.0,66091000000.0,6091000000.0,0.0,3273000.0,0.0,83600.0,1318.0,1066.0,0.0,1086.0,0.00010825129011913922,0.0030738626435080785,0.580000045852296,34036.31356923077,53,0.008476923076923076,0.00423444976076555,0.13732928679817905,220.52565889500153,25562.0
Hungary,Unknown,Unknown,Unknown,Non-NATO,2026,55,9855745.0,4632200.0,3794462.0,118269.0,41600.0,20000.0,15000.0,69.0,12.0,0.0,3.0,12.0,0.0,0.0,44.0,8.0,209.0,7797.0,24.0,295.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4576000000.0,137500000000.0,388906000000.0,45719000000.0,109.0,5006000.0,0.0,1.0,7687.0,203601.0,36000.0,175000.0,12100000.0,1523000000.0,9485000000.0,3738000000.0,5450000.0,6180000.0,2909000000.0,103000.0,0.0,2106.0,1622.0,278.0,2.820689861598489e-05,0.01176633942392249,0.4699999847804504,110000.0,54,0.0016586538461538462,0.002029126213592233,,464.29772685880164,25562.0
Angola,Unknown,Unknown,Unknown,Non-NATO,2026,56,37202061.0,7440412.0,3720206.0,372021.0,107000.0,0.0,10000.0,298.0,71.0,12.0,31.0,66.0,2.0,0.0,116.0,15.0,309.0,5500.0,25.0,575.0,113.0,31.0,,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,1101360000.0,45774500000.0,265868000000.0,13942000000.0,106.0,15223000.0,21.0,64.0,2761.0,26000.0,1175000.0,127000.0,7783000000.0,5514000000.0,1397000000.0,343002000000.0,0.0,0.0,0.0,1246700.0,1600.0,5369.0,1300.0,638.0,1.71495874919403e-05,0.004142506807889629,0.19999999462395376,10293.084112149532,55,0.0027850467289719624,0.0002478543354455763,0.019375,29.604811410851674,25562.0
Kazakhstan,Unknown,Unknown,Unknown,Non-NATO,2026,57,20260006.0,9117003.0,6928922.0,283640.0,110000.0,135000.0,55000.0,198.0,63.0,25.0,19.0,26.0,0.0,0.0,65.0,12.0,350.0,7736.0,126.0,194.0,287.0,26.0,,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,2048700000.0,91321500000.0,705520000000.0,35965000000.0,132.0,9587000.0,0.0,122.0,16636.0,96167.0,1955000.0,288000.0,30000000000.0,27011000000.0,22623000000.0,2407000000000.0,118195000.0,84852000.0,25605000000.0,2724900.0,26.0,13364.0,43983.0,574.0,2.833167966485301e-05,0.0029038156253543487,0.45000001480749807,18624.545454545456,56,0.0018,0.0001284450805534148,1.0,101.12040440659297,25562.0
Uzbekistan,Unknown,Unknown,Unknown,Non-NATO,2026,58,36520593.0,18990708.0,15959499.0,730412.0,48000.0,0.0,20000.0,192.0,58.0,13.0,13.0,7.0,0.0,0.0,101.0,34.0,340.0,2970.0,147.0,236.0,108.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2803500000.0,19652500000.0,319174000000.0,34558000000.0,74.0,14270000.0,0.0,0.0,4642.0,86496.0,64000.0,91000.0,594000000.0,47500000000.0,43227000000.0,1841000000000.0,5356000.0,7396000.0,1375000000.0,447400.0,420.0,6893.0,1100.0,532.0,1.4567123814227222e-05,0.008783610193812779,0.5199999901425478,58406.25,57,0.004,0.0007599463567277603,0.0,76.76490904734214,25562.0
Morocco,Unknown,Unknown,Unknown,Non-NATO,2026,59,37387585.0,17946041.0,15254135.0,635589.0,195800.0,150000.0,50000.0,260.0,83.0,0.0,31.0,75.0,4.0,2.0,78.0,0.0,903.0,7877.0,396.0,153.0,129.0,111.0,,0.0,0.0,0.0,0.0,6.0,1.0,105.0,0.0,13400000000.0,45645000000.0,337480000000.0,36328000000.0,49.0,12284000.0,12.0,94.0,2067.0,57300.0,25.0,318000.0,684000.0,82595000.0,243201000.0,1444000000.0,0.0,11940000.0,96000000.0,715550.0,1835.0,2363.0,0.0,1274.0,3.407548254320251e-05,0.039706056655209196,0.4800000053493693,68437.18079673137,58,0.001327885597548519,0.0012619663196142827,0.060490463215258854,358.40774417497147,25562.0
Azerbaijan,Unknown,Unknown,Unknown,Non-NATO,2026,60,10650239.0,5218617.0,3908638.0,159754.0,126400.0,300000.0,15000.0,154.0,12.0,18.0,3.0,35.0,0.0,0.0,86.0,16.0,497.0,7642.0,198.0,650.0,268.0,38.0,,0.0,0.0,4.0,0.0,0.0,0.0,17.0,4.0,5000000000.0,16159500000.0,215896000000.0,13749000000.0,32.0,5473000.0,0.0,312.0,2944.0,24981.0,618000.0,105000.0,7000000000.0,34175000000.0,11759000000.0,1699000000000.0,0.0,60000.0,0.0,86600.0,713.0,2468.0,0.0,689.0,6.469338387617405e-05,0.023159298921703042,0.4899999896715933,39556.962025316454,59,0.0012183544303797469,0.0057390300230946885,0.05329593267882188,469.4730324831208,25562.0
Belgium,Unknown,Unknown,Unknown,Non-NATO,2026,61,11977634.0,4910830.0,3880753.0,119776.0,25000.0,6400.0,0.0,108.0,43.0,0.0,7.0,38.0,0.0,0.0,20.0,0.0,0.0,4606.0,0.0,0.0,0.0,9.0,10190.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,10200000000.0,1449264300000.0,751592000000.0,40813000000.0,49.0,5432000.0,7.0,198.0,3602.0,118414.0,11000.0,585000.0,0.0,13436000.0,15347000000.0,0.0,1270000.0,4869000.0,4100000000.0,30528.0,67.0,1297.0,2043.0,117.0,9.768206308524706e-06,0.013571192881244079,0.4100000050093366,408000.0,60,0.00432,0.0,0.13432835820895522,851.5872166406153,25562.0
Bulgaria,Unknown,Unknown,Unknown,Non-NATO,2026,62,6782659.0,3187850.0,2611324.0,61044.0,37000.0,3000.0,0.0,65.0,10.0,5.0,6.0,21.0,0.0,0.0,27.0,4.0,90.0,4914.0,48.0,24.0,24.0,36.0,,0.0,0.0,0.0,0.0,4.0,3.0,0.0,10.0,1373232000.0,27138500000.0,214061000000.0,46334000000.0,111.0,3103000.0,2.0,78.0,4029.0,19512.0,4000.0,101000.0,15000000.0,20837000.0,2801000000.0,5663000000.0,35516000.0,35970000.0,2366000000.0,110880.0,354.0,1806.0,470.0,191.0,2.8160047556570367e-05,0.006415143346989877,0.4700000398073971,37114.37837837838,61,0.0017567567567567568,0.0008116883116883117,0.1016949152542373,202.4621907131112,25562.0
Serbia,Unknown,Unknown,Unknown,Non-NATO,2026,63,6652212.0,3259584.0,2574406.0,79827.0,25000.0,2000.0,600000.0,110.0,11.0,17.0,3.0,33.0,0.0,0.0,46.0,4.0,262.0,3683.0,90.0,150.0,98.0,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2287461000.0,35200000000.0,162213000000.0,27569000000.0,43.0,3333000.0,0.0,0.0,3333.0,44248.0,13000.0,82000.0,77500000.0,353376000.0,2939000000.0,48139000000.0,35129000.0,38297000.0,7514000000.0,77474.0,0.0,2322.0,587.0,392.0,5.8927767184810105e-05,0.014101588651957611,0.4900000180391124,91498.44,62,0.0044,0.0033817796938327696,inf,343.8647174804411,25562.0
Syria,Unknown,Unknown,Unknown,Non-NATO,2026,64,23865423.0,15273871.0,13245310.0,668232.0,170000.0,50000.0,50000.0,207.0,104.0,9.0,3.0,15.0,1.0,0.0,77.0,14.0,365.0,11148.0,90.0,641.0,204.0,27.0,,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,291850000.0,4309500000.0,55935900000.0,341962500.0,39.0,6315000.0,3.0,24.0,2052.0,69873.0,75000.0,138000.0,2500000000.0,3085000000.0,3084000000.0,240693000000.0,0.0,47000.0,0.0,187437.0,193.0,2363.0,900.0,599.0,2.509907324919403e-05,0.005217579407857923,0.6400000117324549,1716.764705882353,63,0.0012176470588235295,0.0019473209665114145,0.13989637305699482,12.228989194953721,25562.0
Ecuador,Unknown,Unknown,Unknown,Non-NATO,2026,65,18309984.0,8422593.0,6738074.0,329580.0,41250.0,118000.0,1500.0,102.0,0.0,0.0,20.0,34.0,8.0,0.0,46.0,0.0,54.0,5204.0,5.0,106.0,24.0,30.0,,0.0,0.0,2.0,0.0,2.0,6.0,5.0,0.0,2376000000.0,44898000000.0,260213000000.0,4442000000.0,310.0,8893000.0,6.0,154.0,965.0,43950.0,480000.0,225000.0,8273000000.0,309778000.0,309778000.0,10902000000.0,0.0,21000.0,24000000.0,283560.0,2237.0,2237.0,1500.0,186.0,1.0158392273854526e-05,0.009130981157743849,0.4600000196614044,57600.0,64,0.0024727272727272727,0.00019043588658484975,0.013410818059901655,129.76526904665783,25562.0
