country,capital_city,region,continent,alliance,year,active_personnel,reserve_personnel,total_personnel,total_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,helicopters,tanks,armored_vehicles,artillery_units,naval_assets,aircraft_carriers,defense_budget_usd,gdp_usd,population,land_area_sq_km,coastline_km,power_index_rank,Power_index_score,assets_per_capita,budget_to_gdp_ratio,personnel_density,budget_per_soldier,power_index_rank_gap,air_power_ratio,armor_intensity_index,naval_strength_per_coastline,military_burden_index,total_assets
Latvia,Other,Other,Other,Non-NATO,2025,17250,36000,53250,7,0,0,0,7,0,1848,47,18,0,1138000000,71154000000,1801246,64589,498,99,2.1246,1.4e-05,0.015993,0.029563,65971.014493,98,0.000406,0.0,0.036145,631.784887,25
Uruguay,Other,Other,Other,Non-NATO,2025,25000,0,25000,43,0,6,6,12,31,3042,6,14,0,772400000,105096000000,3425330,176215,660,100,2.1385,2.6e-05,0.007349,0.007299,30896.0,99,0.00172,0.000176,0.021212,225.496522,88
Honduras,Other,Other,Other,Non-NATO,2025,52225,60000,112225,40,4,7,10,8,11,614,0,98,0,413635000,68854000000,9529188,112090,832,101,2.1679,1.6e-05,0.006007,0.011777,7920.248923,100,0.000766,9.8e-05,0.117788,43.407161,149
Ivory Coast,Other,Other,Other,Non-NATO,2025,22000,0,22000,19,0,0,4,10,5,656,0,3,0,669600935,202758000000,29981758,322463,515,102,2.1796,1e-06,0.003302,0.000734,30436.406136,101,0.000864,1.6e-05,0.005825,22.333611,27
Guatemala,Other,Other,Other,Non-NATO,2025,106114,90000,196114,36,0,4,10,21,5,688,0,25,0,408635000,223183000000,18255216,108889,400,103,2.1956,4e-06,0.001831,0.010743,3850.90563,102,0.000339,4.6e-05,0.0625,22.384561,66
Mali,Other,Other,Other,Non-NATO,2025,40000,0,40000,43,9,12,7,10,10,570,0,0,0,650386000,57235000000,21990607,1240192,0,104,2.2379,2e-06,0.011363,0.001819,16259.65,103,0.001075,8e-06,0.0,29.575627,53
Kyrgyzstan,Other,Other,Other,Non-NATO,2025,23000,300000,323000,7,0,0,0,7,215,2686,30,0,0,221800000,45461000000,6172101,199951,0,105,2.2543,3.6e-05,0.004879,0.052332,9643.478261,104,0.000304,0.001075,0.0,35.935899,222
Laos,Other,Other,Other,Non-NATO,2025,100000,30000,130000,33,0,0,2,23,160,4380,40,36,0,135000000,64173000000,7953556,236800,0,106,2.2663,2.9e-05,0.002104,0.016345,1350.0,105,0.00033,0.000676,36.0,16.97354,229
Estonia,Other,Other,Other,Non-NATO,2025,7700,78800,86500,5,0,0,2,3,0,1685,36,8,0,1463360000,57377000000,1193791,45228,3794,107,2.2917,1.1e-05,0.025504,0.072458,190046.753247,106,0.000649,0.0,0.002109,1225.809208,13
Tajikistan,Other,Other,Other,Non-NATO,2025,9500,600000,609500,25,0,0,1,20,38,1240,3,0,0,446000000,46467000000,10394063,144100,0,108,2.3049,6e-06,0.009598,0.058639,46947.368421,107,0.002632,0.000264,0.0,42.909111,63
Zambia,Other,Other,Other,Non-NATO,2025,15150,0,15150,77,0,0,13,32,35,424,12,0,0,394240000,76493000000,20799116,752618,0,109,2.3411,5e-06,0.005154,0.000728,26022.442244,108,0.005083,4.7e-05,0.0,18.954652,112
Ghana,Other,Other,Other,Non-NATO,2025,15500,0,15500,19,0,0,2,10,0,1824,0,28,0,308500000,229639000000,34589092,238533,539,110,2.3775,1e-06,0.001343,0.000448,19903.225806,109,0.001226,0.0,0.051948,8.918997,47
Zimbabwe,Other,Other,Other,Non-NATO,2025,29000,0,29000,95,13,0,14,28,15,828,0,0,0,530800000,58583000000,17150352,390757,0,111,2.3863,6e-06,0.009061,0.001691,18303.448276,110,0.003276,3.8e-05,0.0,30.949802,110
North Macedonia,Other,Other,Other,Non-NATO,2025,9000,60000,69000,20,0,0,0,10,20,1108,0,0,0,388421700,42444000000,2135622,25713,0,112,2.4042,1.9e-05,0.009151,0.032309,43157.966667,111,0.002222,0.000778,0.0,181.877551,40
South Sudan,Other,Other,Other,Non-NATO,2025,185000,0,185000,20,0,0,5,15,30,1950,24,0,0,175300000,20010000000,12703714,644329,0,113,2.4321,4e-06,0.008761,0.014563,947.567568,112,0.000108,4.7e-05,0.0,13.799114,50
Uganda,Other,Other,Other,Non-NATO,2025,45000,0,45000,51,6,0,0,30,259,3862,6,0,0,985400000,135668000000,49283041,241038,0,114,2.4767,6e-06,0.007263,0.000913,21897.777778,113,0.001133,0.001075,0.0,19.994708,310
Lebanon,Other,Other,Other,Non-NATO,2025,60000,35000,95000,80,0,9,0,68,116,4538,12,64,0,768250325,65818000000,5364482,10400,225,115,2.5981,4.8e-05,0.011672,0.017709,12804.172083,114,0.001333,0.011154,0.284444,143.210533,260
Namibia,Other,Other,Other,Non-NATO,2025,13000,0,13000,34,11,0,3,7,4,2094,0,15,0,370500000,29944000000,2803660,824292,1572,116,2.6384,1.9e-05,0.012373,0.004637,28500.0,115,0.002615,5e-06,0.009542,132.148691,53
Luxembourg,Other,Other,Other,Non-NATO,2025,1000,0,1000,1,0,0,1,0,0,182,0,0,0,726092925,88533000000,671254,2586,0,117,2.6415,1e-06,0.008201,0.00149,726092.925,116,0.001,0.0,0.0,1081.696236,1
Afghanistan,Other,Other,Other,Non-NATO,2025,0,0,0,9,0,0,3,6,0,5202,0,0,0,290000000,54772700000,40121552,652230,0,118,2.6442,0.0,0.005295,0.0,290000000.0,117,9.0,0.0,0.0,7.228035,9
Niger,Other,Other,Other,Non-NATO,2025,25000,0,25000,26,0,2,7,13,0,456,0,0,0,336400000,44561000000,26342784,1267000,0,119,2.6689,1e-06,0.007549,0.000949,13456.0,118,0.00104,0.0,0.0,12.770101,26
Eritrea,Other,Other,Other,Non-NATO,2025,120000,130000,250000,20,1,0,5,13,65,860,23,23,0,198000000,9702000000,6343956,117600,2234,120,2.6985,1.7e-05,0.020408,0.039408,1650.0,119,0.000167,0.000553,0.010295,31.210809,108
Republic of the Congo,Other,Other,Other,Non-NATO,2025,8500,0,8500,13,2,0,4,7,30,644,2,4,0,306400000,38163000000,6097665,342000,169,121,2.7282,8e-06,0.008029,0.001394,36047.058824,120,0.001529,8.8e-05,0.023669,50.248743,47
Botswana,Other,Other,Other,Non-NATO,2025,21000,0,21000,45,11,0,9,16,45,1224,12,0,0,465600000,46742000000,2450668,581730,0,122,2.7509,3.7e-05,0.009961,0.008569,22171.428571,121,0.002143,7.7e-05,0.0,189.989015,90
Mauritania,Other,Other,Other,Non-NATO,2025,31540,66000,97540,24,0,4,7,4,25,628,0,6,0,261250000,30395000000,4328040,1030700,754,123,2.7977,1.3e-05,0.008595,0.022537,8283.13253,122,0.000761,2.4e-05,0.007958,60.362196,55
Dominican Republic,Other,Other,Other,Non-NATO,2025,50000,0,50000,79,0,8,11,50,5,540,0,34,0,810800000,261616000000,10815857,48320,1288,124,2.8023,1.1e-05,0.003099,0.004623,16216.0,123,0.00158,0.000103,0.026398,74.964009,118
Senegal,Other,Other,Other,Non-NATO,2025,17000,0,17000,40,0,0,5,20,0,1740,0,4,0,465150000,77382000000,18847519,196722,531,125,2.8116,2e-06,0.006011,0.000902,27361.764706,124,0.002353,0.0,0.007533,24.679641,44
Nepal,Other,Other,Other,Non-NATO,2025,95000,0,95000,15,0,0,5,10,0,1108,0,0,0,409100000,144310000000,31122387,147181,0,126,2.8915,0.0,0.002835,0.003052,4306.315789,125,0.000158,0.0,0.0,13.144879,15
Montenegro,Other,Other,Other,Non-NATO,2025,2350,0,2350,11,0,0,0,11,0,471,0,14,0,148100000,17115000000,599849,13812,294,127,2.9216,4.2e-05,0.008653,0.003918,63021.276596,126,0.004681,0.0,0.047619,246.895469,25
El Salvador,Other,Other,Other,Non-NATO,2025,25000,10000,35000,52,0,15,4,30,0,1844,0,14,0,334620000,71957000000,6628702,21041,307,128,2.9371,1e-05,0.00465,0.00528,13384.8,127,0.00208,0.0,0.045603,50.480471,66
Burkina Faso,Other,Other,Other,Non-NATO,2025,12000,0,12000,25,0,3,2,18,0,491,0,0,0,81280000,57152000000,23042199,274200,0,129,2.9734,1e-06,0.001422,0.000521,6773.333333,128,0.002083,0.0,0.0,3.527441,25
Madagascar,Other,Other,Other,Non-NATO,2025,13500,0,13500,5,0,0,0,5,6,158,0,6,0,112210000,51255000000,29452714,587040,4828,130,3.0609,1e-06,0.002189,0.000458,8311.851852,129,0.00037,1e-05,0.001243,3.809836,17
Nicaragua,Other,Other,Other,Non-NATO,2025,45000,0,45000,17,0,0,5,11,89,1869,0,23,0,92000000,51088000000,6676948,130370,910,131,3.0966,1.9e-05,0.001801,0.00674,2044.444444,130,0.000378,0.000683,0.025275,13.77875,129
Bosnia and Herzegovina,Other,Other,Other,Non-NATO,2025,12770,6000,18770,22,0,0,0,22,45,720,0,0,0,216400000,63769000000,3798671,51197,20,132,3.0799,1.8e-05,0.003393,0.004941,16945.96711,131,0.001723,0.000879,0.0,56.967292,67
Gabon,Other,Other,Other,Non-NATO,2025,4800,0,4800,24,6,0,3,15,0,424,0,5,0,274820000,48201000000,2455105,267667,885,133,3.1805,1.2e-05,0.005702,0.001955,57254.166667,132,0.005,0.0,0.00565,111.938186,29
Moldova,Other,Other,Other,Non-NATO,2025,8500,67000,75500,3,0,0,1,2,0,500,9,0,0,1710000000,38969000000,3599528,33851,0,134,3.2555,1e-06,0.043881,0.020975,201176.470588,133,0.000353,0.0,0.0,475.062286,3
Iceland,Other,Other,Other,Non-NATO,2025,0,0,0,0,0,0,0,0,0,150,0,0,0,312400000,26155000000,364036,100250,4970,135,3.5181,0.0,0.011944,0.0,312400000.0,134,0.0,0.0,0.0,858.156886,0
Panama,Other,Other,Other,Non-NATO,2025,0,0,0,38,0,0,13,23,0,262,0,30,0,917202000,159867000000,4470241,75420,2490,136,3.6575,1.5e-05,0.005737,0.0,917202000.0,135,38.0,0.0,0.012048,205.179542,68
Beliz,Other,Other,Other,Non-NATO,2025,1650,850,2500,3,0,0,1,1,0,130,0,8,0,29538000,5257000000,415789,22966,386,137,3.7191,2.6e-05,0.005619,0.006013,17901.818182,136,0.001818,0.0,0.020725,71.04084,11
Liberia,Other,Other,Other,Non-NATO,2025,1500,0,1500,0,0,0,0,0,0,300,0,4,0,364800000,8884000000,5437249,111369,579,138,3.7781,1e-06,0.041063,0.000276,243200.0,137,0.0,0.0,0.006908,67.092752,4
Suriname,Other,Other,Other,Non-NATO,2025,2000,0,2000,3,0,0,0,3,0,650,0,17,0,144000000,11824000000,646758,163820,386,139,3.9127,3.1e-05,0.012179,0.003092,72000.0,138,0.0015,0.0,0.044041,222.648966,20
Sierra Leone,Other,Other,Other,Non-NATO,2025,13000,0,13000,1,0,0,0,1,0,150,0,7,0,228600000,14633000000,9121049,71740,402,140,3.9701,1e-06,0.015622,0.001425,17584.615385,139,7.7e-05,0.0,0.017413,25.062907,8
Kosovo,Other,Other,Other,Non-NATO,2025,10000,5000,15000,0,0,0,0,0,0,737,0,0,0,260715150,23794000000,1977093,10887,0,141,4.9141,0.0,0.010957,0.007587,26071.515,140,0.0,0.0,0.0,131.867924,0
Somalia,Other,Other,Other,Non-NATO,2025,15000,0,15000,0,0,0,0,0,0,682,0,10,0,171002350,26351000000,13017273,637657,3025,142,4.2037,1e-06,0.006489,0.001152,11400.156667,141,0.0,0.0,0.003306,13.136572,10
Central African Republic,Other,Other,Other,Non-NATO,2025,10000,0,10000,6,0,6,0,0,0,228,0,0,0,45990000,5849000000,5650957,622984,0,143,4.2347,1e-06,0.007863,0.00177,4599.0,142,0.0006,0.0,0.0,8.138445,6
Benin,Other,Other,Other,Non-NATO,2025,4750,0,4750,5,0,0,0,5,0,92,0,2,0,98350000,52510000000,14697052,112622,121,144,4.3156,0.0,0.001873,0.000323,20705.263158,143,0.001053,0.0,0.016529,6.691818,7
Bhutan,Other,Other,Other,Non-NATO,2025,7500,0,7500,2,0,0,0,2,0,84,0,0,0,14000000,10981000000,884546,38394,0,145,6.3934,2e-06,0.001275,0.008479,1866.666667,144,0.000267,0.0,0.0,15.827328,2
