country,power_index_rank,population,total_personnel,manpowerfitformilitaryservice,manpowerreachingmilitaryageannually,active_personnel,reserve_personnel,manpowerparamilitary,total_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,aircrafttotaltrainers,aircrafttotalspecialmission,aircrafttotaltankerfleet,helicopters,aircrafthelicoptersattack,tanks,armored_vehicles,armorselfpropelledgunstotal,artillery_units,armormlrstotal,naval_assets,navyforcebytonnage,aircraft_carriers,navyhelocarriers,navysubmarines,navydestroyers,navyfrigates,navycorvettes,navypatrolcoastalcraft,navyminewarfarecraft,defense_budget_usd,externaldebtbycountry,gdp_usd,reservesofforeignexchangeandgold,majorserviceableairportsbycountry,laborforcebycountry,majorportsandterminals,merchantmarinestrengthbycountry,roadwaycoverage,railwaycoverage,oilproductionbycountry,oilconsumptionbycountry,provenoilreservesbycountry,naturalgasproductionbycountry,naturalgasconsumptionbycountry,provennaturalgasreservesbycountry,coalproductionbycountry,coalconsumptionbycountry,provencoalreservesbycountry,land_area_sq_km,coastline_km,bordercoverage,waterwaycoverage,capital_city,continent,region,alliance,year,power_index_score,assets_per_capita,defense_budget_gdp_ratio,personnel_density,budget_per_soldier,rank_gap,air_power_ratio,armor_intensity,naval_per_coastline,military_burden,total_assets
Argentina,33,46994384,20677529,17575900,704916,108000,0,20000,239,23,11,52,71,13,2,94,0,342,21724,55,172,26,44,122128,0,0,2,3,0,6,13,0,928897000.0,179000000000.0,1240000000000.0,23081000000.0,756,21906000,37,201,281290,17866,807000,706000,2483000000.0,43280000000.0,46228000000.0,396000000000.0,1318000,3391000,799999000.0,2780400,4989,11968,11000,Buenos Aires,South America,South America,Non-NATO,2025,0.6013,1.3299461484589308e-05,0.0007491104838709677,0.44000000085116553,8600.898148148148,32,0.002212962962962963,0.00012300388433318947,0.008819402685909,19.766127799440888,625
North Korea,34,26298666,9467520,5312331,420779,1320000,560000,100000,861,368,114,1,173,0,0,205,20,4344,18288,1300,700,1500,207,143304,0,0,13,0,2,4,155,1,4736000000.0,5500000000.0,72000000000.0,5500000000.0,83,15837000,10,264,25554,7435,0,17000,0.0,0.0,0.0,0.0,21747000,21747000,10600000000.0,120538,2495,1607,2250,Pyongyang,Asia,East Asia,Non-NATO,2025,0.6016,0.00020578990584541436,0.06577777777777778,0.36000000912593816,3587.878787878788,33,0.0006522727272727272,0.036038427715741096,0.08296593186372746,180.0851799859354,5412
Bangladesh,35,168697184,82661620,66129296,3205246,163000,0,6800000,214,42,0,17,86,4,0,65,0,320,11584,56,546,110,118,75280,0,0,2,0,7,6,61,5,4374000000.0,51965000000.0,1410000000000.0,21860000000.0,17,74914000,2,558,369105,2460,13000,160000,28000000.0,24620000000.0,30384000000.0,126000000000.0,754000,7514000,3260000000.0,148460,580,4413,8370,Dhaka,Asia,South Asia,Non-NATO,2025,0.6062,3.864913358601173e-06,0.003102127659574468,0.489999999051555,26834.355828220858,34,0.0013128834355828221,0.002155462750909336,0.20344827586206896,25.928115077487007,652
Netherlands,36,17772378,7997570,6486918,195496,41380,6765,5000,120,32,0,4,21,0,0,63,12,18,2755,46,0,2,64,124962,0,0,3,0,6,0,4,4,27000000000.0,4780000000000.0,1240000000000.0,69830000000.0,45,9999000,18,1187,139124,3055,70000,872000,137747000.0,17774000000.0,33243000000.0,133000000000.0,1825000,10610000,3247000000.0,41543,451,1053,6237,Amsterdam,Europe,Western Europe,NATO,2025,0.6412,1.1365952265926371e-05,0.021774193548387097,0.44999999437329097,652489.125181247,35,0.0028999516674722086,0.0004332859928267097,0.1419068736141907,1519.211441485208,202
Myanmar,37,57527139,30489384,21975367,1035489,150000,20000,55000,317,58,26,30,119,5,0,83,9,445,5980,95,210,180,232,89240,0,0,3,0,6,3,146,2,2948000000.0,7253400000.0,291000000000.0,8590400000.0,73,22884000,7,101,157000,5031,7000,148000,139000000.0,16780000000.0,3788000000.0,637000000000.0,1268000,1453000,252000000.0,676578,1930,6522,12800,Naypyidaw,Asia,Southeast Asia,Non-NATO,2025,0.6735,1.7278801228060376e-05,0.010130584192439862,0.5300000057364229,19653.333333333332,36,0.0021133333333333334,0.0006577216521967903,0.12020725388601036,51.24537829006236,994
Norway,38,5509733,2203893,1807192,71627,23250,0,40000,97,0,32,4,23,5,0,33,0,44,6552,42,0,0,43,65692,0,0,6,0,4,6,18,5,9710000000.0,716000000000.0,500000000000.0,80459000000.0,145,3009000,141,1720,94902,3848,2020000,229000,8122200000.0,124000000000.0,4548000000.0,1540000000000.0,117000,1201000,2000000.0,323802,25148,2566,1577,Oslo,Europe,Northern Europe,NATO,2025,0.6811,3.339544765599349e-05,0.01942,0.39999996370060037,417634.40860215056,37,0.004172043010752688,0.00013588551028097416,0.001709877525051694,1762.3358518461785,184
Portugal,39,10639726,5319863,4096295,127677,24000,211700,24700,115,28,0,19,23,14,3,31,0,34,10828,24,115,0,194,38657,0,0,2,0,5,2,20,0,4627000000.0,399000000000.0,530000000000.0,53710000000.0,136,5140900,18,996,136635,3622,12932,191000,22440000.0,0.0,4500000000.0,72000000000.0,0,0,40000000.0,92090,1793,1224,764,Lisbon,Europe,Western Europe,NATO,2025,0.6856,3.223767228592165e-05,0.008730188679245283,0.5,192791.66666666666,38,0.004791666666666666,0.0003692040395265501,0.10819854991634133,434.87962002029,343
South Africa,40,60442647,27803618,14989776,1027525,71235,29350,50000,182,2,0,12,81,0,0,87,10,252,18692,49,134,101,49,40186,0,0,3,0,4,0,33,2,2266800000.0,58773000000.0,863000000000.0,62492000000.0,575,25158000,8,110,750000,20986,95000,601000,15000000.0,59128000.0,4487000000.0,0.0,245467000,176148000,9893000000.0,1219090,2798,5244,0,Pretoria,Africa,Southern Africa,Non-NATO,2025,0.6889,7.991046454335464e-06,0.0026266512166859793,0.46000000628695165,31821.436091808802,39,0.0025549238436162,0.0002067115635432987,0.017512508934953538,37.50332112357687,483
Philippines,41,118277063,50859137,41751803,2128987,150000,1200000,35000,202,0,25,26,23,8,0,122,2,10,11878,12,294,0,113,76313,0,0,0,0,2,1,58,0,4380000000.0,90200000000.0,1140000000000.0,104000000000.0,246,49477000,70,2203,216387,77,10000,453000,138500000.0,2251000000.0,2251000000.0,98543000000.0,14483000,37130000,361000000.0,300000,36289,0,3219,Manila,Asia,Southeast Asia,Non-NATO,2025,0.6987,2.7477855110419847e-06,0.0038421052631578945,0.4299999992390748,29200.0,40,0.0013466666666666666,3.3333333333333335e-05,0.003113891261814875,37.03169396419659,325
Malaysia,42,34564810,16245461,13480276,553037,113000,51600,100000,135,26,12,16,31,6,4,45,0,48,13506,0,196,36,100,67735,0,0,2,0,2,6,71,4,4800000000.0,248000000000.0,1150000000000.0,113000000000.0,102,17308000,35,1750,144403,1851,582000,717000,3600000000.0,75456000000.0,42499000000.0,1190000000000.0,3731000,35050000,226000000.0,329847,4675,2742,7200,Kuala Lumpur,Asia,Southeast Asia,Non-NATO,2025,0.7429,8.187517883072407e-06,0.0041739130434782605,0.4700000086793476,42477.87610619469,41,0.0011946902654867257,0.00014552201475229426,0.0213903743315508,138.8695612676592,283
Iraq,43,42083436,17675043,14308368,715418,193000,0,100000,391,26,36,15,139,17,0,197,39,1025,37288,434,610,572,68,124962,0,0,0,0,0,2,26,0,7923000000.0,45032500000.0,573000000000.0,112000000000.0,71,11812000,6,74,59623,2272,4437000,918000,145000000000.0,9860000000.0,19298000000.0,3730000000000.0,0,0,0.0,438317,58,3809,5279,Baghdad,Asia,Middle East,Non-NATO,2025,0.7738,3.526328030819537e-05,0.013827225130890053,0.4199999971485218,41051.81347150259,42,0.0020259067357512955,0.002338490179481973,1.1724137931034482,188.2688476292668,1484
Switzerland,44,8860574,3898653,3163225,97466,101584,49715,5000,146,43,0,16,44,3,0,40,0,205,6996,133,0,0,0,124962,0,0,0,0,0,0,0,0,25039000000.0,2200000000000.0,734000000000.0,864000000000.0,62,4991000,0,17,71557,5296,300,193000,0.0,0.0,3138000000.0,0.0,0,161000,0.0,41277,0,1770,1292,Bern,Europe,Western Europe,Others,2025,0.7869,3.9613686427087e-05,0.03411307901907357,0.4400000496581824,246485.66703417862,43,0.0014372342101118287,0.004966446204908302,,2825.88915797103,351
Denmark,45,5973136,2628180,2126436,77651,20000,12000,51000,117,31,4,4,41,3,0,34,0,44,3856,19,0,8,50,121180,0,0,0,0,9,0,9,6,7225466250.0,556000000000.0,428000000000.0,109000000000.0,99,3180000,69,715,74558,2682,63000,152000,441000000.0,1879000000.0,2208000000.0,29534000000.0,0,1788000,0.0,43094,7314,140,400,Copenhagen,Europe,Northern Europe,NATO,2025,0.8109,3.532482769520064e-05,0.016881930490654205,0.4400000267865992,361273.3125,44,0.00585,0.0010210238084188054,0.006836204539239814,1209.660427956102,211
Colombia,46,49588357,24298295,19190694,843002,293200,35000,150000,436,16,24,86,72,23,1,257,0,0,3460,6,110,0,233,31090,0,0,4,0,7,2,217,0,10541500000.0,117000000000.0,978000000000.0,59041000000.0,662,26003000,14,153,205379,2141,800000,320000,2036000000.0,11290000000.0,11451000000.0,87782000000.0,58747000,7880000,4554000000.0,1138910,3208,6672,24725,Bogota,South America,South America,Non-NATO,2025,0.8353,1.349107009131196e-05,0.010778629856850715,0.4900000014116217,35953.27421555253,45,0.0014870395634379264,0.0,0.07263092269326683,212.58014255241406,669
Chile,47,18664652,8959033,7521855,298634,80000,40000,50000,277,45,0,32,92,21,5,87,0,386,8832,48,249,8,130,176065,0,0,4,0,8,0,40,0,5032500000.0,215000000000.0,579000000000.0,46377000000.0,374,9848000,39,249,77801,7282,11000,405000,150000000.0,1200000000.0,6916000000.0,97976000000.0,499000,8637000,1181000000.0,756102,6435,7801,12290,Santiago,South America,South America,Non-NATO,2025,0.8361,4.248672838904256e-05,0.008691709844559586,0.48000000214308847,62906.25,46,0.0034625,0.0005105131318261293,0.020202020202020204,269.62731477661623,793
Finland,48,5626414,2306830,1912981,56264,24000,870000,53800,163,54,0,11,77,1,0,27,0,200,11704,107,667,76,264,19434,0,0,0,0,0,0,8,18,6779661000.0,660000000000.0,321000000000.0,16929000000.0,98,2880000,37,282,454000,5918,8000,175000,0.0,0.0,1157000000.0,0.0,808000,4141000,0.0,338145,1250,2563,8000,Helsinki,Europe,Northern Europe,NATO,2025,0.8437,0.00011143865346559994,0.021120439252336448,0.41000004621060593,282485.875,47,0.006791666666666666,0.0005914622425290926,0.2112,1204.9701639445657,627
Peru,49,32600249,15648120,12681497,619405,120000,385000,60000,256,15,22,38,72,12,0,111,16,240,6560,12,290,49,71,170344,0,0,4,0,7,8,13,0,3420000000.0,59400000000.0,518000000000.0,71394000000.0,166,18529000,20,111,18699,1855,118000,210000,858890000.0,12270000000.0,7185000000.0,300000000000.0,153000,712000,1567000000.0,1285216,2414,7062,8808,Lima,South America,South America,Non-NATO,2025,0.8588,1.7392505192214944e-05,0.006602316602316602,0.48000001472381393,28500.0,48,0.0021333333333333334,0.00018673903841844483,0.029411764705882353,104.90717417526473,567
Venezuela,50,31250306,15625153,12812625,625006,109000,8000,220000,229,30,0,49,75,3,1,88,10,172,8802,48,100,36,34,124962,0,0,1,0,1,0,25,0,4093120000.0,110000000000.0,296000000000.0,10095500000.0,502,11548000,31,272,96189,447,761000,367000,304000000000.0,17696000000.0,17696000000.0,5670000000000.0,197000,82000,730999000.0,912050,2800,5267,7100,Caracas,South America,South America,Non-NATO,2025,0.8882,1.3919863696694681e-05,0.013828108108108108,0.5,37551.55963302752,49,0.0021009174311926605,0.00018858615207499588,0.012142857142857143,130.97855745796537,435
Romania,51,18148155,9437041,7731114,199630,81300,55000,15000,140,21,0,14,44,2,0,65,0,328,10774,0,720,243,20,124962,0,0,0,0,3,7,3,5,9700000000.0,132000000000.0,772000000000.0,73000000000.0,82,8282000,11,127,84185,10628,67000,221000,600000000.0,9501000000.0,10055000000.0,105000000000.0,18160000,19404000,291000000.0,238391,225,2844,1731,Bucharest,Europe,Eastern Europe,NATO,2025,0.8984,2.6889785766101294e-05,0.012564766839378239,0.520000022040808,119311.19311193112,50,0.0017220172201722018,0.001375890868363319,0.08888888888888889,534.4895941212757,488
Ethiopia,52,118550298,56904143,35327989,2726657,162000,0,0,103,25,0,8,34,0,0,33,7,338,7256,35,309,40,0,124962,0,0,0,0,0,0,0,0,2097575000.0,25761000000.0,355000000000.0,3131288000.0,57,61664000,0,12,120171,659,0,110000,428000.0,0.0,0.0,24919000000.0,8000,660000,0.0,1104300,0,5925,0,Addis Ababa,Africa,East Africa,Non-NATO,2025,0.9305,3.7199400376032798e-06,0.005908661971830986,0.4799999996625905,12947.993827160493,51,0.0006358024691358025,0.00030607624739654077,,17.69354472647551,441
Czechia,53,10837890,5093808,4129236,97541,28000,4200,0,99,12,16,10,17,2,0,42,4,43,6340,50,0,16,0,124962,0,0,0,0,0,0,0,0,6750000000.0,211000000000.0,519000000000.0,148000000000.0,243,5502000,0,0,55744,9548,4000,211000,15000000.0,224725000.0,7602000000.0,3964000000.0,37423000,40239000,3595000000.0,78867,0,2046,664,Prague,Europe,Central Europe,NATO,2025,0.9994,1.3102181328653455e-05,0.01300578034682081,0.4699999723193352,241071.42857142858,52,0.0035357142857142857,0.0005452217023596688,,622.8149575240199,142
United Arab Emirates,54,10032213,5818684,4945881,80258,65000,130000,12000,551,99,16,37,147,27,4,247,30,354,8707,165,99,49,181,44188,0,0,0,0,0,11,34,2,2212360382.0,264000000000.0,720000000000.0,189000000000.0,42,6668000,20,655,4080,0,4146000,939000,97800000000.0,56683000000.0,66091000000.0,6091000000.0,0,3273000,0.0,83600,1318,1066,0,Abu Dhabi,Asia,Middle East,Non-NATO,2025,1.0186,0.00010825129011913922,0.0030727227527777776,0.580000045852296,34036.31356923077,53,0.008476923076923076,0.00423444976076555,0.13732928679817905,220.52565889500153,1086
Hungary,55,9855745,4632200,3794462,118269,41600,20000,15000,69,12,0,3,12,0,0,44,8,209,7797,24,295,0,0,124962,0,0,0,0,0,0,0,0,4576000000.0,138000000000.0,389000000000.0,45719000000.0,109,5006000,0,1,203601,7687,36000,175000,12100000.0,1523000000.0,9485000000.0,3738000000.0,5450000,6180000,2909000000.0,103000,0,2106,1622,Budapest,Europe,Central Europe,NATO,2025,1.0259,2.820689861598489e-05,0.01176349614395887,0.4699999847804504,110000.0,54,0.0016586538461538462,0.002029126213592233,,464.29772685880164,278
Angola,56,37202061,7440412,3720206,372021,107000,0,10000,298,71,12,31,66,2,0,116,15,309,5500,25,575,113,31,124962,0,0,0,0,0,0,29,0,1101360000.0,45774500000.0,266000000000.0,13942000000.0,106,15223000,21,64,26000,2761,1175000,127000,7783000000.0,5514000000.0,1397000000.0,343000000000.0,0,0,0.0,1246700,1600,5369,1300,Luanda,Africa,Southern Africa,Non-NATO,2025,1.0961,1.71495874919403e-05,0.004140451127819549,0.19999999462395376,10293.084112149532,55,0.0027850467289719624,0.0002478543354455763,0.019375,29.604811410851674,638
Kazakhstan,57,20260006,9117003,6928922,283640,110000,135000,55000,198,63,25,19,26,0,0,65,12,350,7736,126,194,287,26,124962,0,0,0,0,0,0,23,2,2048700000.0,91321500000.0,706000000000.0,35965000000.0,132,9587000,0,122,96167,16636,1955000,288000,30000000000.0,27011000000.0,22623000000.0,2410000000000.0,118195000,84852000,25605000000.0,2724900,26,13364,43983,Astana,Asia,Central Asia,Non-NATO,2025,1.1016,2.833167966485301e-05,0.0029018413597733713,0.45000001480749807,18624.545454545456,56,0.0018,0.0001284450805534148,1.0,101.12040440659297,574
Uzbekistan,58,36520593,18990708,15959499,730412,48000,0,20000,192,58,13,13,7,0,0,101,34,340,2970,147,236,108,0,124962,0,0,0,0,0,0,0,0,2803500000.0,19652500000.0,319000000000.0,34558000000.0,74,14270000,0,0,86496,4642,64000,91000,594000000.0,47500000000.0,43227000000.0,1840000000000.0,5356000,7396000,1375000000.0,447400,420,6893,1100,Tashkent,Asia,Central Asia,Non-NATO,2025,1.1121,1.4567123814227222e-05,0.008788401253918495,0.5199999901425478,58406.25,57,0.004,0.0007599463567277603,0.0,76.76490904734214,532
Morocco,59,37387585,17946041,15254135,635589,195800,150000,50000,260,83,0,31,75,4,2,78,0,903,7877,396,153,129,111,124962,0,0,0,0,6,1,105,0,13400000000.0,45645000000.0,337000000000.0,36328000000.0,49,12284000,12,94,57300,2067,25,318000,684000.0,82595000.0,243201000.0,1444000000.0,0,11940000,96000000.0,715550,1835,2363,0,Rabat,Africa,North Africa,Non-NATO,2025,1.1273,3.407548254320251e-05,0.039762611275964393,0.4800000053493693,68437.18079673137,58,0.001327885597548519,0.0012619663196142827,0.060490463215258854,358.40774417497147,1274
Azerbaijan,60,10650239,5218617,3908638,159754,126400,300000,15000,154,12,18,3,35,0,0,86,16,497,7642,198,650,268,38,124962,0,0,4,0,0,0,17,4,5000000000.0,16159500000.0,216000000000.0,13749000000.0,32,5473000,0,312,24981,2944,618000,105000,7000000000.0,34175000000.0,11759000000.0,1700000000000.0,0,60000,0.0,86600,713,2468,0,Baku,Asia,Caucasus,Non-NATO,2025,1.2531,6.469338387617405e-05,0.023148148148148147,0.4899999896715933,39556.962025316454,59,0.0012183544303797469,0.0057390300230946885,0.05329593267882188,469.4730324831208,689
Belgium,61,11977634,4910830,3880753,119776,25000,6400,0,108,43,0,7,38,0,0,20,0,0,4606,0,0,0,9,10190,0,0,0,0,2,0,2,5,10200000000.0,1450000000000.0,752000000000.0,40813000000.0,49,5432000,7,198,118414,3602,11000,585000,0.0,13436000.0,15347000000.0,0.0,1270000,4869000,4100000000.0,30528,67,1297,2043,Brussels,Europe,Western Europe,NATO,2025,1.2564,9.768206308524706e-06,0.013563829787234043,0.4100000050093366,408000.0,60,0.00432,0.0,0.13432835820895522,851.5872166406153,117
Bulgaria,62,6782659,3187850,2611324,61044,37000,3000,0,65,10,5,6,21,0,0,27,4,90,4914,48,24,24,36,124962,0,0,0,0,4,3,0,10,1373232000.0,27138500000.0,214000000000.0,46334000000.0,111,3103000,2,78,19512,4029,4000,101000,15000000.0,20837000.0,2801000000.0,5663000000.0,35516000,35970000,2366000000.0,110880,354,1806,470,Sofia,Europe,Eastern Europe,NATO,2025,1.2563,2.8160047556570367e-05,0.006416971962616823,0.4700000398073971,37114.37837837838,61,0.0017567567567567568,0.0008116883116883117,0.1016949152542373,202.4621907131112,191
Serbia,63,6652212,3259584,2574406,79827,25000,2000,600000,110,11,17,3,33,0,0,46,4,262,3683,90,150,98,20,124962,0,0,0,0,0,0,7,5,2287461000.0,35200000000.0,162000000000.0,27569000000.0,43,3333000,0,0,44248,3333,13000,82000,77500000.0,353376000.0,2939000000.0,48139000000.0,35129000,38297000,7514000000.0,77474,0,2322,587,Belgrade,Europe,Southeast Europe,Non-NATO,2025,1.2576,5.8927767184810105e-05,0.01412012962962963,0.4900000180391124,91498.44,62,0.0044,0.0033817796938327696,,343.8647174804411,392
Syria,64,23865423,15273871,13245310,668232,170000,50000,50000,207,104,9,3,15,1,0,77,14,365,11148,90,641,204,27,124962,0,0,0,0,0,0,16,4,291850000.0,4309500000.0,55935900000.0,341962500.0,39,6315000,3,24,69873,2052,75000,138000,2500000000.0,3085000000.0,3084000000.0,241000000000.0,0,47000,0.0,187437,193,2363,900,Damascus,Asia,Middle East,Non-NATO,2025,1.2771,2.509907324919403e-05,0.005217579407857923,0.6400000117324549,1716.764705882353,63,0.0012176470588235295,0.0019473209665114145,0.13989637305699482,12.228989194953721,599
Ecuador,65,18309984,8422593,6738074,329580,41250,118000,1500,102,0,0,20,34,8,0,46,0,54,5204,5,106,24,30,124962,0,0,2,0,2,6,5,0,2376000000.0,44898000000.0,260000000000.0,4442000000.0,310,8893000,6,154,43950,965,480000,225000,8273000000.0,309778000.0,309778000.0,10902000000.0,0,21000,24000000.0,283560,2237,2237,1500,Quito,South America,South America,Non-NATO,2025,1.3021,1.0158392273854526e-05,0.009138461538461538,0.4600000196614044,57600.0,64,0.0024727272727272727,0.00019043588658484975,0.013410818059901655,129.76526904665783,186
Democratic Republic of the Congo,66,115403027,39237029,31389623,2538867,166580,31000,10000,46,1,6,6,1,0,0,32,8,105,916,8,60,25,16,124962,0,0,0,0,0,0,16,0,796560000.0,4994000000.0,154000000000.0,3898125000.0,272,35983000,3,24,152373,4007,19000,26000,180000000.0,380000.0,380000.0,991090000.0,0,23000,987999000.0,2344858,37,10481,15000,Kinshasa,Africa,Central Africa,Non-NATO,2025,1.3111,1.4471024230586256e-06,0.005172467532467533,0.33999999844024886,4781.84656021131,65,0.000276143594669228,4.4778830956927884e-05,0.43243243243243246,6.902418599470532,167
Cuba,67,10966038,5921661,4737328,142558,45500,40000,1145000,31,11,0,4,3,0,0,13,4,113,6864,60,130,15,19,124962,0,0,0,0,1,1,6,4,4508784000.0,33066000000.0,141000000000.0,10442000000.0,123,5317000,34,65,60000,8367,34000,165000,124000000.0,659434000.0,659434000.0,70792000000.0,0,2000,0.0,110860,3735,29,240,Havana,North America,Caribbean,Non-NATO,2025,1.3286,1.486407397092733e-05,0.0319771914893617,0.5400000437715061,99094.15384615384,66,0.0006813186813186814,0.0010193036261952012,0.0050870147255689425,411.1588889259731,163
Austria,68,8967982,4035592,3632033,98648,16000,125600,0,85,15,0,11,18,0,0,41,0,56,7322,30,0,0,0,124962,0,0,0,0,0,0,0,0,5475750000.0,630000000000.0,590000000000.0,31212000000.0,61,4825000,0,1,137039,6123,18000,245000,35200000.0,618209000.0,8136000000.0,5040000000.0,1271000,5026000,0.0,83871,0,2524,358,Vienna,Europe,Central Europe,Others,2025,1.3704,1.572260069210665e-05,0.00928093220338983,0.45000001115078064,342234.375,67,0.0053125,0.0006676920508876728,,610.5888704950568,141
Sri Lanka,69,21982608,10551652,8551235,307757,346000,90000,0,85,5,0,14,8,3,0,55,9,44,3190,0,96,28,270,27136,0,0,0,0,5,0,59,0,1265400000.0,46409500000.0,287000000000.0,3450700000.0,18,8707000,6,96,114093,1562,0,121000,0.0,0.0,0.0,0.0,0,2084000,0.0,65610,1340,0,160,Colombo,Asia,South Asia,Non-NATO,2025,1.3941,1.8150712599706094e-05,0.0044090592334494775,0.48000000727848124,3657.225433526012,68,0.00024566473988439305,0.0006706294772138394,0.20149253731343283,57.56368853049647,399
Belarus,70,9501451,5035769,3724569,104516,63000,145000,55000,185,36,50,4,27,0,0,68,29,507,6916,357,215,206,0,124962,0,0,0,0,0,0,0,0,1077900000.0,44000000000.0,254000000000.0,8118000000.0,46,4956000,0,4,86600,5528,30000,131000,198000000.0,73929000.0,16683000000.0,2832000000.0,0,778000,0.0,207600,0,3599,2500,Minsk,Europe,Eastern Europe,Non-NATO,2025,1.3954,7.283098128906837e-05,0.004243700787401575,0.5299999968425875,17109.52380952381,69,0.0029365079365079364,0.0024421965317919076,,113.44583053683064,692
Slovakia,71,5563649,2837461,2353424,61200,19500,0,0,41,2,0,7,9,1,0,22,0,45,3074,35,9,25,0,124962,0,0,0,0,0,0,0,0,2656000000.0,128000000000.0,213000000000.0,11288000000.0,114,2823000,0,0,56926,3627,7000,94000,9000000.0,52556000.0,60424000.0,14158000000.0,2343000,5794000,19000000.0,49035,0,1587,172,Bratislava,Europe,Central Europe,NATO,2025,1.3978,1.5457481232191318e-05,0.012469483568075118,0.5100000017973816,136205.12820512822,70,0.0021025641025641025,0.0009177118384827164,,477.384536659304,86
Qatar,72,2552088,638022,490001,12760,66550,15000,5500,251,102,6,12,51,0,0,80,24,99,5024,46,12,16,115,124962,0,0,0,0,0,4,105,0,9432000000.0,187000000000.0,305000000000.0,51539000000.0,8,2035000,6,123,7039,0,1815000,297000,25244000.0,170000000000.0,41515000000.0,23900000000000.0,0,0,0.0,11586,563,87,0,Doha,Asia,Middle East,Non-NATO,2025,1.4307,0.00018220374846008444,0.030924590163934427,0.25,141728.02404207364,71,0.0037716003005259205,0.008544795442775763,0.20426287744227353,3695.7973236032612,465
Sudan,73,50467278,26747657,17108407,1312149,92000,85000,17500,165,37,27,13,15,0,0,64,35,224,2900,100,287,192,6,124962,0,0,0,0,0,0,6,0,342000000.0,37846000000.0,136000000000.0,206763700.0,41,13590000,4,14,31000,7251,68000,127000,1250000000.0,0.0,0.0,84951000000.0,0,0,0.0,1861484,853,6819,4068,Khartoum,Africa,North Africa,Non-NATO,2025,1.4756,7.826853669421203e-06,0.002514705882352941,0.5299999932629614,3717.391304347826,72,0.0017934782608695651,0.00012033409903066586,0.007033997655334115,6.776668240359625,395
Croatia,74,4150116,2033557,1564594,53952,14325,20100,2000,67,10,0,0,28,0,0,37,0,45,2848,25,42,42,30,124962,0,0,0,0,0,0,10,1,1176000000.0,55000000000.0,159000000000.0,3176000000.0,40,1744000,16,384,26958,2617,11000,70000,71000000.0,741456000.0,2502000000.0,24919000000.0,0,702000,0.0,56594,5835,2237,4714,Zagreb,Europe,Southeast Europe,NATO,2025,1.5074,3.4215911073329034e-05,0.00739622641509434,0.4900000385531392,82094.24083769633,73,0.004677137870855148,0.0007951372937060466,0.005141388174807198,283.36557339602075,142
Jordan,75,11174024,3463947,2983464,145262,100500,65000,35000,274,44,6,13,66,13,0,155,44,1458,16624,358,80,56,27,124962,0,0,0,0,0,0,27,0,2500000000.0,25646500000.0,107000000000.0,15715600000.0,17,3063000,1,34,7203,509,20,97000,1000000.0,187262000.0,4382000000.0,6031000000.0,0,479000,0.0,89342,26,1744,0,Amman,Asia,Middle East,Non-NATO,2025,1.6139,0.00015741867030176417,0.02336448598130841,0.3099999606229591,24875.621890547263,74,0.00272636815920398,0.0163193123055226,1.0384615384615385,223.73318689847096,1759
Libya,76,7361263,3827857,3290485,125141,32000,0,100000,143,10,1,6,38,0,0,16,4,43,1816,15,28,25,5,124962,0,0,0,0,0,1,1,1,3060000000.0,3322000000.0,122000000000.0,92427000000.0,66,2398000,14,96,37000,2000,1245000,230000,48363000000.0,11832000000.0,9212000000.0,1510000000000.0,0,0,0.0,1759540,1770,4339,0,Tripoli,Africa,North Africa,Non-NATO,2025,1.4449,2.5946634429445057e-05,0.025081967213114755,0.5200000326031009,95625.0,75,0.00446875,2.4438205440058197e-05,0.002824858757062147,415.6895358853501,191
Turkmenistan,77,5744151,2768681,2245963,109139,36500,0,3500,91,24,27,5,9,0,0,26,10,654,5016,73,450,164,16,124962,0,0,0,0,0,0,16,0,1078020000.0,2134500000.0,94790000000.0,23415400000.0,23,2163000,0,73,58592,5113,272000,152000,600000000.0,86472000000.0,41561000000.0,11300000000000.0,0,0,800000000.0,488100,1768,4158,1300,Ashgabat,Asia,Central Asia,Non-NATO,2025,1.6512,0.0001324825896812253,0.011372718641206878,0.48200003795164853,29534.794520547945,76,0.002493150684931507,0.0013398893669330056,0.00904977375565611,187.6726430067733,761
Albania,78,3107100,1522479,1292554,62142,6600,2000,500,19,0,0,0,0,0,0,19,0,46,1796,0,50,135,19,124962,0,0,0,0,0,0,19,0,558862420.0,7312000000.0,49592000000.0,6455000000.0,3,1388000,3,67,3945,424,1400,2600,150000000.0,50623000.0,50623000.0,5692000000.0,379000,389000,522000000.0,28748,362,691,41,Tirana,Europe,Southeast Europe,NATO,2025,1.6815,2.7034855653181422e-05,0.011269205113728021,0.49,84676.12424242424,77,0.0028787878787878787,0.001600111312091276,0.052486187845303865,179.8662482700911,84
Kuwait,79,3138355,1726095,1449920,37660,72000,24000,7500,128,43,0,2,13,0,3,67,16,367,5636,74,0,27,123,124962,0,0,0,0,0,0,106,0,6950000000.0,55000000000.0,219000000000.0,52619000000.0,6,2463000,6,176,5749,0,2910000,372000,102000000000.0,19285000000.0,26083000000.0,1780000000000.0,0,145000,0.0,17818,499,475,0,Kuwait City,Asia,Middle East,Non-NATO,2025,1.6982,0.00019691844931500737,0.031735159817351595,0.5499999203404331,96527.77777777778,78,0.0017777777777777779,0.020597148950499494,0.24649298597194388,2214.535959125083,618
