country,power_index_rank,population,total_personnel,manpowerfitformilitaryservice,manpowerreachingmilitaryageannually,active_personnel,reserve_personnel,manpowerparamilitary,total_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,aircrafttotaltrainers,aircrafttotalspecialmission,aircrafttotaltankerfleet,helicopters,aircrafthelicoptersattack,tanks,armored_vehicles,armorselfpropelledgunstotal,artillery_units,armormlrstotal,naval_assets,navyforcebytonnage,aircraft_carriers,navyhelocarriers,navysubmarines,navydestroyers,navyfrigates,navycorvettes,navypatrolcoastalcraft,navyminewarfarecraft,defense_budget_usd,externaldebtbycountry,gdp_usd,reservesofforeignexchangeandgold,majorserviceableairportsbycountry,laborforcebycountry,majorportsandterminals,merchantmarinestrengthbycountry,roadwaycoverage,railwaycoverage,oilproductionbycountry,oilconsumptionbycountry,provenoilreservesbycountry,naturalgasproductionbycountry,naturalgasconsumptionbycountry,provennaturalgasreservesbycountry,coalproductionbycountry,coalconsumptionbycountry,provencoalreservesbycountry,land_area_sq_km,coastline_km,bordercoverage,waterwaycoverage,capital_city,continent,region,alliance,year,power_index_score,assets_per_capita,defense_budget_gdp_ratio,personnel_density,budget_per_soldier,rank_gap,air_power_ratio,armor_intensity,naval_per_coastline,military_burden,total_assets
Brazil,11,220051512,112226271,88680759,3520824,360000,340000,200000,513,43,38,109,133,25,0,191,0,294,22464,109,412,38,64,135737,0,1,4,0,6,2,23,3,26157300000.0,432000000000.0,4020000000000.0,355000000000.0,4919,108695000,45,888,2000000,29850,4221000,3027000,12715000000.0,22670000000.0,31654000000.0,364000000000.0,15644000,32787000,6596000000.0,8515770,7491,16145,50000,Brasilia,South America,South America,Non-NATO,2025,0.2415,3.958164122953174e-06,0.006506791044776119,0.5099999994546731,72659.16666666667,10,0.001425,3.452418278088769e-05,0.008543585636096649,118.86898554916542,871
Pakistan,12,252363571,108516336,85803614,4794908,654000,550000,500000,1399,328,90,64,565,27,4,373,57,2627,17516,662,2629,600,121,111715,0,0,8,0,9,9,69,3,7640000000.0,92426000000.0,1350000000000.0,13730000000.0,116,80990000,3,60,264175,11881,101000,473000,540000000.0,36937000000.0,46448000000.0,592000000000.0,12712000,34027000,3064000000.0,796095,1046,7257,0,Islamabad,Asia,South Asia,Non-NATO,2025,0.2513,1.6432641143756837e-05,0.005659259259259259,0.4300000018623924,11681.957186544343,11,0.00213914373088685,0.003299857429075676,0.11567877629063097,30.27378305722263,4147
Indonesia,13,281562465,137965608,114595923,4786562,400000,400000,250000,459,41,34,70,112,17,1,214,15,331,20440,153,396,63,331,304168,0,0,4,0,7,25,211,12,10600000000.0,440000000000.0,3910000000000.0,146000000000.0,513,140931000,123,11422,496607,8159,865000,1728000,2480000000.0,57410000000.0,36061000000.0,1410000000000.0,659357000,202283000,34869000000.0,1904569,54716,2958,21579,Jakarta,Asia,Southeast Asia,Non-NATO,2025,0.2557,3.981354545961942e-06,0.002710997442455243,0.49000000053274145,26500.0,12,0.0011475,0.00017379260084565064,0.006049418817164997,37.647063503297574,1121
Germany,14,84119100,38694786,30955829,841191,181600,34000,0,584,129,63,50,35,26,3,309,54,296,83260,134,0,33,61,228552,0,0,6,0,11,5,0,12,50000000000.0,6240000000000.0,5230000000000.0,323000000000.0,838,44784000,35,595,830000,39379,131000,2052000,115200000.0,4824000000.0,77516000000.0,23390000000.0,138981000,186725000,35900000000.0,357022,2389,3694,7300,Berlin,Europe,Western Europe,NATO,2025,0.2601,1.1186520065003074e-05,0.009560229445506692,0.46,275330.3964757709,13,0.0032158590308370046,0.0008290805608617956,0.025533696107157805,594.395327577209,941
Israel,15,9402617,3949099,3281513,131637,170000,465000,35000,611,240,38,13,159,19,14,147,48,1300,35985,352,171,183,62,38238,0,0,5,0,0,7,46,0,30500000000.0,149000000000.0,471000000000.0,205000000000.0,37,4554000,5,41,20391,1497,15000,230000,12730000.0,22886000000.0,11510000000.0,176000000000.0,0,6476000,0.0,21937,273,1068,0,Jerusalem,Asia,Middle East,Others,2025,0.2661,0.00020983519800923508,0.06475583864118896,0.4199999851105283,179411.76470588235,14,0.0035941176470588236,0.059260609928431414,0.2271062271062271,3243.777769529483,1973
Iran,16,88386937,49496685,41541860,1414191,610000,350000,220000,551,188,21,87,103,10,6,128,13,1713,65825,392,2070,1517,107,223395,0,0,25,0,7,3,21,1,15450000000.0,4134926000.0,1440000000000.0,121000000000.0,173,29159000,18,965,223485,8484,3985000,2136000,209000000000.0,263000000000.0,245000000000.0,34000000000000.0,2791000,3531000,1203000000.0,1648195,2440,5894,850,Tehran,Asia,Middle East,Non-NATO,2025,0.3048,2.6825230972762412e-05,0.010729166666666666,0.5600000031678889,25327.868852459018,15,0.0009032786885245902,0.0010393187699271021,0.043852459016393446,174.79958605195245,2371
Spain,17,47280433,21748999,17635602,330963,133282,15150,78470,461,137,12,51,140,8,0,153,17,317,17626,95,287,0,152,215346,1,0,2,0,11,0,22,6,23397000000.0,2570000000000.0,2240000000000.0,103000000000.0,363,24108000,52,503,683175,15489,47000,1269000,150000000.0,41009000.0,32833000000.0,2549000000.0,1293000,8255000,1187000000.0,505370,4964,1953,1000,Madrid,Europe,Western Europe,NATO,2025,0.3242,1.9669870620685727e-05,0.010445089285714285,0.45999999619292825,175545.0848576702,16,0.0034588316501853213,0.0006272631933039159,0.030620467365028204,494.85587409912256,930
Australia,18,26768598,11242811,9208398,294455,57350,32050,0,327,24,62,38,98,30,6,69,22,59,15648,0,48,0,44,185648,0,2,6,3,7,0,10,3,55700000000.0,3430000000000.0,1580000000000.0,61703000000.0,2180,14501000,66,604,873573,36064,386000,1123000,2446000000.0,154000000000.0,50188000000.0,3230000000000.0,465865000,107624000,150000000000.0,7741220,25760,0,2000,Canberra,Oceania,Oceania,Non-NATO,2025,0.3298,1.6063598101028677e-05,0.03525316455696203,0.4199999940228472,971229.293809939,17,0.005701830863121185,7.621537690441558e-06,0.0017080745341614906,2080.7963121565053,430
Egypt,19,111247248,45611372,38269053,1668709,440000,480000,300000,1093,238,90,61,345,11,0,348,100,3620,41012,1056,962,528,150,235989,0,2,8,0,13,7,62,17,5879500000.0,104000000000.0,1910000000000.0,33070000000.0,73,33431000,31,441,65050,5085,667000,851000,3300000000.0,64817000000.0,60089000000.0,1780000000000.0,289000,3083000,182000000.0,1001450,2450,2612,3500,Cairo,Africa,North Africa,Non-NATO,2025,0.3427,4.3713440893387317e-05,0.0030782722513089007,0.41000000287647564,13362.5,18,0.002484090909090909,0.0036147586000299567,0.061224489795918366,52.85074557529729,4863
Ukraine,20,35661826,18187531,12731272,392280,900000,1200000,100000,324,70,36,24,73,3,0,136,39,1114,18920,658,615,279,89,28138,0,0,0,0,0,0,33,3,53700000000.0,132000000000.0,560000000000.0,40510000000.0,148,20312000,26,410,169694,21733,3000,248000,395000000.0,18725000000.0,22856000000.0,1100000000000.0,4248000,10953000,34375000000.0,603550,2782,5581,1672,Kyiv,Europe,Eastern Europe,Non-NATO,2025,0.3755,4.2818895476636556e-05,0.09589285714285714,0.5099999927092909,59666.666666666664,19,0.00036,0.001845746002816668,0.03199137311286844,1505.8118448561777,1527
Poland,21,38746310,18985692,15576017,464956,202100,350000,50000,479,59,44,49,105,11,0,216,29,614,23138,677,0,196,62,124962,0,0,1,0,2,2,3,26,48700000000.0,387000000000.0,1620000000000.0,194000000000.0,288,18387000,10,152,420000,19461,24000,722000,113000000.0,5551000000.0,20056000000.0,91492000000.0,116682000,123782000,28531000000.0,312685,440,2845,3997,Warsaw,Europe,Eastern Europe,NATO,2025,0.3776,2.9809290226604805e-05,0.03006172839506173,0.49000000258089094,240969.8169223157,20,0.0023701138050470066,0.001963637526584262,0.1409090909090909,1256.8938822819514,1155
Taiwan,22,23595274,12269542,1061787,306739,215000,2310000,55000,761,285,0,19,232,18,0,236,91,888,19921,488,1360,234,97,250414,0,0,4,4,22,7,37,14,19740000000.0,209000000000.0,1260000000000.0,493000000000.0,53,11498000,8,465,43206,1613,800,1022000,2380000.0,63747000.0,21157000000.0,6230000000.0,5608000,66855000,1000000.0,35980,1566,0,0,Taipei,Asia,East Asia,Others,2025,0.3988,7.39978692343221e-05,0.015666666666666666,0.5199999796569431,91813.95348837209,21,0.00353953488372093,0.024680377987770983,0.06194125159642401,836.608212305566,1746
Vietnam,23,105758975,54994667,45053323,1797903,600000,5000000,250000,246,41,32,9,60,3,0,101,0,1374,11912,40,535,474,110,107813,0,0,9,0,9,16,35,8,8594000000.0,110000000000.0,1350000000000.0,97955500000.0,42,56149000,16,1973,195468,2600,187000,494000,4400000000.0,7676000000.0,7676000000.0,699000000000.0,43614000,83116000,3360000000.0,331210,3444,4616,47130,Hanoi,Asia,Southeast Asia,Non-NATO,2025,0.4024,1.6357949762656077e-05,0.006365925925925926,0.52,14323.333333333334,22,0.00041,0.004148425470245464,0.03193960511033682,81.26024292500944,1730
Saudi Arabia,24,36544431,19003104,17468238,621255,257000,0,150000,917,283,81,49,202,16,22,264,34,840,19040,332,467,321,32,49727,0,0,0,0,7,9,9,3,74760000000.0,226000000000.0,1830000000000.0,458000000000.0,86,16934000,16,433,221372,5410,11113000,3649000,259000000000.0,122000000000.0,122000000000.0,9420000000000.0,0,164000,0.0,2149690,2640,4272,0,Riyadh,Asia,Middle East,Non-NATO,2025,0.4201,4.895410739874428e-05,0.04085245901639344,0.5199999967163259,290894.94163424126,23,0.003568093385214008,0.0003907540156952863,0.012121212121212121,2045.7289374679278,1789
Thailand,25,69920998,36358919,27968399,1118736,360850,200000,25000,493,72,20,54,135,26,0,258,7,635,16935,50,589,26,293,130988,0,1,0,0,7,6,49,5,5887883500.0,103000000000.0,1520000000000.0,224000000000.0,108,40814000,21,884,180053,4127,386000,1248000,252750000.0,30797000000.0,48898000000.0,138000000000.0,13642000,36030000,1063000000.0,513120,3219,5673,4000,Bangkok,Asia,Southeast Asia,Non-NATO,2025,0.4536,2.0322936466095634e-05,0.0038736075657894737,0.5200000005720742,16316.706387695718,24,0.001366218650408757,0.0012375272840661055,0.09102205653929792,84.20765819160647,1421
Algeria,26,47022473,22570787,19185169,752360,325000,135000,150000,608,102,42,63,87,10,5,299,74,1485,26000,224,483,266,110,82880,0,0,6,0,8,8,75,2,25000000000.0,3335624000.0,700000000000.0,81217000000.0,85,13425000,17,119,104000,4020,1443000,428000,12200000000.0,101000000000.0,47963000000.0,4500000000000.0,0,167000,233000000.0,2381740,998,6734,0,Algiers,Africa,North Africa,Non-NATO,2025,0.3589,4.684993917695481e-05,0.03571428571428571,0.47999999914934294,76923.07692307692,25,0.0018707692307692308,0.000623493748268073,0.11022044088176353,531.6606806281753,2203
Sweden,27,10589835,4235934,3558185,105898,24400,32900,25000,169,71,0,6,33,5,1,53,0,110,6795,26,0,0,308,31673,0,0,4,0,0,7,179,8,13000000000.0,1000000000000.0,676000000000.0,60863000000.0,203,5825000,92,361,573134,10910,11000,283000,0.0,0.0,889924000.0,0.0,1115000,3396000,5000000.0,450295,3218,2211,2052,Stockholm,Europe,Northern Europe,NATO,2025,0.4835,5.54305142620258e-05,0.019230769230769232,0.4,532786.8852459016,26,0.006926229508196722,0.00024428430251279714,0.09571162212554382,1227.5923090397537,587
Canada,28,38794813,16681770,13500595,426743,68000,27000,5500,351,66,0,28,95,33,6,145,0,74,21704,0,0,0,73,119637,0,0,4,0,12,0,24,0,41000000000.0,2340000000000.0,2240000000000.0,118000000000.0,1425,22110000,284,716,1042300,4942,5692000,2454000,170000000000.0,188000000000.0,130000000000.0,2070000000000.0,43024000,17138000,6582000000.0,9984670,202080,8893,636,Ottawa,North America,North America,NATO,2025,0.5179,1.2836767636951878e-05,0.01830357142857143,0.43000001056842313,602941.1764705882,27,0.005161764705882353,7.411361617359412e-06,0.000361243072050673,1056.8423154920222,498
Singapore,29,6028459,3918498,2628408,66313,51000,252500,12000,230,100,0,9,36,9,11,70,18,170,8998,48,89,24,50,81340,0,0,6,0,6,6,12,4,15000000000.0,1710000000000.0,755000000000.0,360000000000.0,9,3619000,5,3202,3500,0,0,1470000,0.0,0.0,13724000000.0,0.0,0,784000,0.0,719,193,0,0,Singapore,Asia,Southeast Asia,Non-NATO,2025,0.5271,7.464594185678297e-05,0.019867549668874173,0.6499999419420452,294117.64705882355,28,0.0045098039215686276,0.2364394993045897,0.25906735751295334,2488.1980618927655,450
Greece,30,10461091,4916713,3985676,104611,142700,221350,55000,558,178,0,15,81,8,0,293,29,1344,61888,589,698,152,192,216348,0,0,10,0,13,0,39,7,6500000000.0,550000000000.0,376000000000.0,13608000000.0,81,4645000,57,1215,117000,2345,5000,303000,10000000.0,3284000.0,5173000000.0,991090000.0,13703000,13988000,2876000000.0,131957,13676,1110,6,Athens,Europe,Southern Europe,NATO,2025,0.5337,0.00020017032640285798,0.017287234042553192,0.47000002198623453,45550.10511562719,29,0.003910301331464611,0.010185136067052146,0.014039192746417082,621.3501058350415,2094
Nigeria,31,236747130,125475979,90437404,4261448,230000,0,50000,163,14,24,23,28,11,0,66,15,330,8962,40,339,37,133,124962,0,0,0,0,1,0,109,2,3160000000.0,32455500000.0,1280000000000.0,41349000000.0,47,75721000,28,928,195000,3798,1541000,515000,36890000000.0,39951000000.0,20719000000.0,5760000000000.0,3043000,3044000,2144000000.0,923768,853,4477,8600,Abuja,Africa,West Africa,Non-NATO,2025,0.5771,2.6441714414869568e-06,0.00246875,0.5300000004223916,13739.130434782608,30,0.000708695652173913,0.0003572325518961471,0.1559202813599062,13.347574688656204,626
Mexico,32,130739927,61447766,49811912,2222579,412000,98655,120000,433,3,33,41,176,25,0,178,0,0,19658,20,70,0,167,124962,0,0,0,5,1,3,140,0,7600000000.0,371000000000.0,2870000000000.0,214000000000.0,1485,60042000,35,674,704884,23389,2101000,1737000,5786000000.0,31422000000.0,90566000000.0,180000000000.0,7453000,18423000,1211000000.0,1964375,9330,4389,2900,Mexico City,North America,Central America,Non-NATO,2025,0.5965,4.58926369141999e-06,0.00264808362369338,0.47000000237111955,18446.601941747573,31,0.0010509708737864078,0.0,0.017899249732047158,58.1306734246532,600
