Country,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,purchasing_power_parity_usd,external_debt_usd,foreign_exchange_and_gold_reserves_usd,labour_force,total_merchant_marine_fleet,major_ports_and_terminals,roadway_coverage_km,railway_coverage_km,total_serviceable_airports,waterway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,NATO,alliance,region_africa,region_asia,region_europe,region_middle_east,region_north_america,region_south_america,capital_city
Bangladesh,168697184.0,82661620.0,66129296.0,3205246.0,163000.0,0.0,6800000.0,214.0,42.0,0.0,17.0,86.0,4.0,0.0,65.0,0.0,320.0,11584.0,56.0,546.0,110.0,118.0,0.0,0.0,2.0,0.0,7.0,6.0,61.0,5.0,4374000000.0,1413000000000.0,51965000000.0,21860000000.0,74914000.0,558.0,2.0,369105.0,2460.0,17.0,8370.0,13000.0,160000.0,28000000.0,24620000000.0,30384000000.0,126293000000.0,754000.0,7514000.0,3260000000.0,148460.0,580.0,4413.0,,,,0.6062,,,,,Dhaka
Belarus,9501451.0,5035769.0,3724569.0,104516.0,63000.0,145000.0,55000.0,185.0,36.0,50.0,4.0,27.0,0.0,0.0,68.0,29.0,507.0,6916.0,357.0,215.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1077900000.0,254407000000.0,44000000000.0,8118000000.0,4956000.0,4.0,0.0,86600.0,5528.0,46.0,2500.0,30000.0,131000.0,198000000.0,73929000.0,16683000000.0,2832000000.0,0.0,778000.0,0.0,207600.0,0.0,3599.0,,,,,1.3954,,,,Minsk
Belgium,11977634.0,4910830.0,3880753.0,119776.0,25000.0,6400.0,0.0,108.0,43.0,0.0,7.0,38.0,0.0,0.0,20.0,0.0,0.0,4606.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,10200000000.0,751592000000.0,1449264300000.0,40813000000.0,5432000.0,198.0,7.0,118414.0,3602.0,49.0,2043.0,11000.0,585000.0,0.0,13436000.0,15347000000.0,0.0,1270000.0,4869000.0,4100000000.0,30528.0,67.0,1297.0,1.2564,1.2564,,,1.2564,,,,Bruxelles [Brussel]
Beliz,415789.0,158000.0,90226.0,8732.0,1650.0,850.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,130.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,29538000.0,5257000000.0,1248000000.0,473729000.0,190000.0,774.0,2.0,3281.0,0.0,27.0,825.0,800.0,5000.0,6700000.0,0.0,0.0,0.0,0.0,0.0,0.0,22966.0,386.0,542.0,,,,,,,,,
Benin,14697052.0,5584880.0,3189260.0,308638.0,4750.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,92.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,98350000.0,52510000000.0,4066500000.0,698900000.0,4964000.0,6.0,1.0,16000.0,438.0,10.0,150.0,0.0,46000.0,8000000.0,0.0,182131000.0,1133000000.0,0.0,45000.0,0.0,112622.0,121.0,2123.0,,,4.3156,,,,,,Porto-Novo
Bhutan,884546.0,203446.0,122067.0,4423.0,7500.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000000.0,10981000000.0,2757000000.0,976260000.0,430000.0,0.0,0.0,12205.0,0.0,4.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,177000.0,325000.0,0.0,38394.0,0.0,1136.0,,,,6.3934,,,,,Thimphu
Bolivia,12311974.0,5417269.0,4112199.0,233928.0,40000.0,40000.0,0.0,64.0,0.0,0.0,15.0,19.0,0.0,0.0,33.0,0.0,54.0,890.0,0.0,106.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,550200000.0,119785000000.0,11431000000.0,1800000000.0,6114000.0,50.0,0.0,90568.0,3690.0,200.0,10000.0,58000.0,87000.0,240900000.0,13760000000.0,3055000000.0,302990000000.0,0.0,9000.0,1000000.0,1098581.0,0.0,7252.0,,,,,,,,1.7221,La Paz
Bosnia and Herzegovina,3798671.0,2355176.0,1956316.0,49383.0,12770.0,6000.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,45.0,720.0,0.0,457.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216400000.0,63769000000.0,7760500000.0,9205000000.0,1369000.0,0.0,1.0,22926.0,965.0,13.0,990.0,0.0,36000.0,0.0,0.0,225824000.0,0.0,14114000.0,14766000.0,2264000000.0,51197.0,20.0,1543.0,,,,,3.0799,,,,Sarajevo
Botswana,2450668.0,1029281.0,617568.0,24507.0,21000.0,0.0,0.0,45.0,11.0,0.0,9.0,9.0,0.0,0.0,16.0,0.0,45.0,1224.0,12.0,36.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465600000.0,46742000000.0,1853500000.0,4756000000.0,1170000.0,0.0,0.0,31747.0,888.0,122.0,0.0,0.0,21000.0,0.0,0.0,0.0,0.0,2634000.0,2291000.0,1660000000.0,581730.0,0.0,4347.0,,,2.7509,,,,,,Gaborone
Brazil,220051512.0,112226271.0,88680759.0,3520824.0,360000.0,340000.0,200000.0,513.0,43.0,38.0,109.0,133.0,25.0,0.0,191.0,0.0,294.0,22464.0,109.0,412.0,38.0,64.0,0.0,1.0,4.0,0.0,6.0,2.0,23.0,3.0,26157300000.0,4016000000000.0,432224000000.0,355021000000.0,108695000.0,888.0,45.0,2000000.0,29850.0,4919.0,50000.0,4221000.0,3027000.0,12715000000.0,22670000000.0,31654000000.0,363985000000.0,15644000.0,32787000.0,6596000000.0,8515770.0,7491.0,16145.0,,,,,,,,0.2415,Brasília
