country,power_index_rank,population,total_personnel,manpowerfitformilitaryservice,manpowerreachingmilitaryageannually,active_personnel,reserve_personnel,manpowerparamilitary,total_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,aircrafttotaltrainers,aircrafttotalspecialmission,aircrafttotaltankerfleet,helicopters,aircrafthelicoptersattack,tanks,armored_vehicles,armorselfpropelledgunstotal,artillery_units,armormlrstotal,naval_assets,navyforcebytonnage,aircraft_carriers,navyhelocarriers,navysubmarines,navydestroyers,navyfrigates,navycorvettes,navypatrolcoastalcraft,navyminewarfarecraft,defense_budget_usd,externaldebtbycountry,gdp_usd,reservesofforeignexchangeandgold,majorserviceableairportsbycountry,laborforcebycountry,majorportsandterminals,merchantmarinestrengthbycountry,roadwaycoverage,railwaycoverage,oilproductionbycountry,oilconsumptionbycountry,provenoilreservesbycountry,naturalgasproductionbycountry,naturalgasconsumptionbycountry,provennaturalgasreservesbycountry,coalproductionbycountry,coalconsumptionbycountry,provencoalreservesbycountry,land_area_sq_km,coastline_km,bordercoverage,waterwaycoverage,capital_city,continent,region,alliance,year,power_index_score
United States,1,341963408,150463900,124816644,4445524,1328000,799500,0,13043,1790,889,918,2647,647,605,5843,1002,4640,391963,671,1212,641,440,4168037,11,9,70,81,0,26,0,8,8.95E+11,2.23E+13,2.47E+13,7.73E+11,15873,170549000,666,3533,6586610,293564,20879000,20245000,38212000000,1.03E+12,9.14E+11,1.34E+13,548849000,476044000,2.49E+11,9833517,19924,12002,41009,Washington D.C.,North America,North America,NATO,2025,0.0744
Russia,2,140820810,69002197,46189226,1267387,1320000,2000000,250000,4292,833,689,456,611,141,19,1651,557,5750,131527,5168,8505,3005,419,1260447,1,0,63,10,12,83,123,47,1.26E+11,3.18E+11,5.82E+12,5.97E+11,904,72408000,67,2910,1283387,85494,10727000,3684000,80000000000,6.18E+11,4.72E+11,4.78E+13,508190000,310958000,1.62E+11,17098242,37653,22407,102000,Moscow,Europe,Eastern Europe,Non-NATO,2025,0.0788
China,3,1415043270,764123366,626864169,19810606,2035000,510000,625000,3309,1212,371,289,402,112,10,913,281,6800,144017,3490,1000,2750,754,2857143,3,4,61,50,47,72,150,36,2.67E+11,1.22E+12,3.12E+13,3.45E+12,531,779246000,66,8314,5200000,150000,4984000,15148000,26023000000,2.25E+11,3.66E+11,6.65E+12,4827000000,5313000000,1.43E+11,9596960,14500,22457,27700,Beijing,Asia,East Asia,Non-NATO,2025,0.0788
India,4,1409128296,662290299,522786598,23955181,1455550,1155000,2527000,2229,513,130,270,351,74,6,899,80,4201,148594,100,3975,264,293,593603,2,0,18,13,14,18,135,0,75000000000,3.71E+11,1.31E+13,6.28E+11,311,593729000,56,1859,6371847,65554,795000,5049000,4605000000,33170000000,58867000000,1.38E+12,985671000,1200000000,1.11E+11,3287263,7000,13888,14500,New Delhi,Asia,South Asia,Non-NATO,2025,0.1184
South Korea,5,52081799,26040900,21353538,416654,600000,3100000,120000,1592,315,98,41,318,36,4,807,111,2236,58880,3270,4400,426,227,344786,0,2,22,13,17,5,35,14,46300000000,5.04E+11,2.62E+12,4.21E+11,89,29611000,15,2149,100428,3979,38000,2452000,0,55127000,59480000000,7079000000,15595000,136413000,326000000,99720,2413,237,1600,Seoul,Asia,East Asia,Non-NATO,2025,0.1656
United Kingdom,6,68459055,31491165,25192932,753050,184860,924000,0,631,113,31,29,203,28,9,266,37,227,38200,71,126,29,109,394043,2,0,9,6,8,0,26,7,71500540000,9.59E+12,3.70E+12,1.78E+11,1043,35275000,185,868,394428,16390,753000,1397000,2500000000,37758000000,70141000000,1.81E+11,1891000,8568000,26000000,243610,12429,443,3200,London,Europe,Western Europe,NATO,2025,0.1785
France,7,68374591,30084820,23794358,752121,200000,26000,150000,976,226,0,119,141,44,16,448,68,215,110932,96,0,9,129,428765,1,3,9,11,11,0,20,17,55000000000,6.99E+12,3.76E+12,2.41E+11,689,31825000,66,553,1053215,27860,80000,1554000,61719000,20132000,37001000000,7787000000,2419000,12985000,160000000,643801,4853,4072,8501,Paris,Europe,Western Europe,NATO,2025,0.1878
Japan,8,123201945,52976836,42874277,1108818,247150,56000,25000,1443,217,38,55,401,141,10,596,119,521,31964,149,480,54,159,769882,0,4,24,42,6,0,6,22,57000000000,4.68E+12,5.76E+12,1.30E+12,279,69349000,163,5229,1218772,27311,8000,3289000,44115000,2220000000,92843000000,20898000000,29141000,216332000,350000000,377915,29751,0,1770,Tokyo,Asia,East Asia,Non-NATO,2025,0.1839
Turkiye,9,84119531,42985080,36087279,1430032,355200,378700,150000,1083,201,0,84,287,28,7,508,111,2238,61173,1038,1707,296,182,325729,0,1,13,0,17,9,41,11,47000000000,2.94E+11,2.94E+12,1.41E+11,115,35071000,54,1170,67333,11497,83000,1077000,366000000,379701000,2887000000,3794000000,88746000,123976000,11525000000,783562,7200,2816,1200,Ankara,Asia,Middle East,NATO,2025,0.1902
Italy,10,60964931,27434219,22191235,548684,165500,18500,105000,729,89,67,30,162,23,8,392,37,200,73480,64,108,21,196,359417,2,0,8,3,10,0,19,10,30890000000,2.75E+12,3.10E+12,2.47E+11,636,25669000,123,1276,487700,18475,116000,1246000,497934000,3117000000,68735000000,45750000000,1618000,13127000,609999000,301340,7600,1836,2400,Rome,Europe,Southern Europe,NATO,2025,0.2164
Brazil,11,220051512,112226271,88680759,3520824,360000,340000,200000,513,43,38,109,133,25,0,191,0,294,22464,109,412,38,64,135737,0,1,4,0,6,2,23,3,26157300000,4.32E+11,4.02E+12,3.55E+11,4919,108695000,45,888,2000000,29850,4221000,3027000,12715000000,22670000000,31654000000,3.64E+11,15644000,32787000,6596000000,8515770,7491,16145,50000,Brasilia,South America,South America,Non-NATO,2025,0.2415
Pakistan,12,252363571,108516336,85803614,4794908,654000,550000,500000,1399,328,90,64,565,27,4,373,57,2627,17516,662,2629,600,121,111715,0,0,8,0,9,9,69,3,7640000000,92426000000,1.35E+12,13730000000,116,80990000,3,60,264175,11881,101000,473000,540000000,36937000000,46448000000,5.92E+11,12712000,34027000,3064000000,796095,1046,7257,0,Islamabad,Asia,South Asia,Non-NATO,2025,0.2513
Indonesia,13,281562465,137965608,114595923,4786562,400000,400000,250000,459,41,34,70,112,17,1,214,15,331,20440,153,396,63,331,304168,0,0,4,0,7,25,211,12,10600000000,4.40E+11,3.91E+12,1.46E+11,513,140931000,123,11422,496607,8159,865000,1728000,2480000000,57410000000,36061000000,1.41E+12,659357000,202283000,34869000000,1904569,54716,2958,21579,Jakarta,Asia,Southeast Asia,Non-NATO,2025,0.2557
Germany,14,84119100,38694786,30955829,841191,181600,34000,0,584,129,63,50,35,26,3,309,54,296,83260,134,0,33,61,228552,0,0,6,0,11,5,0,12,50000000000,6.24E+12,5.23E+12,3.23E+11,838,44784000,35,595,830000,39379,131000,2052000,115200000,4824000000,77516000000,23390000000,138981000,186725000,35900000000,357022,2389,3694,7300,Berlin,Europe,Western Europe,NATO,2025,0.2601
Israel,15,9402617,3949099,3281513,131637,170000,465000,35000,611,240,38,13,159,19,14,147,48,1300,35985,352,171,183,62,38238,0,0,5,0,0,7,46,0,30500000000,1.49E+11,4.71E+11,2.05E+11,37,4554000,5,41,20391,1497,15000,230000,12730000,22886000000,11510000000,1.76E+11,0,6476000,0,21937,273,1068,0,Jerusalem,Asia,Middle East,Others,2025,0.2661
Iran,16,88386937,49496685,41541860,1414191,610000,350000,220000,551,188,21,87,103,10,6,128,13,1713,65825,392,2070,1517,107,223395,0,0,25,0,7,3,21,1,15450000000,4134926000,1.44E+12,1.21E+11,173,29159000,18,965,223485,8484,3985000,2136000,2.09E+11,2.63E+11,2.45E+11,3.40E+13,2791000,3531000,1203000000,1648195,2440,5894,850,Tehran,Asia,Middle East,Non-NATO,2025,0.3048
Spain,17,47280433,21748999,17635602,330963,133282,15150,78470,461,137,12,51,140,8,0,153,17,317,17626,95,287,0,152,215346,1,0,2,0,11,0,22,6,23397000000,2.57E+12,2.24E+12,1.03E+11,363,24108000,52,503,683175,15489,47000,1269000,150000000,41009000,32833000000,2549000000,1293000,8255000,1187000000,505370,4964,1953,1000,Madrid,Europe,Western Europe,NATO,2025,0.3242
Australia,18,26768598,11242811,9208398,294455,57350,32050,0,327,24,62,38,98,30,6,69,22,59,15648,0,48,0,44,185648,0,2,6,3,7,0,10,3,55700000000,3.43E+12,1.58E+12,61703000000,2180,14501000,66,604,873573,36064,386000,1123000,2446000000,1.54E+11,50188000000,3.23E+12,465865000,107624000,1.50E+11,7741220,25760,0,2000,Canberra,Oceania,Oceania,Non-NATO,2025,0.3298
Egypt,19,111247248,45611372,38269053,1668709,440000,480000,300000,1093,238,90,61,345,11,0,348,100,3620,41012,1056,962,528,150,235989,0,2,8,0,13,7,62,17,5879500000,1.04E+11,1.91E+12,33070000000,73,33431000,31,441,65050,5085,667000,851000,3300000000,64817000000,60089000000,1.78E+12,289000,3083000,182000000,1001450,2450,2612,3500,Cairo,Africa,North Africa,Non-NATO,2025,0.3427
Ukraine,20,35661826,18187531,12731272,392280,900000,1200000,100000,324,70,36,24,73,3,0,136,39,1114,18920,658,615,279,89,28138,0,0,0,0,0,0,33,3,53700000000,1.32E+11,5.60E+11,40510000000,148,20312000,26,410,169694,21733,3000,248000,395000000,18725000000,22856000000,1.10E+12,4248000,10953000,34375000000,603550,2782,5581,1672,Kyiv,Europe,Eastern Europe,Non-NATO,2025,0.3755
Poland,21,38746310,18985692,15576017,464956,202100,350000,50000,479,59,44,49,105,11,0,216,29,614,23138,677,0,196,62,124962,0,0,1,0,2,2,3,26,48700000000,3.87E+11,1.62E+12,1.94E+11,288,18387000,10,152,420000,19461,24000,722000,113000000,5551000000,20056000000,91492000000,116682000,123782000,28531000000,312685,440,2845,3997,Warsaw,Europe,Eastern Europe,NATO,2025,0.3776
Taiwan,22,23595274,12269542,1061787,306739,215000,2310000,55000,761,285,0,19,232,18,0,236,91,888,19921,488,1360,234,97,250414,0,0,4,4,22,7,37,14,19740000000,2.09E+11,1.26E+12,4.93E+11,53,11498000,8,465,43206,1613,800,1022000,2380000,63747000,21157000000,6230000000,5608000,66855000,1000000,35980,1566,0,0,Taipei,Asia,East Asia,Others,2025,0.3988
Vietnam,23,105758975,54994667,45053323,1797903,600000,5000000,250000,246,41,32,9,60,3,0,101,0,1374,11912,40,535,474,110,107813,0,0,9,0,9,16,35,8,8594000000,1.10E+11,1.35E+12,97955500000,42,56149000,16,1973,195468,2600,187000,494000,4400000000,7676000000,7676000000,6.99E+11,43614000,83116000,3360000000,331210,3444,4616,47130,Hanoi,Asia,Southeast Asia,Non-NATO,2025,0.4024
Saudi Arabia,24,36544431,19003104,17468238,621255,257000,0,150000,917,283,81,49,202,16,22,264,34,840,19040,332,467,321,32,49727,0,0,0,0,7,9,9,3,74760000000,2.26E+11,1.83E+12,4.58E+11,86,16934000,16,433,221372,5410,11113000,3649000,2.59E+11,1.22E+11,1.22E+11,9.42E+12,0,164000,0,2149690,2640,4272,0,Riyadh,Asia,Middle East,Non-NATO,2025,0.4201
Thailand,25,69920998,36358919,27968399,1118736,360850,200000,25000,493,72,20,54,135,26,0,258,7,635,16935,50,589,26,293,130988,0,1,0,0,7,6,49,5,5887883500,1.03E+11,1.52E+12,2.24E+11,108,40814000,21,884,180053,4127,386000,1248000,252750000,30797000000,48898000000,1.38E+11,13642000,36030000,1063000000,513120,3219,5673,4000,Bangkok,Asia,Southeast Asia,Non-NATO,2025,0.4536
Algeria,26,47022473,22570787,19185169,752360,325000,135000,150000,608,102,42,63,87,10,5,299,74,1485,26000,224,483,266,110,82880,0,0,6,0,8,8,75,2,25000000000,3335624000,7.00E+11,81217000000,85,13425000,17,119,104000,4020,1443000,428000,12200000000,1.01E+11,47963000000,4.50E+12,0,167000,233000000,2381740,998,6734,0,Algiers,Africa,North Africa,Non-NATO,2025,0.3589
Sweden,27,10589835,4235934,3558185,105898,24400,32900,25000,169,71,0,6,33,5,1,53,0,110,6795,26,0,0,308,31673,0,0,4,0,0,7,179,8,13000000000,1.00E+12,6.76E+11,60863000000,203,5825000,92,361,573134,10910,11000,283000,0,0,889924000,0,1115000,3396000,5000000,450295,3218,2211,2052,Stockholm,Europe,Northern Europe,NATO,2025,0.4835
Canada,28,38794813,16681770,13500595,426743,68000,27000,5500,351,66,0,28,95,33,6,145,0,74,21704,0,0,0,73,119637,0,0,4,0,12,0,24,0,41000000000,2.34E+12,2.24E+12,1.18E+11,1425,22110000,284,716,1042300,4942,5692000,2454000,1.70E+11,1.88E+11,1.30E+11,2.07E+12,43024000,17138000,6582000000,9984670,202080,8893,636,Ottawa,North America,North America,NATO,2025,0.5179
Singapore,29,6028459,3918498,2628408,66313,51000,252500,12000,230,100,0,9,36,9,11,70,18,170,8998,48,89,24,50,81340,0,0,6,0,6,6,12,4,15000000000,1.71E+12,7.55E+11,3.60E+11,9,3619000,5,3202,3500,0,0,1470000,0,0,13724000000,0,0,784000,0,719,193,0,0,Singapore,Asia,Southeast Asia,Non-NATO,2025,0.5271
Greece,30,10461091,4916713,3985676,104611,142700,221350,55000,558,178,0,15,81,8,0,293,29,1344,61888,589,698,152,192,216348,0,0,10,0,13,0,39,7,6500000000,5.50E+11,3.76E+11,13608000000,81,4645000,57,1215,117000,2345,5000,303000,10000000,3284000,5173000000,991090000,13703000,13988000,2876000000,131957,13676,1110,6,Athens,Europe,Southern Europe,NATO,2025,0.5337
Nigeria,31,236747130,125475979,90437404,4261448,230000,0,50000,163,14,24,23,28,11,0,66,15,330,8962,40,339,37,133,124962,0,0,0,0,1,0,109,2,3160000000,32455500000,1.28E+12,41349000000,47,75721000,28,928,195000,3798,1541000,515000,36890000000,39951000000,20719000000,5.76E+12,3043000,3044000,2144000000,923768,853,4477,8600,Abuja,Africa,West Africa,Non-NATO,2025,0.5771
