Country,total-population-by-country,available-military-manpower,manpower-fit-for-military-service,manpower-reaching-military-age-annually,active-military-manpower,active-reserve-military-manpower,manpower-paramilitary,aircraft-total,aircraft-total-fighters,aircraft-total-attack-types,aircraft-total-transports,aircraft-total-trainers,aircraft-total-special-mission,aircraft-total-tanker-fleet,aircraft-helicopters-total,aircraft-helicopters-attack,armor-tanks-total,armor-apc-total,armor-self-propelled-guns-total,armor-towed-artillery-total,armor-mlrs-total,navy-ships,navy-force-by-tonnage,navy-aircraft-carriers,navy-helo-carriers,navy-submarines,navy-destroyers,navy-frigates,navy-corvettes,navy-patrol-coastal-craft,navy-mine-warfare-craft,defense-spending-budget,external-debt-by-country,purchasing-power-parity,reserves-of-foreign-exchange-and-gold,major-serviceable-airports-by-country,labor-force-by-country,major-ports-and-terminals,railway-coverage,roadway-coverage,oil-production-by-country,oil-consumption-by-country,proven-oil-reserves-by-country,natural-gas-production-by-country,natural-gas-consumption-by-country,proven-natural-gas-reserves-by-country,coal-production-by-country,coal-consumption-by-country,proven-coal-reserves-by-country,square-land-area,coastline-coverage,border-coverage,waterway-coverage,Capital,Captal Population,power_index_rank
Germany,84119100,38694786,30955829,841191,181600,34000,0,584,129,63,50,35,26,3,309,54,296,83260,134,0,33,61,228552,0,0,6,0,11,5,0,12,$                        							50000000000,$                        							6238609300000,$                        							5230000000000,$                        							322700000000,838,44784000,35,"39379                        						
							km","830000                        						
							km","131000                        						
							bbl","2052000                        						
							bbl","115200000                        						
							bbl","4824000000                        						
							Cu.M","77516000000                        						
							Cu.M","23390000000                        						
							Cu.M","138981000                        						
							Cu.M","186725000                        						
							mt","35900000000                        						
							Cu.M","357022                        						
							km","2389                        						
							km","3694                        						
							km","7300                        						
							km",Luanda,"8,952,000",14
Thailand,69920998,36358919,27968399,1118736,360850,200000,25000,493,72,20,54,135,26,0,258,7,635,16935,50,589,26,293,130988,0,1,0,0,7,6,49,5,$                        							5887883500,$                        							102694000000,$                        							1516000000000,$                        							224470000000,108,40814000,21,"4127                        						
							km","180053                        						
							km","386000                        						
							bbl","1248000                        						
							bbl","252750000                        						
							bbl","30797000000                        						
							Cu.M","48898000000                        						
							Cu.M","138243000000                        						
							Cu.M","13642000                        						
							Cu.M","36030000                        						
							mt","1063000000                        						
							Cu.M","513120                        						
							km","3219                        						
							km","5673                        						
							km","4000                        						
							km",Kuala Lumpur,"8,420,000",25
United Kingdom,68459055,31491165,25192932,753050,184860,924000,0,631,113,31,29,203,28,9,266,37,227,38200,71,126,29,109,394043,2,0,9,6,8,0,26,7,$                        							71500540000,$                        							9593749000000,$                        							3700000000000,$                        							177915000000,1043,35275000,185,"16390                        						
							km","394428                        						
							km","753000                        						
							bbl","1397000                        						
							bbl","2500000000                        						
							bbl","37758000000                        						
							Cu.M","70141000000                        						
							Cu.M","180661000000                        						
							Cu.M","1891000                        						
							Cu.M","8568000                        						
							mt","26000000                        						
							Cu.M","243610                        						
							km","12429                        						
							km","443                        						
							km","3200                        						
							km",Dar es Salaam,"7,776,000",6
France,68374591,30084820,23794358,752121,200000,26000,150000,976,226,0,119,141,44,16,448,68,215,110932,96,0,9,129,428765,1,3,9,11,11,0,20,17,$                        							55000000000,$                        							6992104900000,$                        							3764000000000,$                        							240792000000,689,31825000,66,"27860                        						
							km","1053215                        						
							km","80000                        						
							bbl","1554000                        						
							bbl","61719000                        						
							bbl","20132000                        						
							Cu.M","37001000000                        						
							Cu.M","7787000000                        						
							Cu.M","2419000                        						
							Cu.M","12985000                        						
							mt","160000000                        						
							Cu.M","643801                        						
							km","4853                        						
							km","4072                        						
							km","8501                        						
							km",Riyadh,"7,682,000",7
Tanzania,67462121,12143182,6678750,607159,27000,80000,6500,39,14,0,6,7,0,0,12,0,62,1072,0,0,0,12,,0,0,0,0,0,0,10,0,$                        							1406745334,$                        							18983500000,$                        							234050000000,$                        							5693050000,206,31219000,8,"4097                        						
							km","145203                        						
							km","0                        						
							bbl","58000                        						
							bbl","0                        						
							bbl","1808000000                        						
							Cu.M","1808000000                        						
							Cu.M","6513000000                        						
							Cu.M","2511000                        						
							Cu.M","802000                        						
							mt","1410000000                        						
							Cu.M","947300                        						
							km","1424                        						
							km","4161                        						
							km","0                        						
							km",Baghdad,"7,512,000",92
Italy,60964931,27434219,22191235,548684,165500,18500,105000,729,89,67,30,162,23,8,392,37,200,73480,64,108,21,196,359417,2,0,8,3,10,0,19,10,$                        							30890000000,$                        							2750000000000,$                        							3097000000000,$                        							247396000000,636,25669000,123,"18475                        						
							km","487700                        						
							km","116000                        						
							bbl","1246000                        						
							bbl","497934000                        						
							bbl","3117000000                        						
							Cu.M","68735000000                        						
							Cu.M","45750000000                        						
							Cu.M","1618000                        						
							Cu.M","13127000                        						
							mt","609999000                        						
							Cu.M","301340                        						
							km","7600                        						
							km","1836                        						
							km","2400                        						
							km",Santiago,"6,857,000",10
South Africa,60442647,27803618,14989776,1027525,71235,29350,50000,182,2,0,12,81,0,0,87,10,252,18692,49,134,101,49,40186,0,0,3,0,4,0,33,2,$                        							2266800000,$                        							58773000000,$                        							862981000000,$                        							62492000000,575,25158000,8,"20986                        						
							km","750000                        						
							km","95000                        						
							bbl","601000                        						
							bbl","15000000                        						
							bbl","59128000                        						
							Cu.M","4487000000                        						
							Cu.M","0                        						
							Cu.M","245467000                        						
							Cu.M","176148000                        						
							mt","9893000000                        						
							Cu.M","1219090                        						
							km","2798                        						
							km","5244                        						
							km","0                        						
							km",Madrid,"6,751,000",40
Kenya,58246378,21551160,14037377,931942,50000,0,25000,156,17,0,21,31,2,0,85,2,188,4128,18,53,0,23,,0,0,0,0,0,0,7,0,$                        							1307383850,$                        							30514500000,$                        							314063000000,$                        							7342000000,370,25502000,4,"3819                        						
							km","161452                        						
							km","0                        						
							bbl","119000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","1168000                        						
							mt","0                        						
							Cu.M","580367                        						
							km","536                        						
							km","3457                        						
							km","0                        						
							km",Khartoum,"6,344,000",83
Myanmar,57527139,30489384,21975367,1035489,150000,20000,55000,317,58,26,30,119,5,0,83,9,445,5980,95,210,180,232,89240,0,0,3,0,6,3,146,2,$                        							2948000000,$                        							7253400000,$                        							290507000000,$                        							8590400000,73,22884000,7,"5031                        						
							km","157000                        						
							km","7000                        						
							bbl","148000                        						
							bbl","139000000                        						
							bbl","16780000000                        						
							Cu.M","3788000000                        						
							Cu.M","637129000000                        						
							Cu.M","1268000                        						
							Cu.M","1453000                        						
							mt","252000000                        						
							Cu.M","676578                        						
							km","1930                        						
							km","6522                        						
							km","12800                        						
							km",Singapore,"6,081,000",37
South Korea,52081799,26040900,21353538,416654,600000,3100000,120000,1592,315,98,41,318,36,4,807,111,2236,58880,3270,4400,426,227,344786,0,2,22,13,17,5,35,14,$                        							46300000000,$                        							503519500000,$                        							2615000000000,$                        							420930000000,89,29611000,15,"3979                        						
							km","100428                        						
							km","38000                        						
							bbl","2452000                        						
							bbl","0                        						
							bbl","55127000                        						
							Cu.M","59480000000                        						
							Cu.M","7079000000                        						
							Cu.M","15595000                        						
							Cu.M","136413000                        						
							mt","326000000                        						
							Cu.M","99720                        						
							km","2413                        						
							km","237                        						
							km","1600                        						
							km",Rangoon,"5,610,000",5
