Country,Rank,total-population-by-country,available-military-manpower,manpower-fit-for-military-service,manpower-reaching-military-age-annually,active-military-manpower,active-reserve-military-manpower,manpower-paramilitary,capital-cities-by-total-population,aircraft-total,aircraft-total-fighters,aircraft-total-attack-types,aircraft-total-transports,aircraft-total-trainers,aircraft-total-special-mission,aircraft-total-tanker-fleet,aircraft-helicopters-total,aircraft-helicopters-attack,armor-tanks-total,armor-apc-total,armor-self-propelled-guns-total,armor-towed-artillery-total,armor-mlrs-total,navy-ships,navy-force-by-tonnage,navy-aircraft-carriers,navy-helo-carriers,navy-submarines,navy-destroyers,navy-frigates,navy-corvettes,navy-patrol-coastal-craft,navy-mine-warfare-craft,defense-spending-budget,external-debt-by-country,purchasing-power-parity,reserves-of-foreign-exchange-and-gold,major-serviceable-airports-by-country,labor-force-by-country,major-ports-and-terminals,railway-coverage,roadway-coverage,oil-production-by-country,oil-consumption-by-country,proven-oil-reserves-by-country,natural-gas-production-by-country,natural-gas-consumption-by-country,proven-natural-gas-reserves-by-country,coal-production-by-country,coal-consumption-by-country,proven-coal-reserves-by-country,square-land-area,coastline-coverage,border-coverage,waterway-coverage
Malaysia,42,"34,564,810","16,245,461","13,480,276","553,037","113,000","51,600","100,000",,135,26,12,16,31,6,4,45,0,48,"13,506",0,196,36,100,"67,735",0,0,2,0,2,6,71,4,"$                        							4,800,000,000","$                        							247,500,000,000","$                        							1,152,000,000,000","$                        							113,438,000,000",102,"17,308,000",35,"1,851                        						
							km","144,403                        						
							km","582,000                        						
							bbl","717,000                        						
							bbl","3,600,000,000                        						
							bbl","75,456,000,000                        						
							Cu.M","42,499,000,000                        						
							Cu.M","1,189,000,000,000                        						
							Cu.M","3,731,000                        						
							Cu.M","35,050,000                        						
							mt","226,000,000                        						
							Cu.M","329,847                        						
							km","4,675                        						
							km","2,742                        						
							km","7,200                        						
							km"
Iraq,43,"42,083,436","17,675,043","14,308,368","715,418","193,000",0,"100,000",,391,26,36,15,139,17,0,197,39,"1,025","37,288",434,610,572,68,,0,0,0,0,0,2,26,0,"$                        							7,923,000,000","$                        							45,032,500,000","$                        							572,939,000,000","$                        							112,233,000,000",71,"11,812,000",6,"2,272                        						
							km","59,623                        						
							km","4,437,000                        						
							bbl","918,000                        						
							bbl","145,019,000,000                        						
							bbl","9,860,000,000                        						
							Cu.M","19,298,000,000                        						
							Cu.M","3,729,000,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","438,317                        						
							km","58                        						
							km","3,809                        						
							km","5,279                        						
							km"
Switzerland,44,"8,860,574","3,898,653","3,163,225","97,466","101,584","49,715","5,000",,146,43,0,16,44,3,0,40,0,205,"6,996",133,0,0,0,,0,0,0,0,0,0,0,0,"$                        							25,039,000,000","$                        							2,200,000,000,000","$                        							733,779,000,000","$                        							863,892,000,000",62,"4,991,000",0,"5,296                        						
							km","71,557                        						
							km","300                        						
							bbl","193,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","3,138,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","161,000                        						
							mt","0                        						
							Cu.M","41,277                        						
							km","0                        						
							km","1,770                        						
							km","1,292                        						
							km"
Denmark,45,"5,973,136","2,628,180","2,126,436","77,651","20,000","12,000","51,000",,117,31,4,4,41,3,0,34,0,44,"3,856",19,0,8,50,"121,180",0,0,0,0,9,0,9,6,"$                        							7,225,466,250","$                        							555,500,000,000","$                        							428,385,000,000","$                        							109,371,000,000",99,"3,180,000",69,"2,682                        						
							km","74,558                        						
							km","63,000                        						
							bbl","152,000                        						
							bbl","441,000,000                        						
							bbl","1,879,000,000                        						
							Cu.M","2,208,000,000                        						
							Cu.M","29,534,000,000                        						
							Cu.M","0                        						
							Cu.M","1,788,000                        						
							mt","0                        						
							Cu.M","43,094                        						
							km","7,314                        						
							km","140                        						
							km","400                        						
							km"
Colombia,46,"49,588,357","24,298,295","19,190,694","843,002","293,200","35,000","150,000",,436,16,24,86,72,23,1,257,0,0,"3,460",6,110,0,233,"31,090",0,0,4,0,7,2,217,0,"$                        							10,541,500,000","$                        							116,779,500,000","$                        							978,024,000,000","$                        							59,041,000,000",662,"26,003,000",14,"2,141                        						
							km","205,379                        						
							km","800,000                        						
							bbl","320,000                        						
							bbl","2,036,000,000                        						
							bbl","11,290,000,000                        						
							Cu.M","11,451,000,000                        						
							Cu.M","87,782,000,000                        						
							Cu.M","58,747,000                        						
							Cu.M","7,880,000                        						
							mt","4,554,000,000                        						
							Cu.M","1,138,910                        						
							km","3,208                        						
							km","6,672                        						
							km","24,725                        						
							km"
Chile,47,"18,664,652","8,959,033","7,521,855","298,634","80,000","40,000","50,000",,277,45,0,32,92,21,5,87,0,386,"8,832",48,249,8,130,"176,065",0,0,4,0,8,0,40,0,"$                        							5,032,500,000","$                        							214,500,000,000","$                        							579,201,000,000","$                        							46,377,000,000",374,"9,848,000",39,"7,282                        						
							km","77,801                        						
							km","11,000                        						
							bbl","405,000                        						
							bbl","150,000,000                        						
							bbl","1,200,000,000                        						
							Cu.M","6,916,000,000                        						
							Cu.M","97,976,000,000                        						
							Cu.M","499,000                        						
							Cu.M","8,637,000                        						
							mt","1,181,000,000                        						
							Cu.M","756,102                        						
							km","6,435                        						
							km","7,801                        						
							km","12,290                        						
							km"
Finland,48,"5,626,414","2,306,830","1,912,981","56,264","24,000","870,000","53,800",,163,54,0,11,77,1,0,27,0,200,"11,704",107,667,76,264,"19,434",0,0,0,0,0,0,8,18,"$                        							6,779,661,000","$                        							660,000,000,000","$                        							321,126,000,000","$                        							16,929,000,000",98,"2,880,000",37,"5,918                        						
							km","454,000                        						
							km","8,000                        						
							bbl","175,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","1,157,000,000                        						
							Cu.M","0                        						
							Cu.M","808,000                        						
							Cu.M","4,141,000                        						
							mt","0                        						
							Cu.M","338,145                        						
							km","1,250                        						
							km","2,563                        						
							km","8,000                        						
							km"
Peru,49,"32,600,249","15,648,120","12,681,497","619,405","120,000","385,000","60,000",,256,15,22,38,72,12,0,111,16,240,"6,560",12,290,49,71,"170,344",0,0,4,0,7,8,13,0,"$                        							3,420,000,000","$                        							59,400,000,000","$                        							517,644,000,000","$                        							71,394,000,000",166,"18,529,000",20,"1,855                        						
							km","18,699                        						
							km","118,000                        						
							bbl","210,000                        						
							bbl","858,890,000                        						
							bbl","12,270,000,000                        						
							Cu.M","7,185,000,000                        						
							Cu.M","300,159,000,000                        						
							Cu.M","153,000                        						
							Cu.M","712,000                        						
							mt","1,567,000,000                        						
							Cu.M","1,285,216                        						
							km","2,414                        						
							km","7,062                        						
							km","8,808                        						
							km"
Venezuela,50,"31,250,306","15,625,153","12,812,625","625,006","109,000","8,000","220,000",,229,30,0,49,75,3,1,88,10,172,"8,802",48,100,36,34,,0,0,1,0,1,0,25,0,"$                        							4,093,120,000","$                        							110,330,000,000","$                        							295,974,800,000","$                        							10,095,500,000",502,"11,548,000",31,"447                        						
							km","96,189                        						
							km","761,000                        						
							bbl","367,000                        						
							bbl","303,806,000,000                        						
							bbl","17,696,000,000                        						
							Cu.M","17,696,000,000                        						
							Cu.M","5,674,000,000,000                        						
							Cu.M","197,000                        						
							Cu.M","82,000                        						
							mt","730,999,000                        						
							Cu.M","912,050                        						
							km","2,800                        						
							km","5,267                        						
							km","7,100                        						
							km"
Romania,51,"18,148,155","9,437,041","7,731,114","199,630","81,300","55,000","15,000",,140,21,0,14,44,2,0,65,0,328,"10,774",0,720,243,20,,0,0,0,0,3,7,3,5,"$                        							9,700,000,000","$                        							132,000,000,000","$                        							772,107,000,000","$                        							73,000,000,000",82,"8,282,000",11,"10,628                        						
							km","84,185                        						
							km","67,000                        						
							bbl","221,000                        						
							bbl","600,000,000                        						
							bbl","9,501,000,000                        						
							Cu.M","10,055,000,000                        						
							Cu.M","105,480,000,000                        						
							Cu.M","18,160,000                        						
							Cu.M","19,404,000                        						
							mt","291,000,000                        						
							Cu.M","238,391                        						
							km","225                        						
							km","2,844                        						
							km","1,731                        						
							km"
