Country,Rank,total-population-by-country,available-military-manpower,manpower-fit-for-military-service,manpower-reaching-military-age-annually,active-military-manpower,active-reserve-military-manpower,manpower-paramilitary,capital-cities-by-total-population,aircraft-total,aircraft-total-fighters,aircraft-total-attack-types,aircraft-total-transports,aircraft-total-trainers,aircraft-total-special-mission,aircraft-total-tanker-fleet,aircraft-helicopters-total,aircraft-helicopters-attack,armor-tanks-total,armor-apc-total,armor-self-propelled-guns-total,armor-towed-artillery-total,armor-mlrs-total,navy-ships,navy-force-by-tonnage,navy-aircraft-carriers,navy-helo-carriers,navy-submarines,navy-destroyers,navy-frigates,navy-corvettes,navy-patrol-coastal-craft,navy-mine-warfare-craft,defense-spending-budget,external-debt-by-country,purchasing-power-parity,reserves-of-foreign-exchange-and-gold,major-serviceable-airports-by-country,labor-force-by-country,major-ports-and-terminals,railway-coverage,roadway-coverage,oil-production-by-country,oil-consumption-by-country,proven-oil-reserves-by-country,natural-gas-production-by-country,natural-gas-consumption-by-country,proven-natural-gas-reserves-by-country,coal-production-by-country,coal-consumption-by-country,proven-coal-reserves-by-country,square-land-area,coastline-coverage,border-coverage,waterway-coverage
Bulgaria,62,"6,782,659","3,187,850","2,611,324","61,044","37,000","3,000",0,,65,10,5,6,21,0,0,27,4,90,"4,914",48,24,24,36,,0,0,0,0,4,3,0,10,"$                        							1,373,232,000","$                        							27,138,500,000","$                        							214,061,000,000","$                        							46,334,000,000",111,"3,103,000",2,"4,029                        						
							km","19,512                        						
							km","4,000                        						
							bbl","101,000                        						
							bbl","15,000,000                        						
							bbl","20,837,000                        						
							Cu.M","2,801,000,000                        						
							Cu.M","5,663,000,000                        						
							Cu.M","35,516,000                        						
							Cu.M","35,970,000                        						
							mt","2,366,000,000                        						
							Cu.M","110,880                        						
							km","354                        						
							km","1,806                        						
							km","470                        						
							km"
Serbia,63,"6,652,212","3,259,584","2,574,406","79,827","25,000","2,000","600,000",,110,11,17,3,33,0,0,46,4,262,"3,683",90,150,98,20,,0,0,0,0,0,0,7,5,"$                        							2,287,461,000","$                        							35,200,000,000","$                        							162,213,000,000","$                        							27,569,000,000",43,"3,333,000",0,"3,333                        						
							km","44,248                        						
							km","13,000                        						
							bbl","82,000                        						
							bbl","77,500,000                        						
							bbl","353,376,000                        						
							Cu.M","2,939,000,000                        						
							Cu.M","48,139,000,000                        						
							Cu.M","35,129,000                        						
							Cu.M","38,297,000                        						
							mt","7,514,000,000                        						
							Cu.M","77,474                        						
							km","0                        						
							km","2,322                        						
							km","587                        						
							km"
Syria,64,"23,865,423","15,273,871","13,245,310","668,232","170,000","50,000","50,000",,207,104,9,3,15,1,0,77,14,365,"11,148",90,641,204,27,,0,0,0,0,0,0,16,4,"$                        							291,850,000","$                        							4,309,500,000","$                        							55,935,900,000","$                        							341,962,500",39,"6,315,000",3,"2,052                        						
							km","69,873                        						
							km","75,000                        						
							bbl","138,000                        						
							bbl","2,500,000,000                        						
							bbl","3,085,000,000                        						
							Cu.M","3,084,000,000                        						
							Cu.M","240,693,000,000                        						
							Cu.M","0                        						
							Cu.M","47,000                        						
							mt","0                        						
							Cu.M","187,437                        						
							km","193                        						
							km","2,363                        						
							km","900                        						
							km"
Ecuador,65,"18,309,984","8,422,593","6,738,074","329,580","41,250","118,000","1,500",,102,0,0,20,34,8,0,46,0,54,"5,204",5,106,24,30,,0,0,2,0,2,6,5,0,"$                        							2,376,000,000","$                        							44,898,000,000","$                        							260,213,000,000","$                        							4,442,000,000",310,"8,893,000",6,"965                        						
							km","43,950                        						
							km","480,000                        						
							bbl","225,000                        						
							bbl","8,273,000,000                        						
							bbl","309,778,000                        						
							Cu.M","309,778,000                        						
							Cu.M","10,902,000,000                        						
							Cu.M","0                        						
							Cu.M","21,000                        						
							mt","24,000,000                        						
							Cu.M","283,560                        						
							km","2,237                        						
							km","2,237                        						
							km","1,500                        						
							km"
Democratic Republic of the Congo,66,"115,403,027","39,237,029","31,389,623","2,538,867","166,580","31,000","10,000",,46,1,6,6,1,0,0,32,8,105,916,8,60,25,16,,0,0,0,0,0,0,16,0,"$                        							796,560,000","$                        							4,994,000,000","$                        							154,012,000,000","$                        							3,898,125,000",272,"35,983,000",3,"4,007                        						
							km","152,373                        						
							km","19,000                        						
							bbl","26,000                        						
							bbl","180,000,000                        						
							bbl","380,000                        						
							Cu.M","380,000                        						
							Cu.M","991,090,000                        						
							Cu.M","0                        						
							Cu.M","23,000                        						
							mt","987,999,000                        						
							Cu.M","2,344,858                        						
							km","37                        						
							km","10,481                        						
							km","15,000                        						
							km"
Cuba,67,"10,966,038","5,921,661","4,737,328","142,558","45,500","40,000","1,145,000",,31,11,0,4,3,0,0,13,4,113,"6,864",60,130,15,19,,0,0,0,0,1,1,6,4,"$                        							4,508,784,000","$                        							33,066,000,000","$                        							141,400,000,000","$                        							10,442,000,000",123,"5,317,000",34,"8,367                        						
							km","60,000                        						
							km","34,000                        						
							bbl","165,000                        						
							bbl","124,000,000                        						
							bbl","659,434,000                        						
							Cu.M","659,434,000                        						
							Cu.M","70,792,000,000                        						
							Cu.M","0                        						
							Cu.M","2,000                        						
							mt","0                        						
							Cu.M","110,860                        						
							km","3,735                        						
							km","29                        						
							km","240                        						
							km"
Austria,68,"8,967,982","4,035,592","3,632,033","98,648","16,000","125,600",0,,85,15,0,11,18,0,0,41,0,56,"7,322",30,0,0,0,,0,0,0,0,0,0,0,0,"$                        							5,475,750,000","$                        							630,000,000,000","$                        							590,354,000,000","$                        							31,212,000,000",61,"4,825,000",0,"6,123                        						
							km","137,039                        						
							km","18,000                        						
							bbl","245,000                        						
							bbl","35,200,000                        						
							bbl","618,209,000                        						
							Cu.M","8,136,000,000                        						
							Cu.M","5,040,000,000                        						
							Cu.M","1,271,000                        						
							Cu.M","5,026,000                        						
							mt","0                        						
							Cu.M","83,871                        						
							km","0                        						
							km","2,524                        						
							km","358                        						
							km"
Sri Lanka,69,"21,982,608","10,551,652","8,551,235","307,757","346,000","90,000",0,,85,5,0,14,8,3,0,55,9,44,"3,190",0,96,28,270,"27,136",0,0,0,0,5,0,59,0,"$                        							1,265,400,000","$                        							46,409,500,000","$                        							287,132,000,000","$                        							3,450,700,000",18,"8,707,000",6,"1,562                        						
							km","114,093                        						
							km","0                        						
							bbl","121,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","2,084,000                        						
							mt","0                        						
							Cu.M","65,610                        						
							km","1,340                        						
							km","0                        						
							km","160                        						
							km"
Belarus,70,"9,501,451","5,035,769","3,724,569","104,516","63,000","145,000","55,000",,185,36,50,4,27,0,0,68,29,507,"6,916",357,215,206,0,,0,0,0,0,0,0,0,0,"$                        							1,077,900,000","$                        							44,000,000,000","$                        							254,407,000,000","$                        							8,118,000,000",46,"4,956,000",0,"5,528                        						
							km","86,600                        						
							km","30,000                        						
							bbl","131,000                        						
							bbl","198,000,000                        						
							bbl","73,929,000                        						
							Cu.M","16,683,000,000                        						
							Cu.M","2,832,000,000                        						
							Cu.M","0                        						
							Cu.M","778,000                        						
							mt","0                        						
							Cu.M","207,600                        						
							km","0                        						
							km","3,599                        						
							km","2,500                        						
							km"
Slovakia,71,"5,563,649","2,837,461","2,353,424","61,200","19,500",0,0,,41,2,0,7,9,1,0,22,0,45,"3,074",35,9,25,0,,0,0,0,0,0,0,0,0,"$                        							2,656,000,000","$                        							127,600,000,000","$                        							213,053,000,000","$                        							11,288,000,000",114,"2,823,000",0,"3,627                        						
							km","56,926                        						
							km","7,000                        						
							bbl","94,000                        						
							bbl","9,000,000                        						
							bbl","52,556,000                        						
							Cu.M","60,424,000                        						
							Cu.M","14,158,000,000                        						
							Cu.M","2,343,000                        						
							Cu.M","5,794,000                        						
							mt","19,000,000                        						
							Cu.M","49,035                        						
							km","0                        						
							km","1,587                        						
							km","172                        						
							km"
Qatar,72,"2,552,088","638,022","490,001","12,760","66,550","15,000","5,500",,251,102,6,12,51,0,0,80,24,99,"5,024",46,12,16,115,,0,0,0,0,0,4,105,0,"$                        							9,432,000,000","$                        							187,000,000,000","$                        							304,973,000,000","$                        							51,539,000,000",8,"2,035,000",6,"0                        						
							km","7,039                        						
							km","1,815,000                        						
							bbl","297,000                        						
							bbl","25,244,000                        						
							bbl","169,595,000,000                        						
							Cu.M","41,515,000,000                        						
							Cu.M","23,861,000,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","11,586                        						
							km","563                        						
							km","87                        						
							km","0                        						
							km"
Sudan,73,"50,467,278","26,747,657","17,108,407","1,312,149","92,000","85,000","17,500",,165,37,27,13,15,0,0,64,35,224,"2,900",100,287,192,6,,0,0,0,0,0,0,6,0,"$                        							342,000,000","$                        							37,846,000,000","$                        							136,039,000,000","$                        							206,763,700",41,"13,590,000",4,"7,251                        						
							km","31,000                        						
							km","68,000                        						
							bbl","127,000                        						
							bbl","1,250,000,000                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","84,951,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","1,861,484                        						
							km","853                        						
							km","6,819                        						
							km","4,068                        						
							km"
Croatia,74,"4,150,116","2,033,557","1,564,594","53,952","14,325","20,100","2,000",,67,10,0,0,28,0,0,37,0,45,"2,848",25,42,42,30,,0,0,0,0,0,0,10,1,"$                        							1,176,000,000","$                        							55,000,000,000","$                        							159,305,000,000","$                        							3,176,000,000",40,"1,744,000",16,"2,617                        						
							km","26,958                        						
							km","11,000                        						
							bbl","70,000                        						
							bbl","71,000,000                        						
							bbl","741,456,000                        						
							Cu.M","2,502,000,000                        						
							Cu.M","24,919,000,000                        						
							Cu.M","0                        						
							Cu.M","702,000                        						
							mt","0                        						
							Cu.M","56,594                        						
							km","5,835                        						
							km","2,237                        						
							km","4,714                        						
							km"
Jordan,75,"11,174,024","3,463,947","2,983,464","145,262","100,500","65,000","35,000",,274,44,6,13,66,13,0,155,44,"1,458","16,624",358,80,56,27,,0,0,0,0,0,0,27,0,"$                        							2,500,000,000","$                        							25,646,500,000","$                        							106,806,000,000","$                        							15,715,600,000",17,"3,063,000",1,"509                        						
							km","7,203                        						
							km","20                        						
							bbl","97,000                        						
							bbl","1,000,000                        						
							bbl","187,262,000                        						
							Cu.M","4,382,000,000                        						
							Cu.M","6,031,000,000                        						
							Cu.M","0                        						
							Cu.M","479,000                        						
							mt","0                        						
							Cu.M","89,342                        						
							km","26                        						
							km","1,744                        						
							km","0                        						
							km"
Libya,76,"7,361,263","3,827,857","3,290,485","125,141","32,000",0,"100,000",,143,10,1,6,38,0,0,16,4,43,"1,816",15,28,25,5,,0,0,0,0,0,1,1,1,"$                        							3,060,000,000","$                        							3,322,000,000","$                        							121,951,000,000","$                        							92,427,000,000",66,"2,398,000",14,"2,000                        						
							km","37,000                        						
							km","1,245,000                        						
							bbl","230,000                        						
							bbl","48,363,000,000                        						
							bbl","11,832,000,000                        						
							Cu.M","9,212,000,000                        						
							Cu.M","1,505,000,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","1,759,540                        						
							km","1,770                        						
							km","4,339                        						
							km","0                        						
							km"
Turkmenistan,77,"5,744,151","2,768,681","2,245,963","109,139","36,500",0,"3,500",,91,24,27,5,9,0,0,26,10,654,"5,016",73,450,164,16,,0,0,0,0,0,0,16,0,"$                        							1,078,020,000","$                        							2,134,500,000","$                        							94,790,000,000","$                        							23,415,400,000",23,"2,163,000",0,"5,113                        						
							km","58,592                        						
							km","272,000                        						
							bbl","152,000                        						
							bbl","600,000,000                        						
							bbl","86,472,000,000                        						
							Cu.M","41,561,000,000                        						
							Cu.M","11,327,000,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","800,000,000                        						
							Cu.M","488,100                        						
							km","1,768                        						
							km","4,158                        						
							km","1,300                        						
							km"
Albania,78,"3,107,100","1,522,479","1,292,554","62,142","6,600","2,000",500,,19,0,0,0,0,0,0,19,0,46,"1,796",0,50,135,19,,0,0,0,0,0,0,19,0,"$                        							558,862,420","$                        							7,312,000,000","$                        							49,592,000,000","$                        							6,455,000,000",3,"1,388,000",3,"424                        						
							km","3,945                        						
							km","1,400                        						
							bbl","2,600                        						
							bbl","150,000,000                        						
							bbl","50,623,000                        						
							Cu.M","50,623,000                        						
							Cu.M","5,692,000,000                        						
							Cu.M","379,000                        						
							Cu.M","389,000                        						
							mt","522,000,000                        						
							Cu.M","28,748                        						
							km","362                        						
							km","691                        						
							km","41                        						
							km"
Kuwait,79,"3,138,355","1,726,095","1,449,920","37,660","72,000","24,000","7,500","3,239,000",128,43,0,2,13,0,3,67,16,367,"5,636",74,0,27,123,,0,0,0,0,0,0,106,0,"$                        							6,950,000,000","$                        							55,000,000,000","$                        							219,060,000,000","$                        							52,619,000,000",6,"2,463,000",6,"0                        						
							km","5,749                        						
							km","2,910,000                        						
							bbl","372,000                        						
							bbl","101,500,000,000                        						
							bbl","19,285,000,000                        						
							Cu.M","26,083,000,000                        						
							Cu.M","1,784,000,000,000                        						
							Cu.M","0                        						
							Cu.M","145,000                        						
							mt","0                        						
							Cu.M","17,818                        						
							km","499                        						
							km","475                        						
							km","0                        						
							km"
Bolivia,80,"12,311,974","5,417,269","4,112,199","233,928","40,000","40,000",0,,64,0,0,15,19,0,0,33,0,54,890,0,106,0,67,,0,0,0,0,0,0,50,0,"$                        							550,200,000","$                        							11,431,000,000","$                        							119,785,000,000","$                        							1,800,000,000",200,"6,114,000",0,"3,690                        						
							km","90,568                        						
							km","58,000                        						
							bbl","87,000                        						
							bbl","240,900,000                        						
							bbl","13,760,000,000                        						
							Cu.M","3,055,000,000                        						
							Cu.M","302,990,000,000                        						
							Cu.M","0                        						
							Cu.M","9,000                        						
							mt","1,000,000                        						
							Cu.M","1,098,581                        						
							km","0                        						
							km","7,252                        						
							km","10,000                        						
							km"
Bahrain,81,"1,566,888","846,120","720,768","17,236","18,400","110,000","1,500",,132,24,0,3,40,0,0,80,34,150,"2,764",38,26,17,64,,0,0,0,0,2,2,50,0,"$                        							1,597,200,000","$                        							49,500,000,000","$                        							85,491,000,000","$                        							5,118,000,000",3,"855,000",4,"0                        						
							km","4,122                        						
							km","189,000                        						
							bbl","72,000                        						
							bbl","186,500,000                        						
							bbl","18,005,000,000                        						
							Cu.M","17,924,000,000                        						
							Cu.M","81,382,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","760                        						
							km","161                        						
							km","0                        						
							km","0                        						
							km"
Oman,82,"3,901,992","1,482,757","1,291,559","50,726","42,600","100,000","10,000",,128,29,10,9,45,4,0,31,0,150,"4,084",24,140,0,22,,0,0,0,0,0,5,12,0,"$                        							8,200,000,000","$                        							50,897,000,000","$                        							185,960,000,000","$                        							17,455,000,000",36,"2,316,000",7,"0                        						
							km","60,230                        						
							km","1,056,000                        						
							bbl","211,000                        						
							bbl","5,375,000,000                        						
							bbl","40,754,000,000                        						
							Cu.M","27,364,000,000                        						
							Cu.M","651,287,000,000                        						
							Cu.M","0                        						
							Cu.M","31,000                        						
							mt","0                        						
							Cu.M","309,500                        						
							km","2,092                        						
							km","1,561                        						
							km","0                        						
							km"
Kenya,83,"58,246,378","21,551,160","14,037,377","931,942","50,000",0,"25,000",,156,17,0,21,31,2,0,85,2,188,"4,128",18,53,0,23,,0,0,0,0,0,0,7,0,"$                        							1,307,383,850","$                        							30,514,500,000","$                        							314,063,000,000","$                        							7,342,000,000",370,"25,502,000",4,"3,819                        						
							km","161,452                        						
							km","0                        						
							bbl","119,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","1,168,000                        						
							mt","0                        						
							Cu.M","580,367                        						
							km","536                        						
							km","3,457                        						
							km","0                        						
							km"
Chad,84,"19,093,595","6,873,694","3,856,906","381,872","33,250",0,"5,000",,40,0,7,7,8,2,0,16,3,90,"3,316",10,10,20,0,,0,0,0,0,0,0,0,0,"$                        							381,350,000","$                        							2,038,000,000","$                        							32,446,000,000","$                        							211,591,000",42,"5,806,000",0,"0                        						
							km","40,000                        						
							km","124,000                        						
							bbl","15,000                        						
							bbl","1,500,000,000                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","1,284,000                        						
							km","0                        						
							km","6,406                        						
							km","12,400                        						
							km"
Yemen,85,"32,140,443","12,213,368","9,031,464","610,668","66,700",0,"20,000",,84,27,12,2,15,0,0,30,7,0,550,0,15,10,33,,0,0,0,0,0,1,12,1,"$                        							810,375,000","$                        							6,343,500,000","$                        							67,003,300,000","$                        							923,361,750",36,"6,883,000",10,"0                        						
							km","71,300                        						
							km","15,000                        						
							bbl","60,000                        						
							bbl","3,000,000,000                        						
							bbl","189,432,000                        						
							Cu.M","189,432,000                        						
							Cu.M","478,555,000,000                        						
							Cu.M","0                        						
							Cu.M","165,000                        						
							mt","0                        						
							Cu.M","527,968                        						
							km","1,906                        						
							km","1,601                        						
							km","0                        						
							km"
New Zealand,86,"5,161,211","2,219,321","1,775,457","61,935","8,670","3,250",300,,48,0,0,8,13,6,0,21,0,0,"2,114",0,31,0,8,,0,0,0,0,2,0,4,0,"$                        							3,030,000,000","$                        							209,683,100,000","$                        							254,770,000,000","$                        							15,487,000,000",202,"3,068,000",22,"4,128                        						
							km","94,000                        						
							km","12,000                        						
							bbl","154,000                        						
							bbl","40,993,000                        						
							bbl","3,770,000,000                        						
							Cu.M","3,819,000,000                        						
							Cu.M","31,149,000,000                        						
							Cu.M","3,036,000                        						
							Cu.M","2,441,000                        						
							mt","7,575,000,000                        						
							Cu.M","268,838                        						
							km","15,134                        						
							km","0                        						
							km","0                        						
							km"
Paraguay,87,"7,522,549","3,535,598","3,001,497","150,451","15,650","168,500","15,000",,39,0,0,11,13,1,0,14,0,0,"1,108",0,25,0,72,,0,0,0,0,0,0,63,0,"$                        							17,595,000,000","$                        							14,370,000,000","$                        							108,022,000,000","$                        							9,886,000,000",83,"3,469,000",1,"30                        						
							km","78,811                        						
							km","2,000                        						
							bbl","57,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","1,000                        						
							mt","0                        						
							Cu.M","406,752                        						
							km","0                        						
							km","4,655                        						
							km","3,100                        						
							km"
Lithuania,88,"2,628,186","1,708,321","1,332,490","36,795","23,000","104,000","14,150",,9,0,0,5,0,0,0,4,0,0,"1,263",21,54,0,14,,0,0,0,0,0,0,7,4,"$                        							2,388,900,000","$                        							44,000,000,000","$                        							132,712,000,000","$                        							6,168,000,000",65,"1,510,000",2,"1,911                        						
							km","84,166                        						
							km","4,000                        						
							bbl","68,000                        						
							bbl","12,000,000                        						
							bbl","0                        						
							Cu.M","1,601,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","263,000                        						
							mt","0                        						
							Cu.M","65,300                        						
							km","90                        						
							km","1,545                        						
							km","441                        						
							km"
Mozambique,89,"33,350,954","14,674,420","7,770,772","533,615","11,200",0,"3,000",,22,8,0,4,1,1,0,8,2,30,872,0,52,6,33,,0,0,0,0,0,0,33,0,"$                        							412,400,000","$                        							12,100,000,000","$                        							50,631,000,000","$                        							3,515,000,000",92,"15,191,000",11,"4,787                        						
							km","31,083                        						
							km","0                        						
							bbl","40,000                        						
							bbl","0                        						
							bbl","5,388,000,000                        						
							Cu.M","1,347,000,000                        						
							Cu.M","2,832,000,000,000                        						
							Cu.M","9,015,000                        						
							Cu.M","11,000                        						
							mt","1,792,000,000                        						
							Cu.M","799,380                        						
							km","2,470                        						
							km","4,783                        						
							km","460                        						
							km"
Tunisia,90,"12,048,847","6,024,424","5,181,004","204,830","89,800",0,"12,000",,154,10,0,11,28,4,0,101,0,90,"7,913",0,85,0,58,,0,0,0,0,0,0,51,0,"$                        							1,400,000,000","$                        							27,084,500,000","$                        							153,637,000,000","$                        							9,240,000,000",14,"4,445,000",16,"2,173                        						
							km","20,000                        						
							km","35,000                        						
							bbl","108,000                        						
							bbl","425,000,000                        						
							bbl","1,323,000,000                        						
							Cu.M","5,153,000,000                        						
							Cu.M","65,129,000,000                        						
							Cu.M","0                        						
							Cu.M","2,000                        						
							mt","0                        						
							Cu.M","163,610                        						
							km","1,148                        						
							km","1,495                        						
							km","0                        						
							km"
Armenia,91,"2,976,765","1,666,988","1,366,335","44,651","57,500","210,000","5,000",,71,4,15,3,13,0,0,36,20,109,"1,306",145,148,100,0,,0,0,0,0,0,0,0,0,"$                        							1,700,000,000","$                        							9,014,000,000","$                        							57,728,000,000","$                        							3,607,000,000",11,"1,356,000",0,"686                        						
							km","7,700                        						
							km","0                        						
							bbl","14,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","2,861,000,000                        						
							Cu.M","0                        						
							Cu.M","60                        						
							Cu.M","23,000                        						
							mt","317,000,000                        						
							Cu.M","29,743                        						
							km","0                        						
							km","1,570                        						
							km","0                        						
							km"
Tanzania,92,"67,462,121","12,143,182","6,678,750","607,159","27,000","80,000","6,500",,39,14,0,6,7,0,0,12,0,62,"1,072",0,0,0,12,,0,0,0,0,0,0,10,0,"$                        							1,406,745,334","$                        							18,983,500,000","$                        							234,050,000,000","$                        							5,693,050,000",206,"31,219,000",8,"4,097                        						
							km","145,203                        						
							km","0                        						
							bbl","58,000                        						
							bbl","0                        						
							bbl","1,808,000,000                        						
							Cu.M","1,808,000,000                        						
							Cu.M","6,513,000,000                        						
							Cu.M","2,511,000                        						
							Cu.M","802,000                        						
							mt","1,410,000,000                        						
							Cu.M","947,300                        						
							km","1,424                        						
							km","4,161                        						
							km","0                        						
							km"
Cameroon,93,"30,966,105","10,528,476","6,224,187","495,458","40,000",0,"12,500",,35,0,0,6,6,2,0,21,0,0,430,18,52,20,51,,0,0,0,0,0,0,51,0,"$                        							554,952,283","$                        							9,506,000,000","$                        							138,925,000,000","$                        							5,754,093,000",37,"11,965,000",7,"987                        						
							km","77,589                        						
							km","54,000                        						
							bbl","40,000                        						
							bbl","200,000,000                        						
							bbl","2,595,000,000                        						
							Cu.M","877,058,000                        						
							Cu.M","135,071,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","475,440                        						
							km","400                        						
							km","5,018                        						
							km","0                        						
							km"
Georgia,94,"4,900,961","2,744,538","2,225,036","93,118","55,000","152,500",0,,61,0,5,2,10,0,0,44,11,123,"3,392",67,121,42,19,,0,0,0,0,0,0,31,4,"$                        							495,629,055","$                        							13,488,000,000","$                        							83,656,000,000","$                        							5,002,000,000",19,"1,853,000",3,"1,363                        						
							km","20,295                        						
							km","300                        						
							bbl","32,000                        						
							bbl","35,000,000                        						
							bbl","8,760,000                        						
							Cu.M","2,796,000,000                        						
							Cu.M","8,495,000,000                        						
							Cu.M","256,000                        						
							Cu.M","516,000                        						
							mt","900,999,000                        						
							Cu.M","69,700                        						
							km","310                        						
							km","1,814                        						
							km","0                        						
							km"
Cambodia,95,"17,063,669","8,190,561","5,733,393","307,146","221,000",0,"10,000",,25,0,0,4,0,0,0,21,0,644,"3,627",30,430,463,20,,0,0,0,0,0,0,20,0,"$                        							860,000,000","$                        							13,200,000,000","$                        							85,900,000,000","$                        							17,801,000,000",13,"9,175,000",2,"642                        						
							km","47,263                        						
							km","0                        						
							bbl","73,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","113,000                        						
							Cu.M","2,215,000                        						
							mt","0                        						
							Cu.M","181,035                        						
							km","443                        						
							km","2,530                        						
							km","3,700                        						
							km"
Slovenia,96,"2,097,893","1,006,989","826,570","22,867","7,300","26,000","5,000",,39,0,0,4,23,0,0,16,0,54,"1,428",0,18,0,2,,0,0,0,0,0,0,2,0,"$                        							886,860,000","$                        							55,000,000,000","$                        							102,036,000,000","$                        							2,370,000,000",42,"1,055,000",2,"1,207                        						
							km","38,985                        						
							km","0                        						
							bbl","45,000                        						
							bbl","0                        						
							bbl","3,863,000                        						
							Cu.M","840,902,000                        						
							Cu.M","0                        						
							Cu.M","2,358,000                        						
							Cu.M","2,553,000                        						
							mt","95,000,000                        						
							Cu.M","20,273                        						
							km","47                        						
							km","1,211                        						
							km","710                        						
							km"
Ireland,97,"5,233,461","2,407,392","1,999,182","57,568","7,765","1,700",0,,22,0,0,4,8,2,0,8,0,0,"1,712",0,0,0,8,,0,0,0,0,0,0,8,0,"$                        							1,500,000,000","$                        							3,300,000,000,000","$                        							608,463,000,000","$                        							12,905,000,000",100,"2,766,000",21,"1,688                        						
							km","99,830                        						
							km","600                        						
							bbl","156,000                        						
							bbl","0                        						
							bbl","1,447,000,000                        						
							Cu.M","5,280,000,000                        						
							Cu.M","9,911,000,000                        						
							Cu.M","0                        						
							Cu.M","1,322,000                        						
							mt","40,000,000                        						
							Cu.M","70,273                        						
							km","1,448                        						
							km","443                        						
							km","956                        						
							km"
Mongolia,98,"3,281,676","1,870,555","1,552,233","62,352","35,000","135,000","50,000",,7,0,0,3,2,0,0,2,0,420,"2,560",0,500,130,0,,0,0,0,0,0,0,0,0,"$                        							165,110,000","$                        							19,542,500,000","$                        							56,264,000,000","$                        							4,782,000,000",35,"1,403,000",0,"1,815                        						
							km","113,200                        						
							km","15,000                        						
							bbl","36,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","28,276,000                        						
							Cu.M","6,393,000                        						
							mt","2,520,000,000                        						
							Cu.M","1,564,116                        						
							km","0                        						
							km","8,082                        						
							km","580                        						
							km"
Latvia,99,"1,801,246","810,561","648,449","16,211","17,250","36,000","12,500",,7,0,0,0,0,0,0,7,0,0,"1,848",47,0,0,18,,0,0,0,0,0,0,11,6,"$                        							1,138,000,000","$                        							44,180,400,000","$                        							71,154,000,000","$                        							4,957,000,000",56,"978,000",5,"2,216                        						
							km","70,244                        						
							km","2,000                        						
							bbl","35,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","828,214,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","20,000                        						
							mt","0                        						
							Cu.M","64,589                        						
							km","498                        						
							km","1,370                        						
							km","300                        						
							km"
Uruguay,100,"3,425,330","1,575,652","1,322,177","54,805","25,000",0,"5,000",,43,0,6,6,12,5,2,12,0,31,"3,042",6,70,4,14,,0,0,0,0,0,0,2,2,"$                        							772,400,000","$                        							49,500,000,000","$                        							105,096,000,000","$                        							16,257,000,000",64,"1,775,000",8,"1,673                        						
							km","77,732                        						
							km","400                        						
							bbl","52,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","86,037,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","18,000                        						
							mt","0                        						
							Cu.M","176,215                        						
							km","660                        						
							km","1,591                        						
							km","1,600                        						
							km"
Honduras,101,"9,529,188","4,192,843","3,144,632","95,292","52,225","60,000","23,000",,40,4,7,10,10,1,0,8,0,11,614,0,32,0,98,,0,0,0,0,0,0,93,0,"$                        							413,635,000","$                        							8,805,500,000","$                        							68,854,000,000","$                        							7,543,000,000",129,"4,676,000",8,"699                        						
							km","14,742                        						
							km","20                        						
							bbl","67,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","190,000                        						
							mt","0                        						
							Cu.M","112,090                        						
							km","832                        						
							km","1,575                        						
							km","465                        						
							km"
