Country,capital_city,region,continent,alliance,NATO_Status,year,power_index_rank,power_index_score,active_personnel,reserve_personnel,total_personnel,total_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,helicopters,tanks,armored_vehicles,artillery_units,naval_assets,aircraft_carriers,submarines,defense_budget_usd,gdp_usd,population,land_area_sq_km,coastline_km,fit_for_service,population_reaching_military_age_annually,paramilitary,trainer_aircraft,special_mission_aircraft,tanker_aircraft,attack_helicopters,self_propelled_artillery,towed_artillery,rocket_projectors,helicopter_carriers,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,external_debt_usd,foreign_exchange_and_gold_reserves_usd,labour_force,total_merchant_marine_fleet,major_ports_and_terminals,roadway_coverage_km,railway_coverage_km,total_serviceable_airports,waterway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,border_coverage_km,kpi_budget_gdp_percent,kpi_active_per_1k_capita,kpi_equipment_per_1m_capita,score_active_personnel,score_reserve_personnel,score_total_personnel,score_total_aircraft,score_fighter_aircraft,score_attack_aircraft,score_transport_aircraft,score_helicopters,score_tanks,score_armored_vehicles,score_artillery_units,score_naval_assets,score_aircraft_carriers,score_submarines,score_defense_budget_usd,score_gdp_usd,score_population,score_land_area_sq_km,score_coastline_km,score_kpi_budget_gdp_percent,score_kpi_active_per_1k_capita,score_kpi_equipment_per_1m_capita,score_power_index
Bangladesh,Dhaka,Asia,Asia,Neutral/Other,Non-NATO,2025,34,0.5871,163000,0,82661620,214,42,0,17,65,320,11584,712,118,0,2,4374000000.0,1413000000000.0,168697184,148460.0,580.0,66129296.0,3205246.0,6800000.0,86.0,4.0,0.0,0.0,56.0,546.0,110.0,0.0,0.0,7.0,6.0,61.0,5.0,51965000000.0,21860000000.0,74914000.0,558.0,2.0,369105.0,2460.0,17.0,8370.0,13000.0,160000.0,28000000.0,24620000000.0,30384000000.0,126293000000.0,754000.0,7514000.0,3260000000.0,4413.0,0.3095541401273885,0.9662283396502932,3.864913358601173,0.0800982800982801,0.0,0.108080638612103,0.016407268266503107,0.02346368715083799,0.0,0.01851851851851852,0.01112442238576074,0.047058823529411764,0.029345792961602942,0.04269097014030459,0.15649867374005305,0.0,0.02857142857142857,0.004871584583445998,0.04508854614554991,0.1189903293653634,0.008641076254145117,0.0028701504354711007,0.01445370174958837,0.019250391200149708,0.01750256174171062,0.8495391973868409
Belarus,Minsk,Europe,Europe,Neutral/Other,Non-NATO,2025,48,3.5,63000,145000,5035769,185,36,50,4,68,507,6916,778,0,0,0,1077900000.0,254407000000.0,9501451,207600.0,0.0,3724569.0,104516.0,55000.0,27.0,0.0,0.0,29.0,357.0,215.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,44000000000.0,8118000000.0,4956000.0,4.0,0.0,86600.0,5528.0,46.0,2500.0,30000.0,131000.0,198000000.0,73929000.0,16683000000.0,2832000000.0,0.0,778000.0,0.0,3599.0,0.42369117201963785,6.630566215623277,72.83098128906838,0.03095823095823096,0.028999999999999998,0.006481392788681469,0.014183853407958292,0.02011173184357542,0.05624296962879641,0.004357298474945534,0.011637857265103541,0.07455882352941176,0.017433952827275764,0.046648279170164286,0.0,0.0,0.0,0.0011887336785156417,0.00798001572173597,0.0064590012918787215,0.01210005683279385,0.0,0.021493489955538573,0.13210230779966708,0.3298207821100167,0.0
Belgium,Bruxelles [Brussel],Europe,Europe,NATO,NATO,2025,48,3.5,25000,6400,4910830,108,43,0,7,20,0,4606,0,9,0,0,10200000000.0,751592000000.0,11977634,30528.0,67.0,3880753.0,119776.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,1449264300000.0,40813000000.0,5432000.0,198.0,7.0,118414.0,3602.0,49.0,2043.0,11000.0,585000.0,0.0,13436000.0,15347000000.0,0.0,1270000.0,4869000.0,4100000000.0,1297.0,1.3571192881244079,2.0872235701975868,9.768206308524706,0.012285012285012286,0.0012799999999999999,0.006317868550165456,0.008280303611132408,0.024022346368715083,0.0,0.007625272331154685,0.003422899195618689,0.0,0.011539276154119,0.0,0.011936339522546418,0.0,0.0,0.011381183616280034,0.02390433487329647,0.008209350728336203,0.0017434689223696322,0.00033155186064924786,0.07906583202467643,0.04158423904541961,0.044236084527027916,0.0
Beliz,Unknown,Unknown,Unknown,Neutral/Other,Non-NATO,2025,48,3.5,1650,850,158000,3,0,0,1,1,0,130,0,8,0,0,29538000.0,5257000000.0,415789,22966.0,386.0,90226.0,8732.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1248000000.0,473729000.0,190000.0,774.0,2.0,3281.0,0.0,27.0,825.0,800.0,5000.0,6700000.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,0.5618793988967091,3.968358951295008,26.45572634196672,0.0008108108108108109,0.00016999999999999999,9.720961623721411e-05,0.00023000843364256692,0.0,0.0,0.0010893246187363835,0.00017114495978093444,0.0,0.00011738317184641179,0.0,0.010610079575596816,0.0,0.0,1.7361165426051362e-05,0.0,3.658285126139065e-05,0.0013011826332972327,0.0019101346001583533,0.030016717111898836,0.07906253532440732,0.11980682120379062,0.0
Benin,Porto-Novo,Africa,Africa,Neutral/Other,Non-NATO,2025,48,3.5,4750,0,5584880,5,0,0,0,5,0,92,16,2,0,0,98350000.0,52510000000.0,14697052,112622.0,121.0,3189260.0,308638.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4066500000.0,698900000.0,4964000.0,6.0,1.0,16000.0,438.0,10.0,150.0,0.0,46000.0,8000000.0,0.0,182131000.0,1133000000.0,0.0,45000.0,0.0,2123.0,0.18729765758903066,0.32319406640188797,0.4762859925922559,0.002334152334152334,0.0,0.007200087176628917,0.00038334738940427816,0.0,0.0,0.0,0.0008557247989046722,0.0,2.0414464668941194e-05,0.0009593476436023504,0.002652519893899204,0.0,0.0,9.424728431506191e-05,0.0015134645109339349,0.010131636667538729,0.00654498315340766,0.0005987727632620744,0.006913118911522357,0.006439070307185661,0.0021568982842800426,0.0
Bhutan,Thimphu,Asia,Asia,Neutral/Other,Non-NATO,2025,48,3.5,7500,0,203446,2,0,0,0,2,0,84,0,0,0,0,14000000.0,10981000000.0,884546,38394.0,0.0,122067.0,4423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2757000000.0,976260000.0,430000.0,0.0,0.0,12205.0,0.0,4.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,177000.0,325000.0,0.0,1136.0,0.12749294235497677,8.478925912275903,2.261046909940241,0.0036855036855036856,0.0,0.00015669082341510668,0.00015333895576171127,0.0,0.0,0.0,0.0003422899195618689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000183333774799184,0.0003679349971995136,0.0022035355647715754,0.0,0.0032244604455973058,0.16892760651946157,0.010239327371741169,0.0
Bolivia,La Paz,South America,South America,Neutral/Other,Non-NATO,2025,48,3.5,40000,40000,5417269,64,0,0,15,33,54,890,106,67,0,0,550200000.0,119785000000.0,12311974,1098581.0,0.0,4112199.0,233928.0,0.0,19.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,11431000000.0,1800000000.0,6114000.0,50.0,0.0,90568.0,3690.0,200.0,10000.0,58000.0,87000.0,240900000.0,13760000000.0,3055000000.0,302990000000.0,0.0,9000.0,1000000.0,7252.0,0.4593229536252452,3.248869758821778,15.026022634550722,0.019656019656019656,0.008,0.006980712432618581,0.004906846584374761,0.0,0.0,0.016339869281045753,0.005647783672770836,0.007941176470588234,0.0020567573153958234,0.006355678138865571,0.08885941644562334,0.0,0.0,0.0005991155168907671,0.003668212886128747,0.00844568698885701,0.06421175745749838,0.0,0.023691200827685246,0.06472798535208674,0.06804651605146218,0.0
Bosnia and Herzegovina,Sarajevo,Europe,Europe,Neutral/Other,Non-NATO,2025,48,3.5,12770,6000,2355176,22,0,0,0,22,45,720,536,0,0,0,216400000.0,63769000000.0,3798671,51197.0,20.0,1956316.0,49383.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,7760500000.0,9205000000.0,1369000.0,0.0,1.0,22926.0,965.0,13.0,990.0,0.0,36000.0,0.0,0.0,225824000.0,0.0,14114000.0,14766000.0,2264000000.0,1543.0,0.33934984083175207,3.36170202684044,17.63774751748704,0.006275184275184275,0.0012,0.0029729452335037097,0.001686728513378824,0.0,0.0,0.0,0.0037651891151805577,0.0066176470588235285,0.0016229499411808236,0.03213814606067874,0.0,0.0,0.0,0.00022614878891960322,0.0018740785868361035,0.002427854256606696,0.0029523574847654835,9.897070467141727e-05,0.016291452556045468,0.06697596878439376,0.07987391598896021,0.0
Botswana,Gaborone,Africa,Africa,Neutral/Other,Non-NATO,2025,48,3.5,21000,0,1029281,45,11,0,9,16,45,1224,68,0,0,0,465600000.0,46742000000.0,2450668,581730.0,0.0,617568.0,24507.0,0.0,9.0,0.0,0.0,0.0,12.0,36.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1853500000.0,4756000000.0,1170000.0,0.0,0.0,31747.0,888.0,122.0,0.0,0.0,21000.0,0.0,0.0,0.0,0.0,2634000.0,2291000.0,1660000000.0,4347.0,0.9961062855675837,8.569092182213176,36.724680780913616,0.01031941031941032,0.0,0.001237570608869379,0.0034501265046385037,0.006145251396648044,0.0,0.009803921568627453,0.002738319356494951,0.0066176470588235285,0.0029090612153241176,0.004077227485309989,0.0,0.0,0.0,0.0005045888985972965,0.0013287214618351063,0.0014749859543071514,0.03398217390905103,0.0,0.0567991317656978,0.1707240100176026,0.16631058271515659,0.0
Brazil,Brasília,South America,South America,Neutral/Other,Non-NATO,2025,11,0.2151,360000,340000,112226271,513,43,38,109,191,294,22464,559,64,0,4,26157300000.0,4016000000000.0,220051512,8515770.0,7491.0,88680759.0,3520824.0,200000.0,133.0,25.0,0.0,0.0,109.0,412.0,38.0,1.0,0.0,6.0,2.0,23.0,3.0,432224000000.0,355021000000.0,108695000.0,888.0,45.0,2000000.0,29850.0,4919.0,50000.0,4221000.0,3027000.0,12715000000.0,22670000000.0,31654000000.0,363985000000.0,15644000.0,32787000.0,6596000000.0,16145.0,0.6513271912350598,1.6359805789473512,3.9581641229531743,0.17690417690417692,0.06799999999999999,0.1467758181938723,0.03933144215287894,0.024022346368715083,0.04274465691788527,0.11873638344226581,0.03268868731815848,0.04323529411764705,0.05710946491136294,0.033517208298357117,0.08488063660477453,0.0,0.05714285714285714,0.029210847990918297,0.12845993255405375,0.15529136974664887,0.49802834012856717,0.03706947743467934,0.03553371280656754,0.032594020324411374,0.01792485510487241,0.9580319645356976
