country,year,assets_per_capita,defense_budget_to_gdp,personnel_density,defense_budget_per_soldier,power_index_rank_gap,air_power_ratio,armor_intensity_index,naval_strength_per_coastline,military_burden_index,total_assets
Chad,2025,8.07E-06,0.0190675,0.001741422,11469.17293,83,0.001924812,7.01E-05,,19.97266623,154
Yemen,2025,5.38E-06,0.0270125,0.002075267,12149.55022,84,0.002098951,0,0.017313746,25.21356037,173
New Zealand,2025,1.61E-05,0.0101,0.002309535,349480.9689,85,0.008650519,0,0.000528611,587.0715226,83
Paraguay,2025,1.81E-05,0.319909091,0.024479734,1124281.15,86,0.004089457,0,inf,2338.967815,136
Lithuania,2025,1.07E-05,0.026543333,0.048322303,103865.2174,87,0.000608696,0,0.155555556,908.9539325,28
Mozambique,2025,2.97E-06,0.017930435,0.000335822,36821.42857,88,0.003214286,3.75E-05,0.013360324,12.36546337,99
Tunisia,2025,2.95E-05,0.025454545,0.007452995,15590.20045,89,0.002305122,0.000550089,0.050522648,116.1936906,355
Armenia,2025,7.22E-05,0.056666667,0.089862653,29565.21739,90,0.001843478,0.003664728,,571.0897568,215
Tanzania,2025,2.08E-06,0.015630504,0.001586075,52101.67904,91,0.002444444,6.54E-05,0.008426966,20.85237335,140
Cameroon,2025,3.23E-06,0.010090042,0.001291735,13873.80708,92,0.001225,0,0.1275,17.92128145,100
Georgia,2025,4.49E-05,0.01416083,0.042338635,9011.437364,93,0.001418182,0.001764706,0.061290323,101.1289531,220
Cambodia,2025,4.06E-05,0.0215,0.012951494,3891.402715,94,0.000131222,0.003557323,0.045146727,50.39947739,693
Slovenia,2025,5.82E-05,0.0118248,0.015873069,121487.6712,95,0.009041096,0.002663641,0.042553191,422.7384333,122
Ireland,2025,8.41E-06,0.002419355,0.001808555,193174.501,96,0.004636188,0,0.005524862,286.6172118,44
Mongolia,2025,0.00013164,0.0066044,0.051802798,4717.428571,97,0.000342857,0.000268522,,50.31270607,432
Latvia,2025,1.39E-05,0.025288889,0.029562869,65971.01449,98,0.000405797,0,0.036144578,631.7848867,25
Uruguay,2025,3.47E-05,0.009087059,0.007298567,30896,99,0.00296,0.000175921,0.021212121,225.4965215,119
Honduras,2025,1.90E-05,0.011818143,0.011776974,7920.248923,100,0.00137865,9.81E-05,0.117788462,43.40716124,181
Ivory Coast,2025,1.20E-06,0.00744001,0.00073378,30436.40614,101,0.001272727,1.55E-05,0.005825243,22.33361149,36
Guatemala,2025,4.38E-06,0.003891762,0.010742902,3850.90563,102,0.000471191,4.59E-05,0.0625,22.38456121,80
Mali,2025,3.91E-06,0.029563,0.001818958,16259.65,103,0.0019,8.06E-06,,29.57562745,86
Kyrgyzstan,2025,3.60E-05,0.014786667,0.052332261,9643.478261,104,0.000304348,0.001075263,,35.9358993,222
Laos,2025,3.00E-05,0.0075,0.01634489,1350,105,0.00043,0.000675676,inf,16.97353989,239
Estonia,2025,1.51E-05,0.032519111,0.072458244,190046.7532,106,0.001298701,0,0.002108593,1225.809208,18
Tajikistan,2025,6.54E-06,0.037166667,0.058639244,46947.36842,107,0.003157895,0.000263706,,42.90911071,68
Zambia,2025,7.64E-06,0.011264,0.000728396,26022.44224,108,0.008184818,4.65E-05,,18.95465173,159
Ghana,2025,1.62E-06,0.003247368,0.000448118,19903.22581,109,0.001806452,0,0.051948052,8.918996775,56
Zimbabwe,2025,1.03E-05,0.015165714,0.001690927,18303.44828,110,0.005586207,3.84E-05,,30.94980208,177
North Macedonia,2025,2.34E-05,0.019421085,0.032309088,43157.96667,111,0.003333333,0.000777817,,181.8775514,50
South Sudan,2025,4.33E-06,0.025042857,0.01456267,947.5675676,112,0.000135135,4.66E-05,,13.79911418,55
Uganda,2025,6.66E-06,0.016423333,0.000913093,21897.77778,113,0.001533333,0.001074519,,19.99470771,328
Lebanon,2025,5.18E-05,0.030730013,0.017709072,12804.17208,114,0.001633333,0.011153846,0.284444444,143.2105327,278
Namibia,2025,2.89E-05,0.02315625,0.004636796,28500,115,0.004769231,4.85E-06,0.009541985,132.1486914,81
Luxembourg,2025,2.98E-06,0.007643083,0.001489749,726092.925,116,0.002,0,,1081.696236,2
Afghanistan,2025,2.99E-07,0.0116,0,7650,117,0.001,0,,7.228035446,12
Niger,2025,1.40E-06,0.018688889,0.000949026,13456,118,0.00148,0,,12.77010053,37
Eritrea,2025,1.81E-05,0.018,0.039407587,1650,119,0.000225,0.000552721,0.010295434,31.21080915,115
Republic of the Congo,2025,8.69E-06,0.01915,0.001393976,36047.05882,120,0.002235294,8.77E-05,0.023668639,50.24874276,53
Botswana,2025,4.86E-05,0.021163636,0.008569092,22171.42857,121,0.00352381,7.74E-05,,189.9890152,119
Mauritania,2025,1.73E-05,0.02375,0.02253676,8283.13253,122,0.001395054,2.43E-05,0.00795756,60.36219628,75
Dominican Republic,2025,1.43E-05,0.006005926,0.004622842,16216,123,0.00232,0.000103477,0.026397516,74.96400886,155
Senegal,2025,3.87E-06,0.01329,0.000901975,27361.76471,124,0.004058824,0,0.007532957,24.67964086,73
Nepal,2025,6.43E-07,0.008522917,0.003052465,4306.315789,125,0.000210526,0,,13.14487864,20
Montenegro,2025,4.17E-05,0.016455556,0.003917653,63021.2766,126,0.004680851,0,0.047619048,246.8954687,25
El Salvador,2025,1.43E-05,0.009560571,0.005280068,13384.8,127,0.00324,0,0.045602606,50.48047114,95
Burkina Faso,2025,1.39E-06,0.003694545,0.000520784,6773.333333,128,0.002666667,0,,3.527441109,32
Madagascar,2025,5.77E-07,0.006233889,0.000458362,8311.851852,129,0.00037037,1.02E-05,0.001242751,3.809835657,17
Nicaragua,2025,2.02E-05,0.004181818,0.006739606,2044.444444,130,0.000511111,0.000682672,0.025274725,13.77875041,135
Bosnia and Herzegovina,2025,1.76E-05,0.007213333,0.004941202,16945.96711,131,0.001722788,0.000878958,0,56.96729198,67
Gabon,2025,1.55E-05,0.011450833,0.00195511,57254.16667,132,0.006875,0,0.005649718,111.9381859,38
Moldova,2025,1.11E-06,0.095,0.020974972,201176.4706,133,0.000470588,0,,475.0622859,4
Iceland,2025,0,0.010413333,0,inf,134,,0,0,858.1568856,0
Panama,2025,1.86E-05,0.009654758,0,inf,135,inf,0,0.012048193,205.1795418,83
Beliz,2025,3.13E-05,0.009846,0.006012665,17901.81818,136,0.003030303,0,0.020725389,71.04084043,13
Liberia,2025,7.36E-07,0.081066667,0.000275875,243200,137,0,0,0.006908463,67.09275224,4
Suriname,2025,3.09E-05,0.026181818,0.003092347,72000,138,0.0015,0,0.044041451,222.6489661,20
Sierra Leone,2025,8.77E-07,0.032657143,0.001425275,17584.61538,139,7.69E-05,0,0.017412935,25.06290669,8
Kosovo,2025,0,0.023701377,0.007586897,26071.515,140,0,0,,131.8679243,0
Somalia,2025,7.68E-07,0.019000261,0.001152315,11400.15667,141,0,0,0.003305785,13.13657246,10
Central African Republic,2025,2.12E-06,0.01533,0.001769612,4599,142,0.0012,0,,8.138444515,12
Benin,2025,4.76E-07,0.0049175,0.000323194,20705.26316,143,0.001052632,0,0.016528926,6.691818196,7
Bhutan,2025,2.26E-06,0.004,0.008478926,1866.666667,144,0.000266667,0,,15.82732837,2
