country,rank,total_population_by_country,available_military_manpower,manpower_fit_for_military_service,manpower_reaching_military_age_annually,active_military_manpower,active_reserve_military_manpower,manpower_paramilitary,capital_cities_by_total_population,aircraft_total,aircraft_total_fighters,aircraft_total_attack_types,aircraft_total_transports,aircraft_total_trainers,aircraft_total_special_mission,aircraft_total_tanker_fleet,aircraft_helicopters_total,aircraft_helicopters_attack,armor_tanks_total,armor_apc_total,armor_self_propelled_guns_total,armor_towed_artillery_total,armor_mlrs_total,navy_ships,navy_force_by_tonnage,navy_aircraft_carriers,navy_helo_carriers,navy_submarines,navy_destroyers,navy_frigates,navy_corvettes,navy_patrol_coastal_craft,navy_mine_warfare_craft,defense_spending_budget,external_debt_by_country,purchasing_power_parity,reserves_of_foreign_exchange_and_gold,major_serviceable_airports_by_country,labor_force_by_country,major_ports_and_terminals,railway_coverage,roadway_coverage,oil_production_by_country,oil_consumption_by_country,proven_oil_reserves_by_country,natural_gas_production_by_country,natural_gas_consumption_by_country,proven_natural_gas_reserves_by_country,coal_production_by_country,coal_consumption_by_country,proven_coal_reserves_by_country,square_land_area,coastline_coverage,border_coverage,waterway_coverage,year,capital_city,continent,alliance,region
Venezuela,50,31250306,15625153,12812625,625006,109000,8000,220000,0,229,30,0,49,75,3,1,88,10,172,8802,48,100,36,34,0,0,0,1,0,1,0,25,0,4093120000,1.1E+11,2.96E+11,10095500000,502,11548000,31,447,96189,761000,367000,3.04E+11,17696000000,17696000000,5.67E+12,197000,82000,730999000,912050,2800,5267,7100,2025,Caracas,South America,Non-NATO,Latin America & Caribbean
Romania,51,18148155,9437041,7731114,199630,81300,55000,15000,0,140,21,0,14,44,2,0,65,0,328,10774,0,720,243,20,0,0,0,0,0,3,7,3,5,9700000000,1.32E+11,7.72E+11,73000000000,82,8282000,11,10628,84185,67000,221000,600000000,9501000000,10055000000,1.05E+11,18160000,19404000,291000000,238391,225,2844,1731,2025,Bucharest,Europe,Non-NATO,Europe & Central Asia
Ethiopia,52,118550298,56904143,35327989,2726657,162000,0,0,0,103,25,0,8,34,0,0,33,7,338,7256,35,309,40,0,0,0,0,0,0,0,0,0,0,2097575000,25761000000,3.55E+11,3131288000,57,61664000,0,659,120171,0,110000,428000,0,0,24919000000,8000,660000,0,1104300,0,5925,0,2025,Addia Ababa,Africa,Non-NATO,Sub-Saharan Africa
Czechia,53,10837890,5093808,4129236,97541,28000,4200,0,0,99,12,16,10,17,2,0,42,4,43,6340,50,0,16,0,0,0,0,0,0,0,0,0,0,6750000000,2.11E+11,5.19E+11,1.48E+11,243,5502000,0,9548,55744,4000,211000,15000000,224725000,7602000000,3964000000,37423000,40239000,3595000000,78867,0,2046,664,2025,Prague,Europe,Non-NATO,Europe & Central Asia
United Arab Emirates,54,10032213,5818684,4945881,80258,65000,130000,12000,0,551,99,16,37,147,27,4,247,30,354,8707,165,99,49,181,44188,0,0,0,0,0,11,34,2,2212360382,2.64E+11,7.2E+11,1.89E+11,42,6668000,20,0,4080,4146000,939000,97800000000,56683000000,66091000000,6091000000,0,3273000,0,83600,1318,1066,0,2025,Abu Dhabi,Asia,Non-NATO,Middle East & North Africa
Hungary,55,9855745,4632200,3794462,118269,41600,20000,15000,0,69,12,0,3,12,0,0,44,8,209,7797,24,295,0,0,0,0,0,0,0,0,0,0,0,4576000000,1.38E+11,3.89E+11,45719000000,109,5006000,0,7687,203601,36000,175000,12100000,1523000000,9485000000,3738000000,5450000,6180000,2909000000,103000,0,2106,1622,2025,Budapest,Europe,Non-NATO,Europe & Central Asia
Angola,56,37202061,7440412,3720206,372021,107000,0,10000,0,298,71,12,31,66,2,0,116,15,309,5500,25,575,113,31,0,0,0,0,0,0,0,29,0,1101360000,45774500000,2.66E+11,13942000000,106,15223000,21,2761,26000,1175000,127000,7783000000,5514000000,1397000000,3.43E+11,0,0,0,1246700,1600,5369,1300,2025,Luanda,Africa,Non-NATO,Sub-Saharan Africa
Kazakhstan,57,20260006,9117003,6928922,283640,110000,135000,55000,0,198,63,25,19,26,0,0,65,12,350,7736,126,194,287,26,0,0,0,0,0,0,0,23,2,2048700000,91321500000,7.06E+11,35965000000,132,9587000,0,16636,96167,1955000,288000,30000000000,27011000000,22623000000,2.41E+12,118195000,84852000,25605000000,2724900,26,13364,43983,2025,Astana,Asia,Non-NATO,Europe & Central Asia
Uzbekistan,58,36520593,18990708,15959499,730412,48000,0,20000,0,192,58,13,13,7,0,0,101,34,340,2970,147,236,108,0,0,0,0,0,0,0,0,0,0,2803500000,19652500000,3.19E+11,34558000000,74,14270000,0,4642,86496,64000,91000,594000000,47500000000,43227000000,1.84E+12,5356000,7396000,1375000000,447400,420,6893,1100,2025,Tashkent,Asia,Non-NATO,Europe & Central Asia
Morocco,59,37387585,17946041,15254135,635589,195800,150000,50000,0,260,83,0,31,75,4,2,78,0,903,7877,396,153,129,111,0,0,0,0,0,6,1,105,0,13400000000,45645000000,3.37E+11,36328000000,49,12284000,12,2067,57300,25,318000,684000,82595000,243201000,1444000000,0,11940000,96000000,715550,1835,2363,0,2025,Rabat,Africa,Non-NATO,Middle East & North Africa
