country,rank,total_population_by_country,available_military_manpower,manpower_fit_for_military_service,manpower_reaching_military_age_annually,active_military_manpower,active_reserve_military_manpower,manpower_paramilitary,capital_cities_by_total_population,aircraft_total,aircraft_total_fighters,aircraft_total_attack_types,aircraft_total_transports,aircraft_total_trainers,aircraft_total_special_mission,aircraft_total_tanker_fleet,aircraft_helicopters_total,aircraft_helicopters_attack,armor_tanks_total,armor_apc_total,armor_self_propelled_guns_total,armor_towed_artillery_total,armor_mlrs_total,navy_ships,navy_force_by_tonnage,navy_aircraft_carriers,navy_helo_carriers,navy_submarines,navy_destroyers,navy_frigates,navy_corvettes,navy_patrol_coastal_craft,navy_mine_warfare_craft,defense_spending_budget,external_debt_by_country,purchasing_power_parity,reserves_of_foreign_exchange_and_gold,major_serviceable_airports_by_country,labor_force_by_country,major_ports_and_terminals,railway_coverage,roadway_coverage,oil_production_by_country,oil_consumption_by_country,proven_oil_reserves_by_country,natural_gas_production_by_country,natural_gas_consumption_by_country,proven_natural_gas_reserves_by_country,coal_production_by_country,coal_consumption_by_country,proven_coal_reserves_by_country,square_land_area,coastline_coverage,border_coverage,waterway_coverage,year,capital_city,continent,alliance,region
Armenia,91,2976765,1666988,1366335,44651,57500,210000,5000,0,71,4,15,3,13,0,0,36,20,109,1306,145,148,100,0,0,0,0,0,0,0,0,0,0,1700000000,9014000000,57728000000,3607000000,11,1356000,0,686,7700,0,14000,0,0,2861000000,0,60,23000,317000000,29743,0,1570,0,2025,Yerevan,Asia/Europe,Non-NATO,Europe & Central Asia
Tanzania,92,67462121,12143182,6678750,607159,27000,80000,6500,0,39,14,0,6,7,0,0,12,0,62,1072,0,0,0,12,0,0,0,0,0,0,0,10,0,1406745334,18983500000,2.34E+11,5693050000,206,31219000,8,4097,145203,0,58000,0,1808000000,1808000000,6513000000,2511000,802000,1410000000,947300,1424,4161,0,2025,Dodoma,Africa,Non-NATO,Sub-Saharan Africa
Cameroon,93,30966105,10528476,6224187,495458,40000,0,12500,0,35,0,0,6,6,2,0,21,0,0,430,18,52,20,51,0,0,0,0,0,0,0,51,0,554952283,9506000000,1.39E+11,5754093000,37,11965000,7,987,77589,54000,40000,200000000,2595000000,877058000,1.35E+11,0,0,0,475440,400,5018,0,2025,Yaounde,Africa,Non-NATO,Sub-Saharan Africa
Georgia,94,4900961,2744538,2225036,93118,55000,152500,0,0,61,0,5,2,10,0,0,44,11,123,3392,67,121,42,19,0,0,0,0,0,0,0,31,4,495629055,13488000000,83656000000,5002000000,19,1853000,3,1363,20295,300,32000,35000000,8760000,2796000000,8495000000,256000,516000,900999000,69700,310,1814,0,2025,Tbilisi,Asia/Europe,Non-NATO,Europe & Central Asia
Cambodia,95,17063669,8190561,5733393,307146,221000,0,10000,0,25,0,0,4,0,0,0,21,0,644,3627,30,430,463,20,0,0,0,0,0,0,0,20,0,860000000,13200000000,85900000000,17801000000,13,9175000,2,642,47263,0,73000,0,0,0,0,113000,2215000,0,181035,443,2530,3700,2025,Phnom Penh,Asia,Non-NATO,East Asia & Pacific
Slovenia,96,2097893,1006989,826570,22867,7300,26000,5000,0,39,0,0,4,23,0,0,16,0,54,1428,0,18,0,2,0,0,0,0,0,0,0,2,0,886860000,55000000000,1.02E+11,2370000000,42,1055000,2,1207,38985,0,45000,0,3863000,840902000,0,2358000,2553000,95000000,20273,47,1211,710,2025,Ljubljana,Europe,Non-NATO,Europe & Central Asia
Ireland,97,5233461,2407392,1999182,57568,7765,1700,0,0,22,0,0,4,8,2,0,8,0,0,1712,0,0,0,8,0,0,0,0,0,0,0,8,0,1500000000,3.3E+12,6.08E+11,12905000000,100,2766000,21,1688,99830,600,156000,0,1447000000,5280000000,9911000000,0,1322000,40000000,70273,1448,443,956,2025,Dublin,Europe,Non-NATO,Europe & Central Asia
Mongolia,98,3281676,1870555,1552233,62352,35000,135000,50000,0,7,0,0,3,2,0,0,2,0,420,2560,0,500,130,0,0,0,0,0,0,0,0,0,0,165110000,19542500000,56264000000,4782000000,35,1403000,0,1815,113200,15000,36000,0,0,0,0,28276000,6393000,2520000000,1564116,0,8082,580,2025,Ulaanbaatar,Asia,Non-NATO,East Asia & Pacific
Latvia,99,1801246,810561,648449,16211,17250,36000,12500,0,7,0,0,0,0,0,0,7,0,0,1848,47,0,0,18,0,0,0,0,0,0,0,11,6,1138000000,44180400000,71154000000,4957000000,56,978000,5,2216,70244,2000,35000,0,0,828214000,0,0,20000,0,64589,498,1370,300,2025,Riga,Europe,Non-NATO,Europe & Central Asia
Uruguay,100,3425330,1575652,1322177,54805,25000,0,5000,0,43,0,6,6,12,5,2,12,0,31,3042,6,70,4,14,0,0,0,0,0,0,0,2,2,772400000,49500000000,1.05E+11,16257000000,64,1775000,8,1673,77732,400,52000,0,0,86037000,0,0,18000,0,176215,660,1591,1600,2025,Montevideo,South America,Non-NATO,Latin America & Caribbean
Honduras,101,9529188,4192843,3144632,95292,52225,60000,23000,0,40,4,7,10,10,1,0,8,0,11,614,0,32,0,98,0,0,0,0,0,0,0,93,0,413635000,8805500000,68854000000,7543000000,129,4676000,8,699,14742,20,67000,0,0,0,0,0,190000,0,112090,832,1575,465,2025,Tegucigalpa,North America,Non-NATO,Latin America & Caribbean
Ivory Coast,102,29981758,12292521,7855221,569653,22000,0,5500,0,19,0,0,4,2,3,0,10,3,5,656,0,2,3,3,0,0,0,0,0,0,0,3,0,669600935,19311500000,2.03E+11,7583484000,29,10954000,5,660,81996,29000,60000,100000000,2635000000,2635000000,28317000000,0,0,0,322463,515,3458,980,2025,Yamoussoukro,Africa,Non-NATO,Sub-Saharan Africa
Guatemala,103,18255216,7484639,6279794,182552,106114,90000,35000,0,36,0,4,10,0,0,0,21,0,5,688,0,50,0,25,0,0,0,0,0,0,0,20,0,408635000,27500000000,2.23E+11,21311000000,58,7258000,3,800,17440,6000,115000,86110000,3276000,2986000,0,0,1296000,0,108889,400,1667,990,2025,Gautemala City,North America,Non-NATO,Latin America & Caribbean
Mali,104,21990607,6817088,4288168,351850,40000,0,4800,0,43,9,12,7,4,1,0,10,8,10,570,0,10,20,0,0,0,0,0,0,0,0,0,0,650386000,4057500000,57235000000,647800000,30,8277000,0,593,139107,0,46000,0,0,0,0,0,0,0,1240192,0,7908,1800,2025,Bamako,Africa,Non-NATO,Sub-Saharan Africa
Kyrgyzstan,105,6172101,3147772,2487357,117270,23000,300000,55000,0,7,0,0,0,0,0,0,7,2,215,2686,30,169,21,0,0,0,0,0,0,0,0,0,0,221800000,6728500000,45461000000,3237000000,28,3069000,0,424,34000,6000,31000,40000000,31026000,438000000,5663000000,3637000,3352000,28499000000,199951,0,4573,576,2025,Bishkek,Asia,Non-NATO,Europe & Central Asia
Laos,106,7953556,3499565,2521277,159071,100000,30000,120000,0,33,0,0,2,8,0,0,23,0,160,4380,40,87,64,36,0,0,0,0,0,0,0,36,0,135000000,16500000000,64173000000,1770000000,18,3174000,0,422,39568,0,24000,0,0,0,0,14845000,13691000,62000000,236800,0,5274,4600,2025,Vientiane,Asia,Non-NATO,East Asia & Pacific
Estonia,107,1193791,584958,456028,13132,7700,78800,10000,0,5,0,0,2,3,0,0,3,0,0,1685,36,0,0,8,0,0,0,0,0,0,0,4,4,1463360000,26400000000,57377000000,2593000000,26,752000,20,1441,58412,24000,28000,0,0,354912000,0,0,3000,0,45228,3794,657,335,2025,Tallinn,Europe,Non-NATO,Europe & Central Asia
Tajikistan,108,10394063,4781269,3773045,176699,9500,600000,20000,0,25,0,0,1,4,0,0,20,6,38,1240,3,13,20,0,0,0,0,0,0,0,0,0,0,446000000,7150000000,46467000000,2748900000,19,2677000,0,680,30000,300,28000,12000000,18476000,85567000,5663000000,2175000,2245000,4075000000,144100,0,4130,200,2025,Dushanbe,Asia,Non-NATO,Europe & Central Asia
Zambia,109,20799116,7279691,4139024,374384,15150,0,1200,0,77,0,0,13,34,0,0,32,0,35,424,12,30,25,0,0,0,0,0,0,0,0,0,0,394240000,13200000000,76493000000,2861000000,119,7051000,0,3126,67671,0,34000,0,0,0,0,831000,823000,944999000,752618,0,6043,0,2025,Lusaka,Africa,Non-NATO,Sub-Saharan Africa
Ghana,110,34589092,14873310,9961658,622604,15500,0,0,0,19,0,0,2,5,2,0,10,0,0,1824,0,6,6,28,0,0,0,0,0,0,0,27,0,308500000,22550000000,2.3E+11,3624000000,11,14887000,4,947,65725,174000,110000,660000000,3192000000,3912000000,22653000000,0,85000,0,238533,539,2420,1293,2025,Accra,Africa,Non-NATO,Sub-Saharan Africa
Zimbabwe,111,17150352,6517134,3721626,360157,29000,0,21800,0,95,13,0,14,40,0,0,28,6,15,828,0,0,0,0,0,0,0,0,0,0,0,0,0,530800000,11000000000,58583000000,115530000,144,6561000,0,3427,97267,800,29000,0,0,0,0,3877000,4479000,502000000,390757,0,3229,0,2025,Harare,Africa,Non-NATO,Sub-Saharan Africa
North Macedonia,112,2135622,948216,783773,27763,9000,60000,3500,0,20,0,0,0,10,0,0,10,4,20,1108,0,150,17,0,0,0,0,0,0,0,0,0,0,388421700,11000000000,42444000000,5015000000,13,801000,0,699,14182,0,22000,0,0,274928000,0,5075000,5776000,332000000,25713,0,838,0,2025,Skopje,Europe,Non-NATO,Europe & Central Asia
South Sudan,113,12703714,6351857,4065188,330297,185000,0,0,0,20,0,0,5,0,0,0,15,6,30,1950,24,0,15,0,0,0,0,0,0,0,0,0,0,175300000,2475000000,20010000000,183615000,82,4471000,0,248,90200,146000,14000,3750000000,0,0,0,0,0,0,644329,0,6018,0,2025,Juba,Africa,Non-NATO,Sub-Saharan Africa
Uganda,114,49283041,16756234,9905891,985661,45000,0,10000,0,51,6,0,0,12,0,0,30,6,259,3862,6,26,12,0,0,0,0,0,0,0,0,0,0,985400000,11818000000,1.36E+11,3506500000,39,18881000,0,1244,20544,0,43000,2500000000,0,0,14158000000,0,0,800000000,241038,0,2729,0,2025,Kampala,Africa,Non-NATO,Sub-Saharan Africa
Lebanon,115,5364482,2092148,1775644,69738,60000,35000,65000,0,80,0,9,0,9,0,0,68,0,116,4538,12,353,11,64,0,0,0,0,0,0,0,61,0,768250325,36928000000,65818000000,26498095000,8,1771000,5,401,21705,0,174000,0,0,0,0,0,207000,0,10400,225,484,0,2025,Beirut,Asia,Non-NATO,Middle East & North Africa
Namibia,116,2803660,616805,400923,30840,13000,0,5000,0,34,11,0,3,14,0,0,7,2,4,2094,0,25,25,15,0,0,0,0,0,0,2,12,0,370500000,8800000000,29944000000,2956000000,255,989000,2,2628,48875,0,25000,0,0,0,62297000000,0,32000,350000000,824292,1572,4220,0,2025,Windhoek,Africa,Non-NATO,Sub-Saharan Africa
Luxembourg,117,671254,154388,92633,3356,1000,0,0,120000,1,0,0,1,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,726092925,4.73E+12,88533000000,2977000000,3,352000,0,271,2875,0,51000,0,0,594240000,0,0,62000,0,2586,0,327,37,2025,Luxembourg,Europe,Non-NATO,Europe & Central Asia
Afghanistan,118,40121552,15647405,8826741,842553,0,0,80000,0,9,0,0,3,0,0,0,6,1,0,5202,0,0,0,0,0,0,0,0,0,0,0,0,0,290000000,1142500000,54772700000,8852092000,67,8921000,0,0,34903,0,2700,0,80200000,80200000,49554000000,4885000,1545000,66000000,652230,0,5987,1200,2025,Kabul,Asia,Non-NATO,South Asia
Niger,119,26342784,7902835,5294900,447827,25000,0,5000,0,26,0,2,7,0,2,0,13,1,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,336400000,3844000000,44561000000,1442772000,26,10237000,0,0,18949,6000,13000,150000000,29509000,29858000,0,457000,457000,90000000,1267000,0,5834,300,2025,Niamey,Africa,Non-NATO,Sub-Saharan Africa
Eritrea,120,6343956,2220385,1598677,76127,120000,130000,0,0,20,1,0,5,1,0,0,13,6,65,860,23,75,22,23,0,0,0,0,0,0,0,18,0,198000000,635504500,9702000000,225014976,10,1800000,2,306,16000,0,4000,0,0,0,0,0,0,0,117600,2234,1840,0,2025,Asmara,Africa,Non-NATO,Sub-Saharan Africa
Republic of the Congo,121,6097665,2256136,1353682,115856,8500,0,2500,0,13,2,0,4,0,0,0,7,1,30,644,2,38,30,4,0,0,0,0,0,0,0,0,0,306400000,5741000000,38163000000,715391000,56,2461000,5,510,23324,267000,12000,2885000000,423000000,423000000,2.84E+11,0,0,0,342000,169,5008,1120,2025,Brazzaville,Africa,Non-NATO,Sub-Saharan Africa
Botswana,122,2450668,1029281,617568,24507,21000,0,0,0,45,11,0,9,9,0,0,16,0,45,1224,12,36,20,0,0,0,0,0,0,0,0,0,0,465600000,1853500000,46742000000,4756000000,122,1170000,0,888,31747,0,21000,0,0,0,0,2634000,2291000,1660000000,581730,0,4347,0,2025,Gaborone,Africa,Non-NATO,Sub-Saharan Africa
Mauritania,123,4328040,1687936,1181555,82233,31540,66000,5000,0,24,0,4,7,7,2,0,4,0,25,628,0,75,0,6,0,0,0,0,0,0,0,6,0,261250000,3661000000,30395000000,2629290500,25,1179000,2,728,12253,0,29000,20000000,0,0,28317000000,0,0,0,1030700,754,5002,1086,2025,Nouakchott,Africa,Non-NATO,Sub-Saharan Africa
Dominican Republic,124,10815857,4975294,4034315,97343,50000,0,30000,0,79,0,8,11,17,1,0,50,0,5,540,0,11,0,34,0,0,0,0,0,0,0,14,0,810800000,27500000000,2.62E+11,15547000000,32,5302000,17,496,19705,0,134000,0,0,2440000000,0,0,2188000,0,48320,1288,376,0,2025,Santo Domingo,North America,Non-NATO,Latin America & Caribbean
Senegal,125,18847519,7162057,4089912,395798,17000,0,0,0,40,0,0,5,23,1,0,20,5,0,1740,0,20,6,4,0,0,0,0,0,0,0,4,0,465150000,11326000000,77382000000,889295000,19,5257000,6,906,16665,9000,55000,0,54646000,54498000,0,0,502000,0,196722,531,2684,1000,2025,Dakar,Africa,Non-NATO,Sub-Saharan Africa
Nepal,126,31122387,15249970,11733140,778060,95000,0,15000,0,15,0,0,5,0,0,0,10,0,0,1108,0,14,0,0,0,0,0,0,0,0,0,0,0,409100000,5838500000,1.44E+11,12456000000,51,8937000,0,59,27990,0,62000,0,0,0,0,15000,1095000,8000000,147181,0,3159,0,2025,Kathmandu,Asia,Non-NATO,South Asia
Montenegro,127,599849,143964,85179,3599,2350,0,5500,0,11,0,0,0,0,0,0,11,0,0,471,0,12,12,14,0,0,0,0,0,0,0,2,0,148100000,2958500000,17115000000,1574000000,5,286000,4,250,7762,0,8000,0,0,0,0,1734000,1517000,337000000,13812,294,680,0,2025,Podgorica,Europe,Non-NATO,Europe & Central Asia
El Salvador,128,6628702,3181777,2512278,145831,25000,10000,15000,0,52,0,15,4,10,0,0,30,0,0,1844,0,76,0,14,0,0,0,0,0,0,0,10,0,334620000,14258000000,71957000000,3799434000,27,2870000,3,13,9012,3,58000,0,0,226472,0,0,500,0,21041,307,590,422,2025,San Salvador,North America,Non-NATO,Latin America & Caribbean
Burkina Faso,129,23042199,8525614,6060098,368675,12000,0,4500,0,25,0,3,2,0,2,0,18,5,0,491,0,8,9,0,0,0,0,0,0,0,0,0,0,81280000,3145000000,57152000000,47138000,49,8577000,0,622,15304,0,36000,0,0,0,0,0,0,0,274200,0,3611,0,2025,Ouagadougou,Africa,Non-NATO,Sub-Saharan Africa
Madagascar,130,29452714,11192031,7952233,559602,13500,0,8100,0,5,0,0,0,0,0,0,5,0,6,158,0,9,0,6,0,0,0,0,0,0,0,4,0,112210000,3028500000,51255000000,2632000000,91,15830000,13,836,31640,0,19000,0,0,0,0,0,511000,150000000,587040,4828,0,600,2025,Antananarivo,Africa,Non-NATO,Sub-Saharan Africa
Nicaragua,131,6676948,3271705,2777610,146893,45000,0,5500,0,17,0,0,5,1,0,0,11,0,89,1869,0,0,0,23,0,0,0,0,0,0,0,23,0,92000000,9053000000,51088000000,5447000000,39,3264000,5,0,23897,200,36000,0,0,0,0,0,0,0,130370,910,1253,2220,2025,Managua,North America,Non-NATO,Latin America & Caribbean
Bosnia and Herzegovina,132,3798671,2355176,1956316,49383,12770,6000,0,0,22,0,0,0,0,0,0,22,0,45,720,0,457,79,0,0,0,0,0,0,0,0,0,0,216400000,7760500000,63769000000,9205000000,13,1369000,1,965,22926,0,36000,0,0,225824000,0,14114000,14766000,2264000000,51197,20,1543,990,2025,Sarajevo,Africa,Non-NATO,Europe & Central Asia
Gabon,133,2455105,932940,532758,46647,4800,0,2500,0,24,6,0,3,0,0,0,15,0,0,424,0,0,14,5,0,0,0,0,0,0,0,4,0,274820000,6280000000,48201000000,1568196000,40,763000,9,649,14300,204000,16000,2000000000,463000000,463000000,25995000000,0,0,0,267667,885,3261,1600,2025,Libreville,Africa,Non-NATO,Sub-Saharan Africa
Moldova,134,3599528,2159717,1792565,71991,8500,67000,2000,0,3,0,0,1,0,0,0,2,0,0,500,9,67,11,0,0,0,0,0,0,0,0,0,0,1710000000,4565500000,38969000000,5453000000,11,1464000,0,1171,9352,0,22000,0,10000,2344000000,0,0,120000,0,33851,0,1885,558,2025,Chi?in?u,Europe,Non-NATO,Europe & Central Asia
Iceland,135,364036,83728,50237,1820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,312400000,22000000000,26155000000,5809000000,83,239000,43,0,12898,0,18000,0,0,0,0,0,188000,0,100250,4970,0,0,2025,Reykjavik,Europe,Non-NATO,Europe & Central Asia
Panama,136,4470241,2011608,1206965,53643,0,0,80000,0,38,0,0,13,0,2,0,23,0,0,262,0,0,0,30,0,0,0,0,0,0,0,27,0,917202000,1.12E+12,1.6E+11,6757000000,76,2096000,12,77,11978,0,146000,0,0,389611000,0,0,837000,0,75420,2490,687,800,2025,Panama City,North America,Non-NATO,Latin America & Caribbean
Beliz,137,415789,158000,90226,8732,1650,850,0,0,3,0,0,1,0,1,0,1,0,0,130,0,0,0,8,0,0,0,0,0,0,0,8,0,29538000,1248000000,5257000000,473729000,27,190000,2,0,3281,800,5000,6700000,0,0,0,0,0,0,22966,386,542,825,2025,Belmopan,North America,Non-NATO,Latin America & Caribbean
Liberia,138,5437249,2392390,1913912,65247,1500,0,5500,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,4,0,0,0,0,0,0,0,4,0,364800000,830923000,8884000000,599660000,99,2499000,4,429,10600,0,4000,0,0,0,0,0,0,0,111369,579,1667,0,2025,Monrovia,Africa,Non-NATO,Sub-Saharan Africa
Suriname,139,646758,142287,84079,3234,2000,0,200,0,3,0,0,0,0,0,0,3,0,0,650,0,0,0,17,0,0,0,0,0,0,0,17,0,144000000,2200000000,11824000000,1346000000,55,250000,4,0,4304,14000,15000,89000000,7109000,6967000,0,0,0,0,163820,386,1907,1200,2025,Paramaribo,South America,Non-NATO,Latin America & Caribbean
Sierra Leone,140,9121049,2006631,1203978,45605,13000,0,0,0,1,0,0,0,0,0,0,1,0,0,150,0,0,0,7,0,0,0,0,0,0,0,7,0,228600000,2687000000,14633000000,495699000,8,2913000,3,0,11701,0,9000,0,0,0,0,0,0,0,71740,402,1093,800,2025,Freetown,Africa,Non-NATO,Sub-Saharan Africa
Kosovo,141,1977093,917371,743387,17794,10000,5000,500,0,0,0,0,0,0,0,0,0,0,0,737,0,0,0,0,0,0,0,0,0,0,0,0,0,260715150,2750000000,23794000000,1245000000,4,500300,0,437,2012,0,15000,0,0,0,0,9074000,8927000,1564000000,10887,0,714,0,2025,Pristina,Europe,Non-NATO,Europe & Central Asia
Somalia,142,13017273,2993973,1796384,130173,15000,0,2000,0,0,0,0,0,0,0,0,0,0,0,682,0,0,0,10,0,0,0,0,0,0,0,10,0,171002350,5830000000,26351000000,16747500,38,3277000,6,0,15000,0,6000,0,0,0,5663000000,0,0,0,637657,3025,2385,0,2025,Mogadishu,Africa,Non-NATO,Sub-Saharan Africa
Central African Republic,143,5650957,2203873,1254512,101717,10000,0,1000,0,6,0,6,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,45990000,666293000,5849000000,374405000,43,2114000,0,0,24000,0,2000,0,0,0,0,0,0,3000000,622984,0,5920,2800,2025,Bangui,Africa,Non-NATO,Sub-Saharan Africa
Benin,144,14697052,5584880,3189260,308638,4750,0,0,0,5,0,0,0,0,0,0,5,0,0,92,0,16,0,2,0,0,0,0,0,0,0,2,0,98350000,4066500000,52510000000,698900000,10,4964000,1,438,16000,0,46000,8000000,0,182131000,1133000000,0,45000,0,112622,121,2123,150,2025,Porto-Novo,Africa,Non-NATO,Sub-Saharan Africa
Bhutan,145,884546,203446,122067,4423,7500,0,0,0,2,0,0,0,0,0,0,2,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,14000000,2757000000,10981000000,976260000,4,430000,0,0,12205,0,3000,0,0,0,0,177000,325000,0,38394,0,1136,0,2025,Thimphu,Asia,Non-NATO,South Asia
